id,date,star,text
1,2017/05/09,5,"""口味道地 CP值高 還有附設KTV包廂 很適合三五好友聚餐小酌 """
2,2017/05/09,5,"""便宜又好吃，通化街這裡聚餐的好地方"""
3,2017/05/09,4,""" 道地的小吃店，，"""
4,2017/05/09,5,"""讚啦！好吃價格實惠，"""
5,2018/05/09,1,""" 菜的份量太少，味道不合格。，，"""
6,2018/05/09,5,""" 好吃，色香味俱全，，"""
7,2018/05/09,5,"""地點方便、東西好吃"""
8,2018/05/09,5,"""適合朋友聚餐，有好喝的啤酒"""
9,2018/05/09,4,""" 巨大的價值。美食。，，"""
10,2018/05/09,5,"""東西好吃有特色 …老闆娘待人親切 ！"""
11,2018/05/09,4,"""這離通化街臨江街夜巿不會太遠，這附近不太好停車，不過東西滿不錯吃的，肥腸，九層塔蛋，味噌魚都滿不錯的，價格來說算合理，大家一起吃八道四人吃加上啤酒和烏梅茶，每個人平均也大概三百上下就可以吃飽（飯自理），營業到凌晨二點，吃宵夜時間滿合適的，另外說～電視還滿大一台的。"""
12,2018/05/09,5,"""東西新鮮好吃，老闆熱情"""
13,2018/05/09,5,"""菜好吃!服務人員的態度很好!"""
14,2018/05/09,4,"""適合同學會聚餐喝酒聊天的好場地"""
15,2018/05/09,3,"""菜色一般般嘍!"""
16,2018/05/09,5,"""親切，東西好吃"""
17,2018/05/09,1,"""超差的經驗，東西普通，隔壁桌吃到打起來，超級吵，再也不會來囉"""
18,2018/05/09,4,"""價格公道"""
19,2018/05/09,5,"""老闆人超親民！菜好吃！很有人情味！喜翻❤️"""
20,2018/05/09,5,"""好吃，老闆好相處"""
21,2018/05/09,5,"""東西好，又不貴，「鹽烤吳郭魚」新鮮、原味好吃😋"""
22,2018/05/09,5,"""老闆好可愛！又會喝！好吃！"""
23,2018/05/09,5,"""不用說！一個字～讚👍"""
24,2018/05/09,4,"""價格公道，還可以唱歌，極適合聚餐。"""
25,2018/05/09,4,"""點的菜都蠻好吃的 價錢也很合理 座位也很寬敞 算是CP值還不錯的店 今天第一次到這聚餐 但星期天晚餐時段 卻門可羅雀 不知為何會這樣冷清  隔壁的湯包店卻熱鬧滾滾 還要排隊  Why?!"""
26,2018/05/09,5,"""喝酒談天必來 現在又多了兩隻店貓，☺️☺️☺️"""
27,2018/05/09,5,"""餐點美味又超值，值得推薦~"""
28,2018/05/09,5,"""趁老婆不在家出門喝一杯，遇見一家好吃的熱炒，老闆菜做的真不錯，害我多喝了2瓶啤酒"""
29,2018/05/09,5,"""我叫你試一試啊"""
30,2018/05/09,5,"""口味不錯喔！"""
