id,date,star,text
1,2013/05/09,4,"""物美價廉"""
2,2014/05/09,3,"""Prices low base on taipei leavel .，以台北價格算是不高，菜色中等， """
3,2014/05/09,5,""" 好吃！，，"""
4,2015/05/09,5,""" 好，，"""
5,2016/05/09,4,"""科技大樓捷運站斜對邊 料理 ok"""
6,2016/05/09,3,"""價格實惠，交通方便"""
7,2017/05/09,3,"""簡單熱炒，菜色平平"""
8,2017/05/09,3,"""適合聚餐、慶功小聚，但菜色還好，個人偏愛品鑫"""
9,2017/05/09,5,"""白飯無限吃"""
10,2017/05/09,4,"""平價"""
11,2017/05/09,5,""" CP值很高的熱炒店，每樣菜都美味，給老闆很多讚!!!，，"""
12,2017/05/09,5,"""台北市百元熱炒 菜單一半以上還是百元的不多了，冬天有羊肉爐，火鍋 讚...，同學聚餐的好地方，經濟實惠，內用白飯吃到爽...，生意好，假日要訂位。真的值得來嘗試看看～"""
13,2017/05/09,5,"""好吃又評價 台北真的很少 推推推"""
14,2017/05/09,5,"""平價美食"""
15,2017/05/09,5,"""價格便宜不知道吃什麼的可以考慮這家熱炒"""
16,2017/05/09,5,""" #好吃好吃😂，，"""
17,2017/05/09,5,"""老闆人親切聚會什麼等等非常適合吃這家"""
18,2017/05/09,5,""" #特推，，"""
19,2017/05/09,5,""" 好吃 推，，"""
20,2017/05/09,5,""" 非常好吃~，，"""
21,2017/05/09,5,"""超級好吃 價格又便宜👍👍👍"""
22,2017/05/09,5,"""價格平價都100來吃都點很多 好吃便宜"""
23,2017/05/09,5,"""並且寫 # 真的好吃又划算👍"""
24,2017/05/09,5,"""員工服務態度佳 上菜速度佳"""
25,2017/05/09,5,"""有空就會來吃  真的讓人難以忘懷的味道"""
26,2017/05/09,4,"""十分值得來吃一趟 住台北的不得不來"""
27,2017/05/09,5,"""臺北美食之一平價美味"""
28,2017/05/09,5,""" 特推特推👍，，"""
29,2017/05/09,5,"""菜色多樣化 廉價美食"""
30,2017/05/09,5,""" 美食❤，，"""
31,2017/05/09,5,""" 非常好吃，，"""
32,2017/05/09,5,""" #特推蒜泥白肉，，"""
33,2017/05/09,5,""" 美味，，"""
34,2017/05/09,5,"""#常常帶朋友來吃"""
35,2017/05/09,2,"""白飯普通，口味適中，但並不是很有特色。，適合朋友聚會，那麼菜色味道就不是重點，聊天的氣氛還可以啦"""
36,2017/05/09,4,""" 交通方便，，"""
37,2017/05/09,4,"""輕鬆、好吃、便宜"""
38,2017/05/09,5,""" 好，，"""
39,2017/05/09,3,"""Cp值不高，適合朋友聚會"""
40,2017/05/09,5,"""多道百元熱炒，這家好吃上菜快"""
41,2017/05/09,5,""" 美味的台灣菜，有大型團體的私人房間。，，"""
42,2017/05/09,4,""" 好吃，，"""
43,2017/05/09,5,""" 台灣風味的油炸食品的好地方。不貴啊。每道菜約100至120迪拉姆。無限量免費米飯（自助服務）。提供啤酒。，，"""
44,2017/05/09,3,"""跟一般的100.-熱炒差不多;沒有很大的特色,座位特別擁擠,且還有人在店內吸煙,空氣品質不好?!有待加強。"""
45,2017/05/09,4,""" 很棒的海鮮！合理的價格。，，"""
46,2017/05/09,2,"""給料很小氣"""
47,2017/05/09,1,"""老鼠味濃的很誇張，老鼠大便也很清楚顯眼"""
48,2017/05/09,4,""" 好吃，，"""
49,2017/05/09,4,"""熱炒都蠻好吃的，三五好友聚會首選，價格實在"""
50,2017/05/09,5,""" CP值高，，"""
51,2017/05/09,1,"""非常無良的店家，會賣酒給穿著制服的未成年學生"""
52,2017/05/09,4,"""價錢公道，口味不錯"""
53,2017/05/09,3,"""就在科技大樓站旁邊的熱炒店 推薦麻婆豆腐"""
54,2017/05/09,5,""" 便宜又驚人的炒菜。，，"""
55,2017/05/09,1,""" 多麼糟糕的商店，價格昂貴的小型盤子，價格為100-150美元...早餐不滿，等待了兩盤，等待了半個小時，，"""
56,2017/05/09,1,"""吃到一半沒飯  然後店家才開始煮… 等了半小時…"""
57,2017/05/09,3,"""還可以，香橙排骨裡面有加些油條，魚湯也加入油條，很妙…"""
58,2018/05/09,3,"""以要吃飽及不高價來看的話會是個好選擇，但如果想吃好、吃得有品味那恐怕就不是首選了，普通的平價熱炒，適合學生來吃"""
59,2018/05/09,5,"""裡面還有正妹 不錯👍👍👍"""
60,2018/05/09,5,"""推薦鹹蛋苦瓜 炒清菜 白飯口感偏軟但不爛 很好入口"""
61,2018/05/09,3,"""普普一般嘍!"""
62,2018/05/09,4,"""還不錯吃"""
63,2018/05/09,4,"""炒100不過其他都還蠻貴的16個人去吃平均一個人是＄300但是吃很飽"""
64,2018/05/09,3,"""每道菜100～120左右，口味還可以，白飯自助，但有無白飯可用之風險"""
65,2018/05/09,3,""" 生意很好，交通方便。，，"""
66,2018/05/09,5,"""色香俱全，價格親民～"""
67,2018/05/09,4,"""吃熱炒就吃這家吧！只是衛生方面有些不足。"""
68,2018/05/09,5,""" 好吃，，"""
69,2018/05/09,3,"""不貴，口味還可以。"""
70,2018/05/09,4,"""每樣菜物美價 味道偏重口味 適合團體一起點菜吃"""
71,2018/05/09,5,""" 好吃，，"""
72,2018/05/09,5,"""超級好吃."""
73,2018/05/09,5,"""雖然不是很大份，但是每道菜吃下去都覺得有值得，很好吃！！！"""
74,2018/05/09,5,"""三年了，薑絲炒大腸不變的對味😍"""
75,2018/05/09,3,"""出菜速度快，價格普通"""
76,2018/05/09,2,"""極為普通，可填飽肚子。"""
77,2018/05/09,4,"""難得熱炒店竟然不會太鹹或太油，價格也很實惠"""
78,2018/05/09,3,""" 豆腐煲好吃，，"""
79,2018/05/09,5,"""划算，適合跟老朋友聚餐"""
80,2018/05/09,4,"""好吃極了"""
81,2018/05/09,2,"""熱炒有更好的選擇，漏餐點"""
82,2018/05/09,5,"""裝潢後讚讚"""
83,2018/05/09,1,"""吵雜，又不好吃"""
84,2018/05/09,3,""" 這就是我所說的一個晚上可以在深夜吃零食的地方。看起來像s @＆t，但那裡有一個不錯的填充物，然後繼續前進。第三顆星是為那個夜晚的小提琴家創造的一種波西米亞風情。豪華的af :)），，"""
85,2018/05/09,2,"""份量挺少的 很多道菜都是同樣的配料 如土豆。。"""
86,2018/05/09,5,"""蔥薑蒜一大堆"""
87,2018/05/09,1,"""上菜超慢，比我們晚到的都上完了，我們只上一道下酒的，講了三次還是一樣慢，一道吃完才上下一道⋯⋯"""
88,2018/05/09,5,""" 好吃 便宜，，"""
89,2018/05/09,1,""" 看見三個蟑螂和一隻大老鼠在不到一個小時的時間內衝進了廚房，，"""
90,2018/05/09,5,"""以台北的價位來說算是相當划算，對於食量大的多人聚餐是個不錯的選擇，菜色豐富而且好吃"""
91,2018/05/09,4,""" 小餐廳，但美味的食物，，"""
92,2018/05/09,3,"""上菜速度蠻快，CP值高"""
93,2018/05/09,1,"""爛翻天"""
94,2018/05/09,3,"""一般般～飲料有點貴～"""
95,2018/05/09,1,"""服務態度差，有一個男的一直臭臉。，環境髒，地板滑，桌子三不五時就可以看到蟲子，不知道打了多少隻了。，菜色方面真的有待加強，，宮保雞丁根本不是宮保，既沒有乾辣椒也沒有花生，竟然用洋蔥炒，令人傻眼，這樣就算了，雞丁乾材，味道超死鹹，根本用醬油去炒的，真的只能用難吃形容。，糖醋魚片的肉質口感很不好，魚不新鮮，肉質感覺都黏成一塊，吃起來真的很怪，糖醋的醬很酸很單調，比自家炒的難吃太多了，完全吃不下去。，金沙豆腐就不錯，豆腐切的夠小，味道也可以，唯一能下飯的菜。 …"""
96,2018/05/09,5,"""推金沙豆腐 口感不硬不軟又不會太鹹 很下飯， 羊肉爐 湯頭不錯 沒有羊騷味 還可以重覆一直湯 ，加菜只有50塊份量還蠻多的，還有茶鵝 搭配店家自製的醬料 這也很推薦，生意好要先定位 不然假日幾乎都會等"""
97,2018/05/09,5,"""內用白飯免費吃到飽 生魚片很新鮮 ，平日學生很多，假日來看很多家庭聚會學生聚會，菜色100塊居多 平價份量也是很足夠的，可以考慮來這家吃看看"""
98,2018/05/09,5,"""這裡是個喝酒的好地方，推薦下酒菜～椒鹽田雞 香酥中卷～想吃辣的有炒螺肉或宮保臭豆腐^ - ^，白飯也免費吃到飽"""
99,2018/05/09,5,"""蚵仔酥 份量很多 ，個人覺得每個蚵仔都很大塊，乾煎豬肝更是我的最愛，不會太硬也不會太軟，湯喜歡他們的味增鮮魚湯 ，經常來這裡跟同學聚餐💕，對我們這些學生來說負擔不會太重，平均每個人花費150～300$，以台北市來說不貴"""
100,2018/05/09,5,"""日式炸豆腐很嫩，生意很好人很多 ，和同學來喝酒吃下酒菜，菜便宜好下飯"""
101,2018/05/09,3,"""食材不錯但調味料加太多，100元熱炒的肉普遍較少"""
102,2018/05/09,3,"""菜色多 平價消費,朋友一起聚餐, 方便實惠"""
103,2018/05/09,4,""" 在這裡，您可以和朋友一起玩樂。您可以放心，價格合理。，，"""
104,2018/05/09,3,""" 普普通通！，，"""
105,2018/05/09,5,""" 太嗨了，，"""
106,2018/05/09,5,"""小酌 平價"""
107,2018/05/09,5,""" 快炒100元，，"""
108,2018/05/09,1,"""有幾隻蟑螂出沒 在桌子旁邊，餐廳油膩膩 髒兮兮...這樣還去吃 我只能說你真的不在乎衛生與健康. Very insanitation environment with cockroach and unclean table, floor and kitchen...Strongly suggest Do Not Come!"""
109,2018/05/09,1,"""筷子沒洗乾淨還有殘渣，，菜上超～～～～慢，追加評論：菜上了 結果變飯沒了"""
110,2018/05/09,3,""" 食物嘗起來很好，但事實證明它不是很新鮮。這很便宜。，，"""
111,2018/05/09,4,"""比較安靜的一家熱炒餐廳，料理不油膩。還不錯吃。"""
112,2018/05/09,3,"""味道不錯中規中矩"""
113,2018/05/09,1,"""白飯太乾，酥蝦、菜脯蛋超油，連最簡單的牛肉空心菜超級死鹹.....等等，真的很不推！"""
114,2018/05/09,4,"""出菜快！味道不錯又便宜！"""
115,2018/05/09,3,"""餐點不貴但份量少，口味一般，服務生年紀輕但還蠻有禮貌的"""
116,2018/05/09,4,"""食物都很便宜，一盤100很划算"""
117,2018/05/09,4,"""菜不錯吃、"""
118,2018/05/09,5,""" 美食的好地方！，，"""
119,2018/05/09,1,"""蟑螂從牆面呼嘯而過……"""
120,2018/05/09,3,"""熱炒的各項菜色價格都不高，約百元，上菜速度滿快的，一下子桌全滿了，大部分味道和火候其實不錯，聊天吃飯的好地方，白飯自己來。，鹹豬肉～老實說肉真的太硬了～，蛋中蛋～蛋裡有皮蛋，是有趣的一道，不過皮蛋裡的蛋黃（蛋黑），沒吃到～～，炒飯～還滿好吃的說。粒粒清楚是醬油調的，味道平均。，點個十道約1200（含霸啤酒兩瓶），算CP值不錯的熱炒地。，魚香烘蛋100～味好蛋軟好下飯。，三杯中卷150～卷硬了點，裡雰豬血糕滿入味。熱炒必點苦瓜鹹蛋100～不錯，滿平均，苦瓜不夠脆。 …"""
121,2018/05/09,1,"""使用沙茶料理炒麵吃起來太乾，麵條本身吸附醬汁失敗，不易下嚥，海瓜子炒不到位，味道沒有鎖在裡頭，海瓜子本身吐沙不乾淨，海瓜子殼破碎，咬起來口感不佳"""
