id,date,star,text
1,2017/05/15,5,"""很有鍋氣 味道很捧 遠超所值! """
2,2017/05/15,5,"""超好吃！用料很新鮮～"""
3,2018/05/15,5,"""碗公大的蛤蜊湯$60，什錦炒飯$70含一塊豬肝+數塊花枝腳+數枚蝦仁。上菜很快，便宜又好吃！！唯一缺點就是路邊攤無冷氣。"""
4,2018/05/15,4,"""路邊攤快炒 鍋氣厲害 用餐環境勉強 蛤蜊湯很大顆"""
5,2018/05/15,5,"""好吃 不解釋 想知道就直接吃看看 推炒飯"""
6,2018/05/15,5,""" 最好的炒飯和炒麵，，"""
7,2018/05/15,3,"""老攤位，味道還不錯！"""
8,2018/05/15,5,"""好好吃的路邊攤！！價位很實在口味很道地！人很多的時候可能要等一下下！"""
9,2018/05/15,5,"""肉絲炒飯超好吃 羊肉炒麵好吃，這家龍珠是我們家吃過最好吃的！"""
10,2018/05/15,5,""" 便宜又好吃，但是要有耐心等⋯，，"""
11,2018/05/15,4,"""油煙味很重"""
12,2019/05/15,5,"""炒飯好吃，幫忙的妹妹很傲嬌"""
13,2019/05/15,4,""" 可口美味，，"""
14,2019/05/15,5,"""九層塔炒蛤蜊真是新鮮呀，什錦炒麵更是我的愛"""
15,2019/05/15,4,""" 大安路邊小店 難得殘存的攤舖，快炒海類 陸類都各具特色，炒飯炒麵也是夠味又唰嘴，也可以讓老闆娘推薦菜色，應該不會讓人失望，，一直是十幾年來的私房晚餐點，，"""
16,2019/05/15,4,"""價錢要詢問老闆，150-350 佛心價，份量滿意又好吃"""
17,2019/05/15,5,"""超好吃！食材新鮮，炒功一流。人多時上菜還是快，並且客製化需求都有全部顧到（如加辣或不要蔥等）老闆娘態度好並且價格公道。"""
18,2019/05/15,5,"""價格不低，但是東西份量很實在，快炒也很夠味，一試成主顧！"""
19,2019/08/15,5,"""好吃 炒飯份量大又便宜 推"""
20,2019/08/15,5,"""口味超讚，菜色應有盡有"""
21,2019/12/15,5,"""讚的啦 豬肝湯麵"""
22,2019/12/15,4,"""認真的快炒小攤，生意很好，乾淨新鮮。價格實在，炒飯炒麵七十元，炒青菜七十元，炒苦瓜150元，三杯雞250元。包裝外帶不錯，湯汁都沒漏。料多份量也大，調味也剛好，算是CP值很高的小攤。請他將長輩的麵燒爛一點，果然有做到，感恩。炒飯有加醬油，古早味，我喜歡，但有點甜，下次會請他加辣椒不加甜。"""
23,2020/01/15,4,"""雖然是路邊攤，但平價好吃！"""
24,2020/03/15,5,"""雖然是小吃攤，但是東西水準很高。沙茶牛肉很香，蛤蜊湯鮮甜，人潮絡繹不絕。"""
25,2020/05/10,3,"""3盤炒飯/麵，還有一盤薑絲大腸，結帳拿出500只找回不到5個銅板😑 感覺小貴，比較適合外帶…"""
