id,date,star,text
1,2018/05/09,5,"""店名雖為羊肉爐，不過熱炒也相當有水準，可選擇種類很多而且份量很慷慨。在清粥小菜街價位比較起來也是合理。值得一試！"""
2,2018/05/09,3,"""位置太小，擁擠"""
3,2018/05/09,1,""" 不好吃，，"""
4,2018/05/09,3,"""熱炒不錯，清燉羊肉爐尚可，值得一試"""
5,2018/05/09,4,""" 好吃，，"""
6,2018/05/09,5,"""砂鍋魚頭滿滿一鍋的料... 最後打包回家再加菜。很多道熱炒也都非常好吃。地點明顯好找，下次再約多點人去打牙祭。"""
7,2018/05/09,5,"""每道菜都很有層次，很好吃，而且價位很合理"""
8,2018/05/09,3,"""羊肉爐清燉湯頭不錯，但料有點少cp不高，點的炒青菜算好吃，，餐具沒洗乾淨，桌面也沒保持乾淨，十分不妥"""
9,2018/05/09,5,""" 好吃，，"""
10,2018/05/09,1,"""臉超臭的老闆，點單時沒人廚房也不協助"""
11,2019/05/09,3,"""有百元熱炒之風味，然而出菜稍嫌慢了些。"""
12,2019/05/09,5,"""熱炒真的超好吃"""
13,2019/05/09,4,""" 適合喝啤酒的平價熱炒店，重口味加吵雜的人聲，很有氣氛，服務親切!，怕吵的就別來!，，"""
14,2019/05/09,2,"""老闆娘是個賣點。"""
15,2019/05/09,4,"""熱炒店環境乾淨 菜色豐富很好吃"""
16,2019/05/09,5,"""小卷必點"""
17,2019/05/09,1,"""我以為來到霧都...."""
18,2019/05/09,5,""" 炒牛肉很辣，兼容啤酒！，，"""
19,2019/05/09,3,"""菜色偏鹹，店家出菜有點慢，但服務不錯"""
20,2019/05/09,1,""" 煙濛濛？我不會在這裡用餐。，，"""
21,2019/05/09,5,"""平價美味，三倆好友聚會小酌的好地方"""
22,2019/05/09,1,"""明明在五十分鐘前就點的菜，卻一直不出菜。老闆說要烤30分鐘，可現在也都要一小時了。"""
23,2019/05/09,4,""" 便宜好吃，，"""
24,2019/05/09,5,"""熱炒味道很好，食材很新鮮"""
25,2019/05/09,1,"""學生也是客人 一百多也是消費 感覺內用是在佔他們位子 去便利商店也不會這樣被看不起"""
26,2019/05/09,3,"""熱炒蔥薑蒜辣椒配料佔據一盤份量之半，味道雖不錯，但並無特別之處。羊肉爐湯清甜，口味偏淡，凍豆腐有種微酸味，總體來說，應不會再造訪。"""
27,2019/05/09,5,"""跳跳雞必點(還有菜單上沒有的""跳跳牛"")"""
28,2019/05/09,3,"""菜色平價  人多時比較吵鬧  晚一點時間開始抽煙"""
29,2019/05/09,5,""" 好吃，，"""
30,2019/05/09,5,""" 好吃，，"""
31,2019/05/09,1,"""電視看中天"""
32,2019/05/09,5,"""砂鍋魚頭料多味美湯頭讚！"""
33,2019/05/09,5,"""好吃 價格合理"""
34,2019/05/09,4,"""有兩把刷子  菜色變化又多  跟一般店不一樣  值得"""
35,2019/06/09,4,"""價格合理 蒜泥白肉味道過重 但其他餐點非常好吃 用餐環境還不錯"""
36,2019/06/09,4,"""快炒道地口味，推薦水蓮炒肉絲、五更腸旺。"""
37,2019/07/09,5,""" 很棒，，"""
38,2019/07/09,3,"""24小時開欸"""
39,2019/07/09,5,"""在家吃飯感覺"""
40,2019/08/09,5,"""好吃好吃，服務親切"""
41,2019/08/09,4,"""氣氛熱絡的平民美食，推薦。"""
42,2019/09/09,2,""" 食物還可以，但服務絕對可怕。所有者在晚上7點30分對我們進行預約爆炸，然後長時間咆哮著如何破壞她的生意以及她如何提供低利潤的食物。，，"""
43,2019/09/09,5,"""菜很下飯，加上免費白飯吃到飽。喜歡小酌的人可以去試試，值得推薦。"""
44,2019/09/09,3,"""老闆娘親切，可惜想吃飽得加點"""
45,2019/10/09,5,""" 走過這個地方幾次，所以想也許應該試一試。這個地方的食物味道令人驚訝。部分大小不錯，服務很好。，將再次回來。，，"""
46,2019/11/09,4,"""熱炒好吃"""
47,2019/12/09,5,"""菜色多，價位跟份量都適中，味道也不像其他快炒店油且鹹，收得很好，料也豐富沒有偷工減料。是個水準中上的快炒店，店內座位少但舒適，不會太擠，是個不錯的用餐經驗"""
48,2020/01/09,5,"""讚"""
49,2020/01/09,4,"""味道鮮美！服務親切!"""
50,2020/01/09,4,"""熱炒小酌或是親友聚餐，預定桌菜的話，菜色豐富、食材新鮮道地好吃，重點是經濟實惠。我們訂了2桌@5500元的桌菜，20人份有飯店宴席的水準。大家吃飽喝足滿意又歡樂！👍"""
51,2020/01/09,4,"""雖然價格偏高 但是菜色跟湯頭不錯"""
52,2020/01/09,4,"""店面小，好吃，價格親民，美麗老闆娘親切招呼，3，5好友輕鬆吃一餐美味的好選擇"""
53,2020/02/09,5,"""親切的老闆娘，如家一般的待遇"""
54,2020/02/09,1,"""上菜速度真的無話可說就是慢、慢、慢，才點8道菜整整一個小時才出5道，炒飯，炒麵，2樣青菜，一個湯，出菜就慢了阿服務人員一直來收餐盤感覺很差，等到火氣都上升了說要結單，就說另外3樣說都已經炒好了，一樣要算錢，以後不會再光顧了。"""
55,2020/02/09,5,"""食材鮮 服務佳"""
56,2020/03/09,5,""" 好吃，，"""
57,2020/03/09,1,"""不值得特別去"""
58,2020/04/09,5,"""老闆娘有趣漂亮，食物好吃"""
59,2020/04/09,5,"""功夫菜的內涵、熱炒店的親民，驚艷"""
