id,name,date,star,text
1,老朋友小酌熱炒,2016/05/09,2,""" 平庸的品質重新食用。會在下次嘗試別的地方。他們確實有一個非常可愛的Frenchie跑來跑去。，，"""
2,老朋友小酌熱炒,2017/05/09,5,"""東西便宜好吃，晚餐宵夜好選擇"""
3,老朋友小酌熱炒,2017/05/09,3,"""味道沒有以前做得好了～味道偏鹹的下酒菜～這裡的魚賣得太貴了～"""
4,老朋友小酌熱炒,2017/05/09,4,"""平價美味"""
5,老朋友小酌熱炒,2017/05/09,4,""" 口味不錯，價格不高，有幾樣菜蠻有特色的，滑蛋牛肉，芋頭鴨，雞肉捲，一個人大約NT$300到500-。，，"""
6,老朋友小酌熱炒,2017/05/09,5,"""特殊料理是沒在菜單上出現的，非常好吃！要先預約訂位，否則要稍為等一下，店內常客滿喔"""
7,老朋友小酌熱炒,2017/05/09,5,"""輕鬆小酌 用餐的地方，老闆超級熱心"""
8,老朋友小酌熱炒,2017/05/09,5,"""老闆親切 東西好吃 常常客滿要去先訂位喔"""
9,老朋友小酌熱炒,2017/05/09,5,""" 很棒的聊天聚集地方，，"""
10,老朋友小酌熱炒,2017/05/09,5,"""菜色豐富，用料實在，是聚會小酌的好選擇！"""
11,老朋友小酌熱炒,2017/05/09,5,"""適合家人朋友聚餐、價格合理又好吃👍🏻☺️"""
12,老朋友小酌熱炒,2017/05/09,5,""" 好吃好吃，，"""
13,老朋友小酌熱炒,2017/05/09,5,"""老闆大方  出菜效率又很快  菜好吃  值得推薦 平價又划算"""
14,老朋友小酌熱炒,2017/05/09,5,"""小酌聚會的好選擇!"""
15,老朋友小酌熱炒,2017/05/09,5,"""老闆熱心，服務很好。，CP值高～推推推👍"""
16,老朋友小酌熱炒,2017/05/09,5,"""好吃 cp值高的熱炒店  店狗乾杯超貪吃超可愛😆😆"""
17,老朋友小酌熱炒,2017/05/09,5,"""人情味一級棒"""
18,老朋友小酌熱炒,2017/05/09,5,""" 好吃，，"""
19,老朋友小酌熱炒,2017/05/09,5,"""蝦子超大又平價服務又好又熱情"""
20,老朋友小酌熱炒,2017/05/09,5,""" 便宜又好吃，，"""
21,老朋友小酌熱炒,2017/05/09,2,"""櫃檯服務愛理不理，即使在忙也說一聲吧！我們櫃檯點餐也只瞄了一眼就說去找廚房看有沒有人有空是什麼意思？"""
22,老朋友小酌熱炒,2017/05/09,5,""" 天哪太好吃了，，"""
23,老朋友小酌熱炒,2017/05/09,5,"""好吃～ 老闆神帥～"""
24,老朋友小酌熱炒,2017/05/09,5,"""好吃大安區首選！"""
25,老朋友小酌熱炒,2017/05/09,5,"""好吃 好玩 很溫馨的地方 老闆還會找你喝酒唷^^"""
26,老朋友小酌熱炒,2017/05/09,5,"""這地方真的超讚！！，老朋友當然要來這聚聚！"""
27,老朋友小酌熱炒,2017/05/09,5,""" 好吃! 有隻淡定的法鬥犬在鎮店，，"""
28,老朋友小酌熱炒,2017/05/09,5,""" 好啊，，"""
29,老朋友小酌熱炒,2017/05/09,4,"""好吃  有別於其他間熱炒店"""
30,老朋友小酌熱炒,2017/05/09,5,"""超好吃，老闆超熱情，一直拿高梁出來乾杯～乾杯店長又憨又可愛！"""
31,老朋友小酌熱炒,2017/05/09,5,"""料理實在 服務親切 家的味道 全新體驗"""
32,老朋友小酌熱炒,2017/05/09,5,"""東西便宜好吃，大推！！"""
33,老朋友小酌熱炒,2017/05/09,3,""" 便宜，，"""
34,老朋友小酌熱炒,2017/05/09,4,"""平價美味的台菜料理，老闆待客和善，出菜速度也快，料理不會過油重鹹，適合三五好友小聚。"""
35,老朋友小酌熱炒,2017/05/09,5,"""特別的熱炒"""
36,老朋友小酌熱炒,2017/05/09,5,"""菜色好，老闆親切，店狗很可愛"""
37,老朋友小酌熱炒,2017/05/09,5,"""好吃 有許多特殊菜色有別於一般熱炒店 老闆很熱情！"""
38,老朋友小酌熱炒,2018/05/09,4,"""菜色大勝一般熱炒店，無論是簡單的炒飯或四寶湯都有用心去讓調味更豐富！大推！"""
39,老朋友小酌熱炒,2018/05/09,3,"""可以大聲聊天 的好地方"""
40,老朋友小酌熱炒,2018/05/09,3,""" 搜搜，，"""
41,老朋友小酌熱炒,2018/05/09,4,"""很不錯"""
42,老朋友小酌熱炒,2018/05/09,5,"""我喜歡"""
43,老朋友小酌熱炒,2018/05/09,4,"""東西好吃，價格也不貴唷…是聚餐聊天的好地方"""
44,老朋友小酌熱炒,2018/05/09,4,"""價格合理的快炒店"""
45,老朋友小酌熱炒,2018/05/09,5,"""請問可以訂位嗎？"""
46,老朋友小酌熱炒,2018/05/09,5,"""老闆親切，便宜又好吃！"""
47,老朋友小酌熱炒,2018/05/09,5,"""跟一般熱炒店比起來很好吃"""
48,老朋友小酌熱炒,2018/05/09,2,"""有點貴"""
49,老朋友小酌熱炒,2018/05/09,4,"""新鮮好吃"""
50,老朋友小酌熱炒,2018/05/09,4,""" 這是當地人經常品嚐當地美食的地方。好東西很不錯，可以接受的價格和很好的選擇。，，"""
51,老朋友小酌熱炒,2018/05/09,5,""" 好吃好吃 又便宜💪，，"""
52,老朋友小酌熱炒,2018/05/09,5,""" 好吃，，"""
53,老朋友小酌熱炒,2018/05/09,5,"""老闆出菜速度快又廉價，餐廳又又很乾淨  超推薦"""
54,老朋友小酌熱炒,2018/05/09,5,"""與朋友聚餐，卻不曉得那裡有好菜，可以招待朋友而不失臉面，選擇這裡就對了，菜好吃又平價，是個讓你可以與朋友相談甚歡的場地"""
55,老朋友小酌熱炒,2018/05/09,5,"""很棒的熱炒店，適合下班時間約朋友聚在一起吃飯聊天的好地方，重點是價格合理又好吃呦！"""
56,老朋友小酌熱炒,2018/05/09,5,"""之前約朋友一起去吃，還有男朋友，他們都說真的很好吃，叫我下一次生日的時候再去吃一次，品質好，又很美味，還沒端上菜的時候，就聞到香噴噴的味道，讓人想一直去，或許我再怎麼吃也不會膩喔！哈哈，而且我除了這間快炒其他間我都沒吃過我的朋友都說以後要吃快炒挑這間就對了，真的很讚😍😍"""
57,老朋友小酌熱炒,2018/05/09,5,"""這間熱炒店cp值超高的 很新鮮 口感又好，很適合朋友一起揪來小酌一杯"""
58,老朋友小酌熱炒,2018/05/09,5,"""東西好吃，價錢又平價，環境衛生都很好，服務也好到沒話說"""
59,老朋友小酌熱炒,2018/05/09,4,"""小炒及烤物都不錯啊"""
60,老朋友小酌熱炒,2018/05/09,4,"""菜好吃，但店小人少，適合人少來吃"""
61,老朋友小酌熱炒,2018/05/09,4,"""份量大，價格合宜，油條那道菜很令人驚喜，其他還算中規中矩"""
62,老朋友小酌熱炒,2018/05/09,3,""" 食物味道不錯！可惜食材不太新鮮！魚下巴有腥味很重！椒鹽排骨有臭油味！還有從來沒吃過那麼酸的酸菜肚片湯！，，"""
63,老朋友小酌熱炒,2018/05/09,4,"""鹽酥蝦～油條酥～推～"""
64,老朋友小酌熱炒,2018/05/09,1,"""出菜數度真的慢，已經等一個小時了，還說魚在退冰⋯傻眼了。。"""
65,老朋友小酌熱炒,2018/05/09,2,"""味道不算差，但我想稱之為快炒能弄1小時沒出完菜（當下只有我們點菜），這速度跟服務員給的理由實在難接受⋯好好改進吧！"""
66,老朋友小酌熱炒,2018/05/09,5,"""常站在櫃台那個是老闆唷!!好年親,還算是個帥哥"""
67,老朋友小酌熱炒,2018/05/09,5,"""去吃3次,都點了不同的菜色,菜色內容都讓我非常精艷,份量多東西超好吃跟一般熱炒店的差別就是他們的調味非常用心"""
68,老朋友小酌熱炒,2018/05/09,3,"""普通熱炒店，來這邊有喝酒應該不錯"""
69,老朋友小酌熱炒,2018/05/09,5,"""東西好吃,除了擠了一點,其他沒得挑剔"""
70,老朋友小酌熱炒,2018/05/09,2,"""欸欸 沒有很厲害啊 評價的人都是去喝酒吧"""
71,老朋友小酌熱炒,2018/05/09,5,"""很熱鬧,東西很超好吃"""
72,老朋友小酌熱炒,2018/05/09,5,"""很喜歡這種份圍"""
73,老朋友小酌熱炒,2018/05/09,5,"""海鮮老油條跟脆皮雞一定要點"""
74,老朋友小酌熱炒,2018/05/09,5,"""脆皮雞 牛轉乾坤好好吃"""
