id,date,star,text
1,2013/05/14,4,"""我覺得不錯啊"""
2,2013/05/14,3,"""某天去買宵夜，他們店裡都開的蠻晚的，而且客人也不少，東西還OK，雖然有時會後被嚇到，但平均還可以。不過當天晚上整個給氣炸了，我大約十一點多到，跟ㄧ位穿著店裡工作服的先生點了外帶的餐，他似乎身上的麥克風不知道說了什麼，要去點餐機器時，另一位小姐走過來，對他說，不要點餐....，???，當下我想說他是不是意思是外帶的不用用點餐機？不過我已經跟他們店裡的人說了，所以就乖乖著站在門口等，我等等等等等，等到十七分左右，發現比我晚進去靠門邊坐位的客人上了一個炒麵了，我想可能是因為炒麵比較 …"""
3,2013/05/14,3,"""食材新鮮又好吃，適合三五好友聚會聊天"""
4,2016/05/14,5,""" 好吃！，，"""
5,2016/05/14,5,""" 友情！，，"""
6,2016/05/14,5,""" 很好吃！ ！，，"""
7,2016/05/14,3,"""還可以但不知道生意在好什麼，東區快炒店太少吧？"""
8,2016/05/14,1,"""坐很久叫他來點餐都不來，服務很差 人手不足"""
9,2016/05/14,3,"""餓到頭暈了。"""
10,2016/05/14,3,"""中午去的，上菜有點慢，菜色還可以。"""
11,2016/05/14,4,"""平價快炒 經常客滿"""
12,2016/05/14,3,"""還好而已"""
13,2016/05/14,4,"""平價又好吃的店"""
14,2016/05/14,3,""" 普通，，"""
15,2016/05/14,3,"""動作變慢就算了，態度也變差，扣點分"""
16,2016/05/14,3,"""人多要等蠻久"""
17,2016/05/14,4,""" 熱炒的小地方，但你可以獲得真實的體驗和美味的食物。他們的宮保雞肉可能是鎮上最好的。價格略高於普通的re chao商店，但部分也更大。，，"""
18,2017/05/14,3,"""簡單美味的家常菜，大推醬油蛋，非常下飯，可惜禁菸區並沒有完全隔開，還有環境不是很乾淨"""
19,2017/05/14,3,"""平價普通口味的快炒店"""
20,2017/05/14,5,"""在東區逛累了，三五好友聚餐的好去處，價格平實，地點也在SOGO附近，唯一的缺點大概是消費人數太多，如果點第二輪餐點可能要稍微等一下，東西好吃喔~"""
21,2017/05/14,5,"""服務好 味道好 人多需定位"""
22,2017/05/14,3,"""要有耐心的人才可以來吃，，因為要等非常非常的久菜才會來.，，不過菜是還可以"""
23,2017/05/14,4,"""不錯吃"""
24,2017/05/14,1,"""吃過很多次 越來越差勁 上菜超級慢 有一位阿嬤服務生臉臭到極點 不知道在兇什麼 絕對不會再來 誇張"""
25,2017/05/14,4,"""平價好吃"""
26,2017/05/14,5,"""熱炒很好吃，大推"""
27,2017/05/14,4,"""在台北市東區這算平價好吃的！，和好友小酌的好地方。"""
28,2017/05/14,2,""" 服務非常無組織。他們幾乎無法弄清楚我們的預訂。座位是hella不舒服。男性洗手間由一個沒有門的小便池組成，對於一個非常難以推動啤酒的地方而言，這不是最好的設置。食物很好，但這種類型的餐廳低於標準桿。，，"""
29,2017/05/14,4,""" 好吃，，"""
30,2017/05/14,3,""" 普通，，"""
31,2017/05/14,4,"""上菜要等很久，但餐點還不錯吃"""
32,2017/05/14,3,"""食物偏油但還不錯"""
33,2017/05/14,4,"""常光顧"""
34,2017/05/14,4,"""熱鬧，熱炒好吃"""
