id,name,date,star,text
1,菜真香,2016/05/17,4,"""上班族中午吃飯好地方"""
2,菜真香,2016/05/17,4,"""價格實惠，份量夠大，口味稍普通..."""
3,菜真香,2017/05/17,4,"""熱炒好吃！"""
4,菜真香,2017/05/17,4,"""位於通化街夜市不遠，也鄰近信義安和站的一間很有名的熱炒店，，熱炒店當然就是東西要好吃，菜真香的價位老實說比其他熱炒都來貴，很多菜色都是快200起跳，但其實可以看到份量都是不輸外面熱炒店，，鹹酥龍珠- 菜色要首推的是他們的鹹酥龍珠，不同於其他熱炒店，都是小小顆的，他們的龍珠可是非常的大，是來店內必點，，鹹蛋炒豆腐 - …"""
5,菜真香,2017/05/17,4,"""好吃的熱炒，口味不會太鹹，如果價格再低一點點就五顆星了。"""
6,菜真香,2017/05/17,4,"""好吃～價格不貴 適合聚餐"""
7,菜真香,2017/05/17,5,""" 超好吃，，"""
8,菜真香,2017/05/17,5,"""CP值很不錯"""
9,菜真香,2017/05/17,5,"""沒吃過這家的鹽酥龍珠，千萬別說你吃過好吃的龍珠。至於我呢？在吃過菜真香之後，從此沒有任何一家快炒店能讓我記住他們的名字！，必點菜色：鹽酥龍珠、烤鹹豬肉，炸透抽，大推菜色：宮保雞丁、香酥臭豆腐、，也很好吃：烤魚下巴、脆皮大腸、，基本上這家店沒有什麼地雷啦，大家可以放心嘗試任何想吃的菜。"""
10,菜真香,2017/05/17,5,"""很習慣也喜歡這的菜色。"""
11,菜真香,2017/05/17,4,"""龍珠是必點!"""
12,菜真香,2017/05/17,3,""" 美味的食物，，"""
13,菜真香,2017/05/17,5,"""上班族中午吃飯好地方"""
14,菜真香,2018/05/17,4,"""好吃，蚵酥與椒鹽龍珠新鮮，沒有油耗味，就是服務速度可以再快點好"""
15,菜真香,2018/05/17,4,"""2015-King & Long ，Grant聊是非，比一般熱炒稍貴一點。"""
16,菜真香,2018/05/17,5,""" 很棒，，"""
17,菜真香,2018/05/17,5,""" 好食物，，"""
18,菜真香,2018/05/17,5,"""治癒了對面四川牛肉麵帶給我的傷痛！上菜快，服務好，肉很滑嫩，口味略重。"""
19,菜真香,2018/05/17,3,""" 平民美食，，"""
20,菜真香,2018/05/17,4,"""鹹酥龍珠很好吃"""
21,菜真香,2018/05/17,3,"""分量不錯，味道比較平平，清淡的吃還可以，炒蛤蜊滿大顆德"""
22,菜真香,2018/05/17,5,"""吃過兩次 但就膩了，除非沒有別家可以吃是不會再來"""
23,菜真香,2018/05/17,5,""" 好吃的料理，，"""
24,菜真香,2018/05/17,5,"""熱炒菜色的口味良好~"""
25,菜真香,2018/05/17,5,""" 好吃台菜，鹹豬肉，龍珠百吃不厭，老闆服務親切。，，"""
26,菜真香,2018/05/17,3,"""小貴，都2,3百上下一盤"""
27,菜真香,2018/05/17,4,""" 好吃，，"""
28,菜真香,2018/05/17,2,"""味淡量少，該辣不辣，該勾芡沒勾芡"""
29,菜真香,2018/05/17,3,"""用餐環境寬敞、乾淨，菜色還可以"""
30,菜真香,2018/05/17,4,"""好吃的熱炒，宮保雞丁、龍珠都非常好吃！"""
31,菜真香,2018/05/17,4,"""不錯吃！"""
32,菜真香,2018/05/17,4,"""好吃、明亮、乾淨"""
33,菜真香,2018/05/17,1,"""蘋果西打600cc 60元 去搶好了"""
34,菜真香,2018/05/17,5,""" 超好吃。，，"""
35,菜真香,2018/05/17,5,"""吃過菜真香一定會上癮，我從開幕至今至少來超過100次了！瘋狂吧！"""
36,菜真香,2018/05/17,5,"""超好吃，值得一來再來"""
37,菜真香,2018/05/17,4,"""炒飯好吃"""
38,菜真香,2018/05/17,5,"""服務親切，吃過一次就上癮了，炒飯炒麵都很好吃。"""
39,菜真香,2018/05/17,4,""" 菜好吃，聚餐好地方，，"""
40,菜真香,2019/05/17,5,"""真的好吃！真的菜真香！老闆娘又很親切！真的像回家吃飯一樣！讚！"""
41,菜真香,2019/05/17,1,"""店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員態度超爛！店員 …"""
42,菜真香,2019/05/17,5,"""真的不錯吃"""
43,菜真香,2019/05/17,3,"""炒飯炒麵口味不錯，熱炒有點貴"""
44,菜真香,2019/05/17,5,"""好吃又便宜，聚會聊天好地方"""
45,菜真香,2019/05/17,5,"""好吃的熱炒"""
46,菜真香,2019/05/17,4,"""便宜好吃的餐廳。"""
47,菜真香,2019/05/17,4,"""店員很熱情親切，料理也很好吃。價格雖然比百元熱炒之類的貴但吃的很滿意，一個人平均約300-500間，椅子是木頭有點黏黏的是唯一覺得可惜的地方。附近的熱炒店裡面我推薦這家"""
48,菜真香,2019/05/17,4,"""東西很好吃，不過價格有點偏高"""
49,菜真香,2019/05/17,4,"""鮮蚵粥和麻辣臭豆腐好吃，上菜快！但價格稍貴"""
50,菜真香,2019/05/17,5,"""這家的菜都不錯吃"""
51,菜真香,2019/05/17,5,""" 好吃，，"""
52,菜真香,2019/05/17,4,""" 出餐快，，"""
53,菜真香,2019/05/17,4,"""口味不錯價格稍貴"""
54,菜真香,2019/05/17,5,"""店如其名，菜真的很香，喜歡吃麻辣臭豆腐鴨血"""
55,菜真香,2019/05/17,4,"""口味不錯，假日需訂位。"""
56,菜真香,2019/05/17,5,"""好吃 .....  來試試就知道  但要先訂位喔"""
57,菜真香,2019/05/17,4,""" 晚餐，，"""
58,菜真香,2019/05/17,4,""" 這裡的美食。，，"""
59,菜真香,2019/05/17,5,""" 好吃份量足，，"""
60,菜真香,2019/05/17,4,"""下班後聚餐好去處。好吃價格又沒有負擔，來過很多次，大推。"""
61,菜真香,2019/05/17,5,""" 中午吃便餐、晚上吃好料喝啤酒的好所在，，"""
62,菜真香,2019/05/17,5,"""價位合理，我愛吃他們家的鮭魚炒飯，其他熱炒也很不錯，份量足"""
63,菜真香,2019/05/17,4,"""味道、價位都不錯，只是稍微有點鹹"""
64,菜真香,2019/05/17,4,"""說真的，菜的味道吃起來比外面的熱炒店好太多了，不過一分錢一分貨，這裡的價格比起熱炒店還要來的高，不個人認為相當值得，是一間適和朋友小聚喝兩杯的，或是家庭聚餐都ok的，不過就是在假日的時候要先定位就是真的，不然一定沒得吃，建議在平日去吃比較沒壓力，也不會那麼吵，招牌菜鹹豬肉必點，龍珠就要看當天主廚炸的如何了。"""
65,菜真香,2019/05/17,3,""" 好吃的台菜，，"""
66,菜真香,2019/05/17,5,""" 這是炒菜和冰鎮啤酒的選擇。與朋友一起歡呼的完美場所。餐廳的一切服務和合理的價格，，"""
67,菜真香,2019/05/17,3,"""這次是點鹹肉炒飯($100)，份量稍少一點點，但味道還算可以"""
68,菜真香,2019/05/17,2,"""牆壁圖鴨好風格，食物料理尚提昇"""
69,菜真香,2019/05/17,5,"""熱炒好吃，必點菜脯蛋、麻婆豆腐，隨便就能嗑2碗飯"""
70,菜真香,2019/05/17,5,"""菜真香1076臭宅聚最讚啦！！！！"""
71,菜真香,2019/05/17,5,""" 非常好，，"""
72,菜真香,2019/05/17,5,"""適合一個適合下班後三五好友相約一起來小酌聊天的好所在。"""
