id,name,date,star,text
1,阿珍熱炒,2018/05/11,5,"""不錯吃，價廉物美"""
2,阿珍熱炒,2018/05/11,5,"""食物新鮮，師傅料理好吃，價錢便宜"""
3,阿珍熱炒,2018/05/11,4,"""比一般熱炒店，用料充足實在，味美價廉，是一個三五好友聚餐小酌的好地方。"""
4,阿珍熱炒,2018/05/11,5,"""好吃又平價"""
5,阿珍熱炒,2018/05/11,4,"""氣氛熱絡！！"""
6,阿珍熱炒,2019/05/11,5,"""平價熱炒 好吃不亂炒"""
7,阿珍熱炒,2019/05/11,3,"""國民小吃，服務親切。"""
8,阿珍熱炒,2019/05/11,5,"""海鮮新鮮好吃、很棒的👍平價美食"""
9,阿珍熱炒,2019/05/11,3,"""還可以的餐廳"""
10,阿珍熱炒,2019/05/11,4,"""台菜，有家的味道，價格親民，炒飯好吃, 但位置有點偏僻，騎車比較方便。"""
11,阿珍熱炒,2019/09/11,2,"""夏天不開冷氣，室內抽菸的客人多，菜色跟份量一般，料理味道是不錯，但是應該味精加太多，吃完不舒服。"""
12,阿珍熱炒,2019/10/11,3,"""環境舒適，態度親切，餐點好吃，整潔尚可"""
13,阿珍熱炒,2019/12/11,3,"""價錢普通，地方尚可，廁所滿亁淨，店外有停車格，看運氣，地下室有卡拉OK可唱歌"""
14,阿珍熱炒,2019/12/11,5,"""讚，非常好吃"""
15,阿珍熱炒,2020/02/11,4,"""第一次在熱炒店投票，很新鮮"""
