id,text,name,date,star
1,"""好吃，老闆人又不錯！，聚餐好地方！""",土角厝懷舊小吃店,2017/05/14,5
2,"""餐廳好有懷舊氣氛，餐點也不錯""",土角厝懷舊小吃店,2017/05/14,4
3,"""點了土窯雞，老闆忘了。還反問我們：「你們難道不知道要等一個小時嗎？」。等了一個小時後又改口：「雞才剛運來要再等一個小時」。後來又改口：「雞只剩一隻，但看錯桌號已經給別桌了」。，太扯了！""",土角厝懷舊小吃店,2017/05/14,1
4,"""裝潢與餐點都滿有特色""",土角厝懷舊小吃店,2017/05/14,4
5,""" 好吃，，""",土角厝懷舊小吃店,2017/05/14,4
6,"""烤雞超好吃，豬油飯和麵線則稍乾，但有些人可能會喜歡。""",土角厝懷舊小吃店,2017/05/14,4
7,"""懷舊風情""",土角厝懷舊小吃店,2017/05/14,5
8,"""古早味懷念台式小吃 還有各式各樣經典菜色 古早味辦桌料理 菜色相當豐富 值得一再光臨""",土角厝懷舊小吃店,2017/05/14,5
9,"""讚，一定要來""",土角厝懷舊小吃店,2017/05/14,5
10,"""雞很好吃，其他菜色中規中矩。適合吃氣氛者。""",土角厝懷舊小吃店,2017/05/14,3
11,"""服務親切，好吃""",土角厝懷舊小吃店,2017/05/14,5
12,"""台菜超正點""",土角厝懷舊小吃店,2017/05/14,5
13,""" 好吃，，""",土角厝懷舊小吃店,2017/05/14,5
14,"""很貴""",土角厝懷舊小吃店,2017/05/14,2
15,"""在都市叢林中有這樣的店確實不錯，食物也是""",土角厝懷舊小吃店,2017/05/14,4
16,"""油煙過多""",土角厝懷舊小吃店,2017/05/14,1
17,""" 好，，""",土角厝懷舊小吃店,2017/05/14,4
18,""" 好吃！，，""",土角厝懷舊小吃店,2017/05/14,5
19,"""適合一家老小，懷舊菜色，超值清蒸鱸魚鮮美香嫩，還有少見的懷舊古早豬油拌飯，父母吃得很開心，平日只吃半碗一碗飯的國一小孩更誇張，吃了一碗麵線，四碗豬油拌飯，太神奇了！""",土角厝懷舊小吃店,2017/05/14,5
20,"""好吃，但是單價不便宜，份量不多""",土角厝懷舊小吃店,2017/05/14,3
21,"""非常熱情的餐廳，特別是它們的烤雞非常值得品嚐""",土角厝懷舊小吃店,2017/05/14,5
22,"""甕子雞好吃""",土角厝懷舊小吃店,2017/05/14,4
23,"""餐點份量少，菜不熱，口味超鹹，上菜速度慢，但服務態度超棒唷～""",土角厝懷舊小吃店,2017/05/14,1
24,"""有特別菜色，餐點偏鹹，服務還不錯""",土角厝懷舊小吃店,2017/05/14,3
25,"""懷舊餐廳，餐點超好吃，價格又便宜""",土角厝懷舊小吃店,2017/05/14,5
26,"""菜偏鹹，上菜速度尚可，份量普通，口味不錯，裝潢佳，整體而言不錯""",土角厝懷舊小吃店,2017/05/14,3
27,"""烤雞很好吃""",土角厝懷舊小吃店,2017/05/14,4
28,"""古早氣息""",土角厝懷舊小吃店,2017/05/14,5
29,"""份量不多，食物的水準有70%,算還好，三人份量，海鮮的會比菜份量少1/3至一半。多人聚餐要點多一點菜。""",土角厝懷舊小吃店,2017/05/14,3
30,"""龍蝦三明治好吃!""",土角厝懷舊小吃店,2018/05/14,3
31,""" 雅緻，，""",土角厝懷舊小吃店,2018/05/14,4
32,"""老闆娘服務很好，現場充滿懷舊的氣氛""",土角厝懷舊小吃店,2018/05/14,4
33,""" 好好好好好好好好好好好，，""",土角厝懷舊小吃店,2018/05/14,5
34,"""懷念的古早味菜色""",土角厝懷舊小吃店,2018/05/14,4
35,""" 好吃，，""",土角厝懷舊小吃店,2018/05/14,5
36,"""食物好吃，價格跟服務也不錯，裝潢走懷舊風很有趣""",土角厝懷舊小吃店,2018/05/14,4
37,"""懷舊風格，口味較重，一桌10人太擠，8人略鬆""",土角厝懷舊小吃店,2018/05/14,4
38,"""聚會好地方…""",土角厝懷舊小吃店,2018/05/14,5
39,"""有懷舊特色又好吃得沒話說!值得推薦""",土角厝懷舊小吃店,2018/05/14,5
40,""" 不大好吃，，""",土角厝懷舊小吃店,2018/05/14,2
41,"""裝潢走向復古懷舊風，口味偏重可以多吃幾碗飯""",土角厝懷舊小吃店,2018/05/14,3
42,""" 聚餐的好地方，，""",土角厝懷舊小吃店,2018/05/14,3
43,"""東西不錯吃""",土角厝懷舊小吃店,2018/05/14,5
44,"""懷舊台式農家風情快炒店""",土角厝懷舊小吃店,2018/05/14,4
45,""" 美味的食物。 Atmosphere套房裝飾派。 50歲的農民家庭廣場。愉快而隨意。按照50年代的座位不是很舒服。，，""",土角厝懷舊小吃店,2018/05/14,4
46,"""雞肉好吃""",土角厝懷舊小吃店,2018/05/14,5
47,"""濃濃的懷舊氣息""",土角厝懷舊小吃店,2018/05/14,5
48,"""東西好吃，菜色多可選擇。""",土角厝懷舊小吃店,2018/05/14,5
49,"""很懷舊的教室 常常換新菜單 好吃""",土角厝懷舊小吃店,2018/05/14,5
50,"""古早台味裝潢很吸睛…，大多口味較沒特色  稍偏鹹油，但服務品質算蠻優的""",土角厝懷舊小吃店,2018/05/14,3
51,"""重口味的懷舊餐廳，推薦麻油松板豬。""",土角厝懷舊小吃店,2018/05/14,3
52,"""有懷舊擺設，食物好吃！""",土角厝懷舊小吃店,2018/05/14,5
53,"""東西好吃，服務好^^""",土角厝懷舊小吃店,2018/05/14,5
54,"""菜色不錯""",土角厝懷舊小吃店,2018/05/14,5
55,"""服務非常差的餐廳，點的菜有幾樣一直沒上問服務人員回答說馬上上來了，後來等很久還是沒上來，再問一次才告知說這樣菜沒了，連續兩道菜都是一樣的情形，點的菜沒有了不會主動告知也不會幫你們銷單要自己核對，跟服務人員要個東西要說兩三次，看見你臉色不好才馬上幫你服務，白飯一碗要20不是豬油飯喔，價目表上也不寫，非常差的一家餐廳""",土角厝懷舊小吃店,2018/05/14,1
56,"""好吃好玩適合朋友聚會，店內有許多古玩""",土角厝懷舊小吃店,2018/05/14,5
57,"""在台北市相對算平價，且菜色及口味都蠻好；店裡很多玩藝兒都是六年級前段班之前的舊時印象，值得一訪""",土角厝懷舊小吃店,2018/05/14,4
58,""" 味精放太多，，""",土角厝懷舊小吃店,2018/05/14,3
59,"""聚會好所在，燒酒雞跟白鯧米粉大推，兩鍋就夠飽，全家族12大兩小，完全5500左右搞定還有一隻大魚，划算美味，小菜推涼拌豬皮跟古早味花生，下次補照片""",土角厝懷舊小吃店,2018/05/14,4
60,"""餐點好吃，但座位擁擠""",土角厝懷舊小吃店,2018/05/14,4
61,""" 沒有想像中的好，但也沒什麼扣分的。，，""",土角厝懷舊小吃店,2018/05/14,3
62,"""菜色尚可，主要是氣氛佳，聚會懷舊都是不錯的選擇""",土角厝懷舊小吃店,2018/05/14,4
63,"""雞仔豬肚鱉，大推""",土角厝懷舊小吃店,2018/05/14,3
64,"""餐廳走懷舊風格,古早味美食好吃!""",土角厝懷舊小吃店,2018/05/14,4
65,"""懷舊風""",土角厝懷舊小吃店,2018/05/14,4
66,""" 老闆很好傳統裝飾。，，""",土角厝懷舊小吃店,2018/05/14,4
67,"""好吃！有特色！已經消失的懷舊餐廳風再次呈現。""",土角厝懷舊小吃店,2018/05/14,5
68,"""環境很特別，讓你有回到學生時代，的古早感受""",土角厝懷舊小吃店,2018/05/14,5
69,"""環境不錯""",土角厝懷舊小吃店,2018/05/14,4
70,""" 讚喔，，""",土角厝懷舊小吃店,2018/05/14,5
71,"""環境溫馨，台式小吃，聊天的好地方""",土角厝懷舊小吃店,2018/05/14,5
72,"""裝潢懷舊風格,古早味小吃~""",土角厝懷舊小吃店,2018/05/14,4
