id,date,star,text
1,2013/05/13,5,"""不錯 海產都很新鮮"""
2,2016/05/13,4,"""東西好吃又不貴"""
3,2016/05/13,4,"""海鮮新鮮，價格實惠，服務人員態度也很客氣。"""
4,2016/05/13,5,"""這裡工作人員都很熱情 服務好，東西好吃又不貴"""
5,2016/05/13,5,"""好便宜又好吃服務又好"""
6,2016/05/13,4,"""還不錯吃"""
7,2017/05/13,4,"""菜的味道不錯，服務也很好，唯一要改進的是盛白飯的盆子，可以換成小鍋子。視覺效果會更好。"""
8,2017/05/13,5,"""吃的過癮"""
9,2017/05/13,5,"""薑絲炒大腸好吃"""
10,2017/05/13,4,""" 好吃又便宜，，"""
11,2017/05/13,4,"""跑山後，適合補給的好去處，菜量十足，大口喝酒大口吃肉^_^"""
12,2017/05/13,4,"""店員親切、熱情！ 出菜快，好吃！，適合下班小酌放鬆。，營業時間較晚也不趕人，很nice."""
13,2017/05/13,4,"""菜色口味不錯！"""
14,2017/05/13,4,"""價格實在"""
15,2017/05/13,1,"""食材不新鮮，鮮蚵的味道很重，剪豬肝過老又硬，三杯大腸吃起來有個味道，炸杏鮑菇裡頭有鋁箔紙。服務員收菜盤，我才趕緊把一點剩菜放到自己的盤子，結果被服務員順手倒我盤子的菜渣時，又整個倒掉……收的過程中，手指頭還放到醬盤裡，整個很隨便又不衛生的感覺！"""
16,2017/05/13,4,"""還不錯 但有些許菜份量較少"""
17,2018/05/13,4,"""小酌的好去處"""
18,2018/05/13,1,"""公司聚餐兩桌，上菜速度極慢，只能一直吃花生，菜量也不足，啤酒有怪味，應是退冰後重冰，不推"""
19,2018/05/13,3,"""便宜的聚會地點！"""
20,2018/05/13,5,"""菜好吃 算便宜 而且 服務人員態度都好親切😁😁"""
21,2018/05/13,3,"""方便的宵夜，口味還可以"""
22,2018/05/13,5,""" 聚餐小酌好地方，，"""
23,2018/05/13,4,"""難得能在台北市內吃到""那個魚""的熱炒店"""
24,2018/05/13,5,"""好吃，平價！"""
25,2018/05/13,4,"""還不錯吃"""
26,2018/05/13,3,"""菜還不錯 但是太吵雜啦"""
27,2018/05/13,5,""" 菜好吃，，"""
28,2018/05/13,5,""" 超好吃，，"""
29,2018/05/13,5,"""跟朋友們下班後去吃飯小酌，菜好吃份量又大，吃著吃著都忘記要回家的時間"""
30,2018/05/13,5,"""鴨血臭豆腐很好吃，服務很親切！感覺很棒！"""
31,2018/05/13,5,"""吃飯喝酒的好去處"""
32,2018/05/13,3,"""適合小酌的快炒店"""
33,2018/05/13,5,""" 好吃又便宜喔，，"""
34,2018/05/13,4,"""2018第一天光顧，好吃東西很下飯，朋友說豬肝有點不新鮮的樣子，今日點了芭樂汁、奶茶、五更腸旺、菜、宮保雞丁、絲瓜蛤蜊、四個人吃了870，，萬隆附近熱炒好選擇👍👍"""
35,2018/05/13,5,"""上菜速度快，價格還可以"""
36,2018/05/13,4,"""新鮮好吃"""
37,2018/05/13,4,"""好吃、平價，老闆(娘)平易近人"""
38,2018/05/13,5,""" 味美，，"""
39,2018/05/13,3,""" 便宜、方便，，"""
40,2018/05/13,4,""" 口味不錯，價格稍高，，"""
41,2018/05/13,3,"""還不錯"""
42,2018/05/13,5,"""物美價廉"""
43,2018/05/13,5,"""讚！服務親切，價格合理又好吃！！"""
44,2018/05/13,5,""" 美味的食物和位置。，，"""
45,2018/05/13,5,"""老闆娘親切，服務態度好，出菜很快又好吃，讚啦"""
46,2018/05/13,3,"""好吃，平價！"""
47,2018/05/13,3,"""好吃.道地，價格大眾化。"""
48,2018/05/13,5,"""便宜又好吃 真心推薦，椒麻雞跟煎豬肝 大家都說讚"""
