id,date,star,text
1,2013/05/09,4,"""不錯"""
2,2016/05/09,3,""" 特色菜老皮嫩肉，，"""
3,2016/05/09,5,""" 好，，"""
4,2016/05/09,5,"""好吃便宜的快炒，有美女老闆娘，就是客人太多太吵~"""
5,2016/05/09,5,"""美味可口價格實惠喔~尤其是那道(金莎南瓜)真讚啦！"""
6,2016/05/09,5,"""金沙南瓜超級好吃，從沒吃過這種好味道，生蠔真的新鮮，調味很棒，薑絲大腸夠酸，水蓮清爽，店內有販賣18天跟比利時水果酒，選擇多樣化，唯一美中不足是希望收盤子前可以先詢問客人，有盤薑絲大腸跟飯剩一點點沒吃完就被收走"""
7,2016/05/09,1,"""薑絲大腸：疑似工業用醋，大腸一放到嘴巴就連同口水嗆出來。，炒麵：油又鹹，很想喝水，不想喝冰箱二瓶100的麥茶，只好一直忍耐。，，結論：注重養身健康的人，這間店恐不適合。愛重口味的可能會覺得好吃。以上純屬個人意見。，，註：這年頭正妹都會抽菸嗎？"""
8,2016/05/09,3,""" 很難找到，GPS將我們帶到了該地區，但是它隱藏在較大的一條小街道前面。，，"""
9,2017/05/09,5,"""正妹老闆愛運動，喝酒不囉唆，旗袍可正點，當然菜色沒話講，是三五好友的聚會所。"""
10,2017/05/09,4,"""價格實惠，好吃"""
11,2017/05/09,2,"""復古"""
12,2017/05/09,1,"""極差 不會再去  狗屁態度  極雷  服務生態度極差  一直詢問要求客人是否推餐  半小時吃毛豆  一小時吃一盤苦瓜   三小狗屁店  店長還不處理 只會看妳員工耍低能"""
13,2017/05/09,4,""" 我的鄰居潛水吧，啤酒和油炸食品！菜單是中文的。，，"""
14,2017/05/09,3,"""好像味道比兩年前遜色一些。"""
15,2017/05/09,4,"""油雞好吃，平日晚間少人數用餐幾乎都有位置。"""
16,2017/05/09,4,"""附近熱炒NO1"""
17,2017/05/09,4,"""復古餐廳，菜都不錯"""
18,2017/05/09,4,""" 好吃方便快速，，"""
19,2017/05/09,2,"""食物調味料過重，太鹹、太辣"""
20,2017/05/09,4,"""老闆很熱情"""
21,2017/05/09,3,""" 好吃，，"""
22,2017/05/09,3,"""來過就好，也不算太差"""
23,2017/05/09,4,"""好吃，適合與朋友聚餐"""
24,2017/05/09,5,"""老闆娘很熱情，東西也很好吃，價格實惠，適合聚餐"""
25,2017/05/09,5,""" 台灣美食，，"""
26,2017/05/09,4,"""鵝肉不錯 熱炒味道也不錯"""
27,2017/05/09,1,"""食材不新鮮，菜忘記上也一副無所謂，態度極差，味道還不怎麼樣，環境吵雜髒亂。"""
28,2018/05/09,5,"""在地知名熱炒餐廳，價格實惠，老闆娘熱情待客讓用餐氣氛很好，驚訝的是不會很吵。👍"""
29,2018/05/09,3,"""裝潢有特色，但熱炒系列沒特別突出"""
30,2018/05/09,1,"""非常小盤 是一般店家的一半大左右 而且送餐常常自己搞混 店員態度超差"""
31,2018/05/09,4,"""平價快炒聚會小酌的好地方"""
32,2018/05/09,5,"""聚會好所在"""
33,2018/05/09,5,"""聚會聊天喝酒好選擇"""
