id,date,star,text
1,2018/05/10,1,"""怎麼沒有零分可以給????"""
2,2018/05/10,4,"""平價的家庭式快炒，傳統的口味，會定期去吃。"""
3,2018/05/10,3,"""便宜的熱炒店東西不難吃"""
4,2018/05/10,5,"""家庭式熱炒味道不錯"""
5,2018/05/10,5,"""平價的熱炒，推薦 蚵仔湯，鹽酥豆腐，炒飯炒麵都好吃。"""
6,2019/05/10,5,""" 好吃又便宜👍，，"""
7,2019/06/10,1,"""……"""
8,2019/06/10,2,"""幾次去老闆娘點餐態度都很差，忙不過來直接叫我不要點了"""
9,2019/06/10,1,"""點個餐不知道老闆娘是在凶什麼，不想開店就收起來嘛！氣壞身體也不好呀！是唄"""
10,2019/06/10,1,"""老闆娘態度不是普通的爛，就算東西再好吃也不想光顧"""
11,2019/07/10,4,""" 好吃，，"""
12,2019/08/10,4,"""溫馨小店"""
13,2019/10/10,3,"""我最愛吃的炒麵店，海鮮給的很大方"""
14,2019/12/10,5,"""羊肉炒麵跟蚵仔湯讚！"""
15,2020/01/10,4,"""算是平價的熱炒店，外帶也方便。"""
