id,name,date,star,text
1,萬芳廉美牛排,2017/05/14,5,""" 牛排好吃又便宜，，"""
2,萬芳廉美牛排,2017/05/14,4,"""牛排好吃，還可以免費加麵！！"""
3,萬芳廉美牛排,2017/05/14,4,"""滿好吃的，冰淇淋、濃湯、多款汽水無限供應，還提供餅乾甜筒！"""
4,萬芳廉美牛排,2017/05/14,3,""" 牛排，台灣風格。在用餐時，價格包括無限量的玉米濃湯，軟飲料（噴泉飲料）和冰淇淋。雖然菜單上的食物價格較貴，但肉質仍然很平均。否則，牛排的便宜選擇。，，"""
5,萬芳廉美牛排,2017/05/14,5,"""價廉物美的台式牛排"""
6,萬芳廉美牛排,2017/05/14,5,"""物超所值，太好吃了！還有好吃的冰淇淋，還可以免費加麵"""
7,萬芳廉美牛排,2017/05/14,5,""" 老闆娘人很好，，"""
8,萬芳廉美牛排,2018/05/14,3,"""麵整個焦掉了，整盤口味偏鹹"""
9,萬芳廉美牛排,2018/05/14,4,"""兒子二年級吃到要升四年級了，每次都是點厚切人氣王比臉大牛排價錢290個人覺得口感可以點五分熟，老闆娘是越南人很積極做生意很和氣所以願意讓我們吃完後再享用免費暢飲湯品；飲料；冰淇淋，但書是；希望老闆娘能積極維護環境與清潔，應該是老闆娘沒有意識到應該改善了。"""
10,萬芳廉美牛排,2018/05/14,3,"""建議吃雞腿排，優點是有飲料跟冰淇淋"""
11,萬芳廉美牛排,2018/05/14,3,"""價格平價，服務普通！"""
12,萬芳廉美牛排,2018/05/14,4,""" 很便宜且超值，，"""
13,萬芳廉美牛排,2018/05/14,5,"""可以自己買來外帶很適合在家裡吃或者上班族裡辦公室吃，內用有冷氣可吹很棒的桌子和椅子，還有冰淇淋滿好吃！！不過速度很快～又好吃又賣很便宜方便囉！！！ ，優～"""
14,萬芳廉美牛排,2018/05/14,5,"""2017/6/4，香煎雞腿煎得很香酥很好吃，比一般雞腿排好吃，冰淇淋，濃湯及飲料吃到飽，cp值很高，2017/6/11，今天請老闆娘先將醬加在麵上，再放上雞腿，將香煎雞皮朝上，這樣香煎的美味就能完全吃到了，就算原味不加醬也很美味，我有另要一點黑胡椒醬來沾，也很好吃，2017/7/30，今天吃雞腿排時一樣黑胡椒醬先加，再放雞腿，但今天雞腿沒沾醬，都吃原味，很香很美味，老婆今天吃鐵板麵，它的麵很好吃，吃過的牛排館很多，但它的麵算很好吃的"""
15,萬芳廉美牛排,2018/05/14,4,"""服務態度不錯，東西普通"""
16,萬芳廉美牛排,2018/05/14,4,"""豬排丶雞腿排都好吃，物美價廉！"""
17,萬芳廉美牛排,2018/05/14,1,"""環境不佳 讓訂位客人等超過一小時"""
18,萬芳廉美牛排,2018/05/14,1,"""吃不到一個小時就在趕客人，生意好也不用這麼囂張吧"""
19,萬芳廉美牛排,2018/05/14,3,"""還可以"""
20,萬芳廉美牛排,2018/05/14,4,"""物美價廉。"""
21,萬芳廉美牛排,2018/05/14,5,"""蒜香雞排、厚切牛排、鱈魚排都很好吃，份量大，肉嫩。有冰淇林和玉米濃湯與飲料。最棒的是加入了熱炒選單，中西合併很適合想多吃點青菜的選項。老闆和員工的態度也很好。"""
22,萬芳廉美牛排,2018/05/14,3,"""點了一份肉絲炒飯70元，大概是塞牙縫的份量，用餐空間寬廣，但地面沒掃乾淨。炒飯cp值低而且很油還有一些燒焦，下次不會再點了。"""
23,萬芳廉美牛排,2018/05/14,5,"""不錯 食物便宜 員工的人很不錯 又很開朗"""
24,萬芳廉美牛排,2018/05/14,2,"""這裡是屬於學生形式大眾牛排 想吃牛肉  經過附近就來吧"""
25,萬芳廉美牛排,2018/05/14,5,"""好吃，3月好像要調漲20"""
26,萬芳廉美牛排,2018/05/14,1,"""cp值待加強"""
27,萬芳廉美牛排,2019/05/14,1,"""環境髒亂"""
28,萬芳廉美牛排,2019/05/14,3,"""就像夜市牛排，純粹吃肉，沒有啥特別的"""
29,萬芳廉美牛排,2019/05/14,2,""" 送餐慢，，"""
30,萬芳廉美牛排,2019/05/14,3,"""還好！"""
31,萬芳廉美牛排,2019/05/14,4,"""我覺得，很好"""
32,萬芳廉美牛排,2019/05/14,5,"""飲料濃湯冰淇淋吃到飽之外，阿姨服務超好 很熱情，主餐也很好吃價錢很便宜！"""
33,萬芳廉美牛排,2019/05/14,3,"""有無限暢飲和冰淇淋，冷氣太強了=="""
34,萬芳廉美牛排,2019/05/14,3,"""還可以，老闆娘很關心顧客，掉插子會主動詢問。"""
35,萬芳廉美牛排,2019/05/14,2,"""真心評論：好黑的餐包ㄛ，牛排不錯吃"""
36,萬芳廉美牛排,2019/05/14,5,"""與預期相符的夜市牛排口味不會失望，員工服務態度非常親切"""
37,萬芳廉美牛排,2019/05/14,1,"""點了四份牛排，等了快半小時才來一份。然後其他的就直接不來。比我們晚的客人都吃飽了，我們的還是沒來。有夠誇張😔"""
38,萬芳廉美牛排,2019/05/14,1,"""點了牛排後不久上了餐包，但之後就完全沒有動靜了，接連著好幾組比我們5人晚到的客人都已經要吃完了。詢問過幾次送餐小姐和廚房，每次的答覆都是：「在做了。」看來是完全忘記了吧？是因為我們坐的位置在後面，所以就直接忽略然後先上後來、坐前面的客人的餐點？是想要一次做好4份在一次送上來(事實是沒有)？還是講難聽一點，我們點的太便宜所以不想太快做？窺跟我同行的友人還算有耐心，如果是我的話大概早就走人了，雖然最後是有說聲抱歉，但還是難以平復眾人的情緒。"""
39,萬芳廉美牛排,2019/05/14,1,"""今日到店用餐，點完餐過幾分鐘餐包便送上，同學點的炒飯速度也算快，但是點了總共四份牛排，等了20多分鐘才送上第一份，比我們慢來的人跟我點同樣的餐卻先上他的，同學的牛排也是第一份來了就沒再來過，去前台詢問老闆是否已經做了(若沒開始做就直接付50元當作是餐包和濃湯的錢 …"""
40,萬芳廉美牛排,2019/05/14,4,"""餐點很快就送上"""
41,萬芳廉美牛排,2019/05/14,1,""" 壞，，"""
42,萬芳廉美牛排,2019/05/14,5,"""用餐環境好，服務態度佳，店裡還有一隻可愛的貓😻"""
43,萬芳廉美牛排,2019/06/14,2,"""炒飯不好吃，牛排普普通通"""
44,萬芳廉美牛排,2019/06/14,4,"""牛排店，但是還有炒飯，麵等等"""
45,萬芳廉美牛排,2019/06/14,3,"""非排餐，需加30元才能喝濃湯，飲料，冰琪琳。炒飯炒麵沒附湯"""
46,萬芳廉美牛排,2019/06/14,4,"""老闆娘很親切，冰淇淋無限供應！"""
47,萬芳廉美牛排,2019/07/14,3,"""平價夜市牛排"""
48,萬芳廉美牛排,2019/07/14,1,"""不知道是不是今天烹調人員比較不會烹調....整個麵都是燒焦味難以入口...."""
49,萬芳廉美牛排,2019/08/14,3,"""位於萬芳商圈內，有排餐也有炒飯，排餐可使用店內的飲料機以及冰淇淋和湯品，味道一般，由於料裏區域是在店外，雖有電動門作阻擋，不過多少還是會有油煙進入，空氣環境可能稍差，店內位子算多，如團體有想吃炒飯有想吃排餐的話，還算可以的選擇。"""
50,萬芳廉美牛排,2019/08/14,2,"""第一次去吃，麵條焦味很重，明顯鐵板燒過頭"""
51,萬芳廉美牛排,2019/08/14,4,"""萬芳老店，熱炒比牛排好吃"""
52,萬芳廉美牛排,2019/08/14,1,"""玉米濃湯勾芡的太過頭，濃稠得像粥而不像湯，味道也很普通，湯碗也沒有洗得很乾淨；冰淇淋冷凍櫃沒有玻璃上蓋，冰品就直接接觸空氣，天曉得會掉甚麼東西進去。，，重點是若不是點排餐，要喝玉米濃湯或是吃冰淇淋還要再貼30元。"""
53,萬芳廉美牛排,2019/08/14,1,""" 失望，，"""
54,萬芳廉美牛排,2019/10/14,4,"""平價牛排中算不錯吃，還有賣熱炒，炒飯也不錯"""
55,萬芳廉美牛排,2019/10/14,2,"""今天吃特級沙朗，店家沒詢問幾分熟，肉幾乎是鮮紅色，還好我敢吃三分熟⋯"""
56,萬芳廉美牛排,2019/11/14,5,"""醬好甜哦"""
57,萬芳廉美牛排,2019/12/14,4,"""加麵不加價"""
58,萬芳廉美牛排,2019/12/14,2,"""閒暇時，店內蟑螂會出來開趴，地面，牆面，桌面。觀感略微驚嚇。"""
59,萬芳廉美牛排,2019/12/14,4,"""態度好，也蠻好吃的!"""
60,萬芳廉美牛排,2020/01/14,4,"""鐵板麵和餐包給足份量，平價實惠，上餐快速"""
61,萬芳廉美牛排,2020/01/14,3,"""就是夜市牛排的水準，衛生要再加強。"""
62,萬芳廉美牛排,2020/01/14,3,""" 一般，，"""
63,萬芳廉美牛排,2020/01/14,5,"""炒飯超好吃，老板娘臂力很強，炒的飯粒粒分明。 我佩服。"""
64,萬芳廉美牛排,2020/01/14,4,"""不錯，個人覺得牛排肉硬了點，價格低簾。"""
65,萬芳廉美牛排,2020/01/14,1,"""點餐一直都沒有來 反應過後還是一樣 要我等 等了快一小時 直接氣飽了"""
66,萬芳廉美牛排,2020/01/14,5,"""炒牛肉，炒羊肉，好吃，貓咪~「寶貝」太可愛♥了"""
67,萬芳廉美牛排,2020/02/14,5,"""好吃😋，個人覺得CP值蠻高的一家店，老闆娘也很客氣熱情！去了好幾次的一家餐廳🍴"""
68,萬芳廉美牛排,2020/02/14,5,"""平價 cp值還不錯 濃湯 飲料 冰淇淋吃到飽"""
69,萬芳廉美牛排,2020/02/14,3,"""春節照常營業也沒漲價。"""
70,萬芳廉美牛排,2020/02/14,4,"""不錯吃，有熱炒 帥"""
71,萬芳廉美牛排,2020/02/14,2,"""點了蒜香雞排。肉很乾。沒味道。"""
72,萬芳廉美牛排,2020/03/14,3,"""一般傳統牛排店，價格便宜。"""
73,萬芳廉美牛排,2020/03/14,4,"""牛排雞排都不錯，但叉子很難用"""
