id,name,date,star,text
1,58海鮮,2017/05/14,5,"""CP值高，美味熱炒。"""
2,58海鮮,2017/05/14,5,"""聚會好地方"""
3,58海鮮,2017/05/14,5,"""老闆很會喝酒"""
4,58海鮮,2017/05/14,5,"""推薦櫻花蝦炒飯"""
5,58海鮮,2018/05/14,5,""" 好吃，，"""
6,58海鮮,2018/05/14,4,"""熱炒店"""
7,58海鮮,2018/05/14,5,"""讚!!!"""
8,58海鮮,2018/05/14,4,"""是快炒店，但是味道真的不錯，還很平價，店中烤甜不辣，用的是雪魚漿，真的不錯吃！"""
9,58海鮮,2018/05/14,5,""" 好吃又便宜，，"""
10,58海鮮,2018/05/14,4,"""親切的老闆，好吃的餐點，喝酒好去處。"""
11,58海鮮,2018/05/14,5,"""便宜好吃料多實在"""
12,58海鮮,2018/05/14,3,""" 好味道，，"""
13,58海鮮,2018/05/14,3,""" 炒菜普通，，"""
14,58海鮮,2018/05/14,4,"""甜不辣超好吃，鱈魚漿製成的"""
15,58海鮮,2018/05/14,5,"""口味不錯!"""
16,58海鮮,2018/05/14,5,"""好吃到沒話說，老闆大方又海派"""
17,58海鮮,2018/05/14,5,"""有包廂的快炒店"""
18,58海鮮,2018/05/14,3,""" 普通快炒店，，"""
19,58海鮮,2018/05/14,5,"""每一道幾乎都蠻好吃的"""
20,58海鮮,2019/05/14,4,"""口味不錯，老闆好聊，推"""
21,58海鮮,2019/05/14,4,"""老闆豪氣"""
22,58海鮮,2019/05/14,4,""" 朋友聚餐的好地方，，"""
23,58海鮮,2019/05/14,5,"""老闆親切，食材不錯吃，適合三五好友聚餐"""
24,58海鮮,2019/05/14,5,"""老闆人超好，菜超好吃，包廂冷氣也很涼！"""
25,58海鮮,2019/05/14,5,""" 優質的服務..價格實惠的美食..員工關懷..，，"""
26,58海鮮,2019/05/14,5,"""工商團體聚餐好點。商洽交流。老闆手機內有line 350個 群組。"""
27,58海鮮,2019/05/14,4,"""菜色不錯，服務態度棒棒。"""
28,58海鮮,2019/05/14,4,"""菜色多樣"""
29,58海鮮,2019/05/14,5,"""辣很好吃。菜都不錯。但廚師..."""
30,58海鮮,2019/05/14,4,"""不錯吃 服務親切 讚！"""
31,58海鮮,2019/05/14,4,"""熱情如火"""
32,58海鮮,2019/05/14,5,"""溫馨、美味，有包廂、適合聚會。，南京/三民捷運站2號出口。，八德路上、京華城旁，交通很方便。"""
33,58海鮮,2019/05/14,3,""" 口味可以，，"""
34,58海鮮,2019/05/14,5,"""酸菜白肉鍋好吃"""
35,58海鮮,2019/05/14,4,"""服務親切"""
36,58海鮮,2019/05/14,5,"""好吃，價美物廉，醉雞相當好吃喔！"""
37,58海鮮,2019/05/14,5,"""會巧遇億來億去的老闆哦 還有帥帥的老闆"""
38,58海鮮,2019/05/14,5,"""菜色味美，服務好。"""
39,58海鮮,2019/07/14,4,"""菜色豐富 美味可口 特色滿分 服務週到 招待熱忱"""
40,58海鮮,2019/07/14,5,"""老闆跟服務生都超級熱情 東西也很好吃 大推薦的熱炒店"""
41,58海鮮,2019/08/14,5,"""菜色不錯，環境也舒服，很適合聚會"""
42,58海鮮,2019/08/14,5,"""讚啦"""
43,58海鮮,2019/08/14,5,""" 好吃又便宜，，"""
44,58海鮮,2019/09/14,3,""" 可以，，"""
45,58海鮮,2019/10/14,4,"""喝酒的地方 老闆人很好 常去店員會跟你喝兩杯  東西不錯吃"""
46,58海鮮,2019/11/14,1,"""很衰小的點了ubereats酸菜豬肚湯,店家送我肥大蟑螂.我以為是燒焦的大油蔥在湯上面漂浮.噁心到爆炸,uber處理方式是退款而已.衛生局,媒體們!我來了!"""
47,58海鮮,2019/12/14,4,"""老闆會過來敬酒很親切"""
48,58海鮮,2019/12/14,4,"""熱炒好吃，三五好友相聚聊天好地方"""
49,58海鮮,2019/12/14,1,"""菜上超慢 味道普 價格比一般熱炒貴三到五成"""
50,58海鮮,2020/01/14,5,"""老闆娘親切"""
51,58海鮮,2020/01/14,4,"""料理非常到位的熱炒店，無論是炒菜類、燒烤類都非常推薦，不過熱炒店免不了的吵雜聲音還是需要克服才行。"""
52,58海鮮,2020/01/14,5,"""料理還不錯的熱炒店"""
53,58海鮮,2020/01/14,5,"""美味的熱炒"""
54,58海鮮,2020/02/14,5,"""老闆好客，員工親切！東西好吃又平價！"""
55,58海鮮,2020/03/14,5,"""菜色十分齊全，料理技術得當，口味不會過於鹹膩，金沙中卷好吃且不油，又有便宜好吃的大豆苗👍🏻"""
