id,date,star,text
1,2015/05/13,5,""" 隱藏的寶藏。便宜的食物，絕對好吃。老闆很棒。，，"""
2,2015/05/13,5,"""心目中的神店之一，能花小錢吃超飽，又有啤酒可以喝，簡直一個金城爽"""
3,2015/05/13,5,"""便宜吃到飽"""
4,2016/05/13,5,"""給大家吃到飽～"""
5,2016/05/13,4,"""CP值不錯！"""
6,2017/05/13,4,""" 老闆太熱情了＠＠，，"""
7,2017/05/13,5,""" 物超所值 ！ ！，，"""
8,2017/05/13,5,"""便宜大碗吃的飽的地方"""
9,2017/05/13,4,"""這位老闆，只能稱他是快炒界的奇人，6人以上，$100/人，吃到飽，是真的.......老闆只有一個人，很忙，不要煩他....問他是真的吃到飽嗎? ，，別再問了，坐好。上菜了!"""
10,2017/05/13,4,"""老闆一個人招呼前場跟廚房，三五好友喝喝啤酒，叫個熱炒，是個不錯的聚會地點！"""
11,2017/05/13,4,"""價格合理。"""
12,2017/05/13,5,"""Cp值高，便宜又吃很飽，老闆親切。"""
13,2017/05/13,5,"""價格便宜吃粗飽，老闆是個好爸爸，感覺很疼女兒，可是環境可以改善更好。"""
14,2017/05/13,4,"""便宜又大碗！想要吃蔬菜的時候，來這邊準沒錯！可以依照人數需求選擇單點或是吃到飽，老闆一個人內外場全顧還要照顧女兒非常辛苦，想不到吃甚麼的時候就來這邊吃吧！也有一人的合菜喔~"""
15,2017/05/13,5,"""好吃又便宜讚"""
16,2017/05/13,5,"""在台北市已經很難找出這麼超值的餐廳了，老闆待人親切，服務周到。"""
17,2017/05/13,3,"""環境…要改善，服務…很好，價位…合宜，停車…不易"""
18,2017/05/13,5,"""神一般的存在。老闆一人搞定全場，其實他是位有智慧的人！真的會讓你吃到投降！"""
19,2017/05/13,3,"""便宜大碗不影響美味"""
20,2017/05/13,1,"""訂位的時候問我會喝幾瓶酒，我怎麼知道?"""
21,2017/05/13,4,"""道地的台灣菜料理哦！好吃"""
22,2017/05/13,5,""" 超高c/p台菜，，"""
23,2017/05/13,5,"""非常划算，老闆人超好，適合多人聚會"""
24,2018/05/13,4,""" 便宜又大碗，真的很划算。，，"""
25,2018/05/13,5,"""便宜還不錯吃"""
26,2018/05/13,5,"""老闆的堅持，所以價格非常平民，所上菜色依老闆當日採購為主，物超所質"""
27,2018/05/13,5,"""先講結論，選吃到飽的話真的1人100元(6人以上)，白飯、湯跟熱茶也是自己無限續，這天我們7個人約18:20到，店內已經有兩桌吃桌菜的人了，，店內就老闆一人撐全場，帶著藍芽耳機一下講電話接預約，一下跑出來招呼出菜，一下進廚房煮菜，然後又跑出來結帳，金架謀甘丹...，，總之口味上真的很家常菜，不會太油或太重鹹(這根本不是熱炒啊)，，而且老闆因為忙桌菜，出菜速度不算快，你也不要去打擾他，隔段時間自然會出來問還要吃啥，，我們呆了約1個半小時 不到8點吃飽要走，老闆很阿莎力不怕大家吃，說到20:50前都能點菜沒問題，，總之在天龍國有如此佛心的價格沒啥好說，推薦大家多給老闆捧場啊"""
28,2018/05/13,5,"""非常便宜，老闆非常有自己的想法，很酷！"""
29,2018/05/13,5,"""老闆好朋友喔"""
30,2018/05/13,5,"""台北市找不到100遠吃到飽"""
31,2018/05/13,5,""" 真的好吃又實惠，第一次來老闆讓我感覺很親切，，"""
32,2018/05/13,5,"""美味平價 老闆態度親切 值得回訪的好店!"""
33,2018/05/13,5,"""老闆親切，菜色不錯，可以放鬆聚聚的好地方"""
34,2018/05/13,5,"""很熱情的老闆!~CP值超高!超適合跟朋友聚會小酌!~"""
35,2018/05/13,5,"""好吃家常菜，不會過油過鹹，老闆愛交朋友，cp值很高👍！   記得要訂位😅"""
36,2018/05/13,4,""" 可愛的帥老闆，超佛心價格的費用。，，"""
37,2018/05/13,1,"""服務態度差勁 不知道是在兇什麼，打電話去問營業時間 一直說你沒有看新聞嗎 ，請問你是報社哦 問一下不行嗎?，做生意做到這麼高傲 ，真是值得檢討，，態度惡劣的店家 就算多便宜 也不會考慮去用餐"""
38,2018/05/13,5,""" 便宜大碗!，，"""
39,2018/05/13,5,"""便宜家常菜，重點吃到飽"""
40,2018/05/13,1,""" 老闆也是廚師，等候時間太長而且衛生條件不佳，，"""
41,2018/05/13,3,"""量多實在"""
42,2018/05/13,5,"""老闆果然是來交朋友的，比新北市的熱炒店還便宜，只是老闆只有一個人兼顧內外場，顧客們要能多體諒並給予鼓勵。"""
43,2018/05/13,4,"""老闆親切"""
44,2018/05/13,5,"""昨天去吃了，蠻好吃的，有幾盤會微辣，很下飯！真的是六人以上一人一百元吃到飽十人還有魚跟水果！會再回去吃！適合聚餐的人。但一道菜都需要等十幾分鐘，不適合喜歡上菜快速的客人"""
45,2018/05/13,5,"""老闆人好 親切 手藝好"""
46,2018/05/13,5,"""老闆很用心經營，菜也很好吃"""
47,2018/05/13,5,"""88家常菜有三種消費方式，1.六人以上(含)100元吃到飽，$100/人 ；未滿六人，$600/桌。(啤酒加點價為菜單的兩倍)，P.S. 滿十人的話，還有牛小排。，，2.單點叫菜，照菜單價錢。，，3.桌菜(需預訂)，4000/桌。(送兩箱金牌啤酒)"""
48,2018/05/13,5,"""六人以上一人100熱炒吃到飽，雖然便宜但1菜色不隨便，還是很有水準，很有個人特色的一家店。"""
49,2018/05/13,5,"""整家店就只有一個老闆而已，身兼店員、外場、內場。店內沒有菜單，全靠老闆當天準備什麼食材，你只管吃就對了，都是很道地的家常菜，非常推薦。也很適合聚餐或闔家光臨的餐廳。"""
50,2018/05/13,5,"""清淡不膩，但夠味道，好吃都很下飯，要先訂位老闆只有一個人很忙但很熱情 還要在帶朋友跟家人來吃"""
51,2018/05/13,1,"""態度很差 不會再來了"""
52,2018/05/13,5,""" 好吃 便宜的聚餐享受，，"""
53,2018/05/13,5,"""吃好飽"""
54,2018/05/13,1,"""老闆態度惡劣，不曉得是在兇什麼"""
55,2018/05/13,3,""" 便宜，，"""
56,2018/05/13,1,""" 打電話去問消費，老闆一直說很忙，說比郭台銘還忙，叫我自己去google?!，既然你這麼忙，何必接電話，接了又不想回答問題?!態度惡劣~應該是生意太好，才那麼囂張吧～，，"""
57,2018/05/13,5,"""吃飽飽"""
58,2018/05/13,5,"""老闆真的是佛心來了"""
59,2018/05/13,3,""" 便宜，，"""
60,2018/05/13,5,"""老闆人很好，尤其蒜泥白肉和雞丁真的很讚，尤其一人一百吃到飽真的很划算，雖然不是頂級料理，但整體吃起來感覺很棒"""
61,2018/05/13,5,"""6人以上來消費，平均一人100元，可以吃到很飽！！老闆一人carry全場，且非常熱心，很有自己的想法，來這邊消費後，會覺得外面那些襯一例一休亂漲價的店家根本是垃圾！！"""
62,2018/05/13,5,"""Cp值超高吃到飽的餐廳 台灣找不到這樣的店"""
63,2018/05/13,5,"""100吃到飽"""
64,2018/05/13,4,""" 棒棒的，，"""
65,2018/05/13,5,""" 您只需100 ntd，就可以吃熱炒。令人難以置信的價值。，，"""
66,2018/05/13,4,"""台北間的巷弄小吃，物美價簾"""
67,2018/05/13,1,""" 老闆態度真不好。這個地方不值得，，"""
68,2018/05/13,5,"""CP值超高，當天4桌客人，豪氣老闆一人內外場全包，但忙裡忙外重視待客服務的人可能會有點感冒"""
69,2018/05/13,5,""" 您所得到的價格真的很不錯。您至少需要6個人，並且他會煮他想要的東西。直到您吃飽為止，直到每人吃了100新台幣。強烈建議您進行預訂，因為他很受歡迎。將返回。，，"""
70,2018/05/13,5,"""老闆有個性"""
71,2018/05/13,5,"""真的是料多實在，價格非常親民，老闆也很跟你543"""
72,2018/05/13,5,"""一個學生很好聚餐聊天的地方，重點是不貴！！！！！，三天裡跟不同團來吃第二次哈哈"""
73,2018/05/13,5,"""老闆人很海派 價格很便宜而且很好吃的熱炒"""
74,2018/05/13,5,"""太好吃了，而且又便宜，老闆人很好"""
75,2018/05/13,3,"""便宜不過老闆..."""
76,2018/05/13,5,"""今天去吃！！！  雖然比較晚開吃但依舊吃很飽  老闆也很nice 出菜給我們吃   下次一定再光臨😋"""
77,2018/05/13,5,"""經濟實惠"""
78,2018/05/13,3,"""每人100吃到飽，不足6人以6人算，吃粗飽的，老闆很客氣，環境就別要求了"""
79,2018/05/13,4,"""實惠的無菜單家常菜料理，告知老闆食材類別立刻現炒。沒勾芡，也不油！ 不像一般快炒店重口味。缺點是用餐環境仍有進步的空間。真能接受的再來。。老闆是一人撐全場!! 會重覆提醒客人再點菜要吃飽!!   推薦來吃粗飽 !!  網路說老闆太酷，態度不客氣，老闆說那是因為長期被騷擾，訂位後，不到也不取消，造成嚴重困擾。還請大家包涵，我們真有看到滿滿一整張惡意未取消的訂位電話記錄表。。"""
80,2018/05/13,4,"""不可思議的價格，台式熱炒吃到飽，一桌低消600可以6人吃，多加一人再加100，菜不油不過鹹，好吃的家常菜"""
81,2018/05/13,5,""" 超好吃，，"""
82,2018/05/13,1,"""剛剛經過店門口以為遇到神經病，經過想看個菜單，不知道是老闆還是圍事的就出來罵人，建議經過沒事別久留（1人），除非真的想團聚在這吃，但我還是覺得非常可怕！！"""
83,2019/05/13,5,"""朋友推薦100元吃到飽，特地提早一小時半下班，來跟11位朋友吃家常菜培養感情！"""
84,2019/05/13,4,"""如上菜更快會更好"""
85,2019/05/13,5,"""推推推！餐點超好吃，老闆是好人佛心又阿沙力！"""
86,2019/05/13,1,"""老闆垃圾態度，經過店面就跟看到神經病一樣。"""
