id,date,star,text
1,2016/05/17,3,"""東西不錯吃，但上菜超慢，7點半等到8點半才上炒飯、炒麵跟涼拌筍，火都快起來了"""
2,2016/05/17,5,"""東西新鮮好吃"""
3,2016/05/17,4,""" 好客 好吃 好地方，，"""
4,2016/05/17,3,"""除了招牌炒豬肝 其他菜色普通"""
5,2016/05/17,4,"""價格不貴，餐食不錯，適合聚餐"""
6,2017/05/17,5,"""海產新鮮豐富，店內環境也比一般海鮮餐廳明亮乾淨一些，家族聚餐大人小孩都吃得很開心～值得再訪！"""
7,2017/05/17,3,"""菜色還行，不算平價。"""
8,2017/05/17,4,"""菜色多樣，美味！ 不過人多出菜速度較慢！"""
9,2017/05/17,5,"""新鮮美味又平價!!服務親切!"""
10,2017/05/17,3,"""還不錯的地方"""
11,2017/05/17,2,"""吃過一次，就..沒有啥特色"""
12,2017/05/17,5,""" 好吃的地方，，"""
13,2017/05/17,4,""" 好，，"""
14,2017/05/17,4,"""下班聚會的好去處。"""
15,2017/05/17,4,"""美食，便宜好吃，就是地方不是很大，記得要先預約"""
16,2017/05/17,5,"""超讚"""
17,2017/05/17,2,"""消費過不會再去，你知道的……"""
18,2017/05/17,4,"""食物美味 適合小酌"""
19,2017/05/17,5,"""很多藝人在這喝醉"""
20,2017/05/17,4,"""好吃！價格合理！環境簡單乾淨"""
21,2017/05/17,5,"""好吃 開了非常多年，現在居然擴增到有四間店面了"""
22,2017/05/17,4,"""因為春酒所以來這家店吃，，但滿好吃的XD 他們的湯頭很棒，，我個人除了生魚片這道料理都很喜歡。"""
23,2017/05/17,5,"""好吃!料理新鮮口味佳!是聚餐好所在"""
24,2017/05/17,4,"""豬肝好吃~青菜很脆很新鮮"""
25,2017/05/17,4,"""東西好吃~ 價格很合理~~ 吃起來很過癮 不用擔心付前有壓力! 若附近另一間名店是偶爾去吃吃(另一家不便宜) 那欣海岸就是可以每個禮拜來吃個一兩次的鄰居店!!! 推!!"""
26,2017/05/17,4,"""價格比較高，但是海鮮非常新鮮，生意興隆，最好事先預約喔！"""
27,2017/05/17,3,"""食物新鮮，創意料理，價格中等"""
28,2017/05/17,3,""" 好吃……可是出菜真的太慢了……！，，"""
29,2018/05/17,5,""" 東西每樣都好吃，且這也吃的到明太子雞翅了。，，"""
30,2018/05/17,4,"""海鮮料理不錯，因為生意好，上菜速度會比較久"""
31,2018/05/17,4,"""生意很好的海產店，老闆很熱心，手藝有一定水準，不會亂開價。"""
32,2018/05/17,5,"""每樣料理都好吃，一定要來試試"""
33,2018/05/17,4,"""東西好吃，服務好！價位稍貴！"""
34,2018/05/17,4,"""價格稍高，但食材料理真的不錯！ 必吃臭豆腐鍋和炒豬肝！"""
35,2018/05/17,5,"""新鮮好吃"""
36,2018/05/17,4,"""海鮮料理新鮮、口味多，價格實在！，服務親切。"""
37,2018/05/17,5,"""相較於一般熱炒來說非常好吃"""
38,2018/05/17,4,"""新鮮美味"""
39,2018/05/17,4,"""菜色不錯"""
40,2018/05/17,4,"""東西好吃，常客滿"""
41,2018/05/17,4,"""😍"""
42,2018/05/17,3,"""還不錯吃，但餐廳分三處，服務人員幾乎都不見"""
43,2018/05/17,4,""" 好吃，，"""
44,2018/05/17,5,"""海產新鮮好吃!"""
45,2018/05/17,3,"""偏貴，味道有時候很美味很好吃，有時候又普普"""
46,2018/05/17,4,"""不錯吃，但停車沒的停。"""
47,2018/05/17,5,""" 好吃哦，，"""
48,2018/05/17,5,"""來吃飯還看到大明星"""
49,2018/05/17,4,"""這是一個人也會來的熱炒店 一個人吃得時候我最推的是什錦湯麵，用餐環境舒適 餐具感覺很乾淨 好店"""
50,2018/05/17,4,"""臭豆腐鍋好吃"""
51,2018/05/17,4,"""上菜速度快、不錯"""
52,2018/05/17,4,"""確實不錯吃~在同一個巷子內，竟然有四間店^^服務態度有到位~我面前的盤子幾乎30分鐘換一次……建議可以試試！"""
53,2018/05/17,5,"""經濟實惠"""
54,2018/05/17,5,""" 聚餐好地方，好吃！ 👍，，"""
55,2018/05/17,5,"""CP值很高的海鮮餐廳"""
56,2018/05/17,3,"""東西好吃但是停車不便利"""
57,2018/05/17,5,"""明亮眼珠的清蒸鮮魚~新鮮味美!!，香煎豬肝~怎麼能如此軟嫩!!，真是太好吃了啦!!"""
58,2018/05/17,4,"""生魚片很新鮮 炒豬肝粉嫩雞肉也超贊"""
59,2018/05/17,5,"""一定要來嚐嚐"""
60,2018/05/17,5,"""服務生好溫柔，有禮貌，東西超好吃，吃過一次還是想再從桃園衝台北去吃，很有特色的菜，別人學不來~那一排很多家，欣海岸仍舊是我心目中的第一名啦！"""
61,2018/05/17,5,"""完美，來很多次還是好吃"""
62,2018/05/17,3,""" 聚餐的好地方，，"""
63,2018/05/17,2,"""東西OK  但價錢不透明  才吃四項菜結帳時有總價、但問不出來單價"""
64,2018/05/17,5,"""與店家有40年的交情！"""
65,2018/05/17,5,"""隨便點餐都好吃，每道熱炒都很鮮美，服務親切。，聚會的好場所"""
66,2018/05/17,4,"""還可吃，但 愈來愈貴。"""
67,2018/05/17,5,"""各種菜色新鮮好吃，價錢合理！老闆服務親切，生意非常好，來最好先訂位！"""
68,2018/05/17,3,"""可以試試看，還𣎴錯。"""
69,2018/05/17,4,"""好吃的台式熱炒！但價格有點偏高"""
70,2018/05/17,5,""" 好吃又便宜，，"""
71,2018/05/17,5,"""從大朋滿座的狀況，就可以知道美味程度。或許其貌不揚，但道道好吃"""
72,2018/05/17,5,"""海鮮新鮮料理好吃"""
73,2018/05/17,5,"""上菜比較慢，東西不錯吃"""
74,2018/05/17,5,"""海派的老闆，好吃的料理，讚！"""
75,2018/05/17,4,"""價位好，東西好吃"""
76,2018/05/17,4,""" 炒米粉好吃，，"""
77,2018/05/17,5,""" 菜色便宜好吃，，"""
78,2018/05/17,5,"""老闆人客氣，服務不錯。推~~~~"""
79,2018/05/17,3,"""東西算還不錯吃，老闆好客氣"""
80,2018/05/17,3,"""東西新鮮，口味還不錯，服務態度也好。，但是東西沒標單價，部份價格略高。，生魚片大份600內容豐富。，白魚或鯧魚米粉價位1鍋1千多，但沒什麼料，有點不值。，當日消費平均一人約700，不含酒。"""
81,2018/05/17,5,"""🤗🤗🤗"""
82,2018/05/17,5,"""東西美味 服務態度優質"""
83,2018/05/17,5,"""👍👍👍👍👍👍"""
84,2018/05/17,5,"""意外的非常好吃！下次必訪"""
85,2018/05/17,5,"""東西也太好吃了吧！！"""
86,2018/05/17,5,"""新鮮又好吃!"""
87,2018/05/17,5,""" 好地方，，"""
88,2018/05/17,5,"""菜色讚 服務好"""
89,2018/05/17,1,"""油煙味很重"""
90,2018/05/17,4,"""一般朋友聚會好所在，菜色豐富，喜歡喝啤酒的好地方"""
91,2018/05/17,5,"""東西好吃，讓人停不下來"""
92,2018/05/17,5,""" 烹飪新鮮，，"""
93,2018/05/17,4,""" 口味佳，，"""
94,2018/05/17,4,"""海產料理很新鮮美味，其中白鯧米粉湯必吃。"""
95,2018/05/17,4,"""新鮮，好吃，吃得出食物的鮮甜。"""
96,2018/05/17,4,""" 我覺得每一道菜都好吃！，，"""
97,2018/05/17,4,""" 好吃，，"""
98,2018/05/17,4,"""菜色好，味道佳，但廁所較小。是聚餐的好地方。"""
99,2018/05/17,2,""" 所以我們在幾分鐘前剛剛來到這裡，而且我一點都不感冒。魚沒有味道，蝦太鹹，雞肉太鹹了。唯一煮好的是蔬菜。價格過高，執行力差，我的冰箱裡有一盒鹹雞。，，"""
100,2018/05/17,5,""" CP值很高，，"""
101,2019/05/17,4,"""裝潢不怎麼樣，但是很好吃"""
102,2019/05/17,1,"""難吃"""
103,2019/05/17,5,"""東西份量多，好吃，麻油雞湯很讓人驚艷！"""
104,2019/05/17,5,"""芋頭旗魚米粉大推！"""
105,2019/05/17,4,"""好吃值得一推，只惜不好停車，沒預約要等很久"""
106,2019/05/17,4,"""東西好吃，價格一般，但停車不便"""
107,2019/05/17,5,"""價格實在，料理很不錯，大推炒飯跟夏天的炒筍子"""
108,2019/05/17,5,"""體驗台式街邊熱炒的經典餐廳，中崙一帶最佳選擇!"""
109,2019/05/17,4,"""海產新鮮 價格平實  多款瓶裝啤酒  出菜快  適合人多餐聚"""
110,2019/05/17,4,"""料理口味不錯，適合多人聚餐"""
111,2019/05/17,3,"""魚蝦很新鮮，但售價稍嫌偏高"""
112,2019/05/17,3,""" 點錯菜就很會很貴，要小心喔!，，"""
113,2019/05/17,5,""" 好吃的店，，"""
114,2019/05/17,5,""" 好吃好喝好聚，，"""
115,2019/05/17,4,"""好吃 但不好停車"""
116,2019/05/17,5,"""聚餐首選，海鮮夠青，菜色不錯"""
117,2019/05/17,4,""" 美食，熱情服務，，"""
118,2019/05/17,1,""" 菜價不透明，有些殺豬。外地人慎入…，，"""
119,2019/05/17,5,"""乾淨衛生空調舒適，每桌幾乎都是獨立隔間包廂，而且隔音效果還蠻好的，服務的大姐們更是親切有效率。主打的白帶魚米粉鍋甘甜鮮美價格合理，其他的炒菜味道剛好，是一家升級版的台菜海鮮，每晚都爆滿，所以一定要先訂位。"""
120,2019/05/17,5,"""服務親切，價格實惠，食物好吃，值得。"""
121,2019/05/17,5,"""好吃服務好"""
122,2019/05/17,3,"""有點貴"""
123,2019/05/17,1,"""隨意取消訂位，不負責任的餐廳。"""
124,2019/05/17,4,"""台菜專門餐廳"""
125,2019/05/17,5,"""好吃海產新鮮"""
126,2019/05/17,4,"""地方擁擠，所以隔壁幾桌會太吵。生意好，吃的好吃，但是無法好好講話，這可以一起嗨而已"""
127,2019/05/17,5,"""新鮮好吃  大推~~~"""
128,2019/05/17,4,"""海鮮新鮮，只是調味加強會更好"""
129,2019/05/17,4,"""人多有獨立空間，不怕被吵。，菜色都不錯，調味略重，聚餐好地方。"""
130,2019/05/17,5,"""煎豬肝，臭豆腐加生雞蛋，旗魚米粉湯，必點，價錢便宜！"""
131,2019/05/17,4,""" 好吃又便宜，，"""
132,2019/05/17,4,""" 菜很好吃，CP值高，，"""
133,2019/05/17,5,"""料好實在，新鮮好吃，吃了兩次都很滿意~"""
134,2019/05/17,4,"""食物還可以的，但價格較高。而且沒有menu"""
135,2019/05/17,4,"""老闆服務，手藝菜色好吃"""
136,2019/05/17,5,""" 好吃，，"""
137,2019/05/17,5,"""豬肝。龍珠。臭豆 腐腸旺。炸蚵。水蓮。情人果。炸牛蒡。四季豆炒炸魷魚。。。。。。。。。都好吃。服務待度很親切。。。。讚爆。。。👍🍺🍳🍝🍲🍙🍘🍚🍡🍛🎂☕🍺🍴🍽😀"""
138,2019/05/17,4,"""台北少數不是熱炒100類型的海產店食材新鮮。"""
139,2019/05/17,4,"""餐點很好"""
140,2019/05/17,4,"""東西好吃新鮮，所以吃光光。"""
141,2019/05/17,5,"""煎豬肝、炒龍珠非常好吃，服務態度很好，用餐環境也不錯"""
142,2019/05/17,5,"""新鮮好吃 。"""
143,2019/05/17,5,""" 便宜大碗，，"""
144,2019/05/17,5,"""真的好吃！服務人員非常親切！"""
145,2019/05/17,3,""" 便宜好吃！，，"""
146,2019/05/17,5,"""好吃服務好"""
147,2019/05/17,4,""" 好吃，，"""
148,2019/05/17,3,""" 允許你喝燒酒的地方。海鮮是新鮮的，但沒有價格標籤。，，"""
149,2019/05/17,5,""" 太好吃啦～～～，，"""
150,2019/05/17,4,"""好吃的台式海鮮料理!!物超所值，白鯧魚米粉夠味道~~"""
151,2019/05/17,3,"""味道不錯的快炒店"""
152,2019/05/17,4,"""好吃喔~豬肝很棒"""
153,2019/05/17,5,"""隱藏在巷弄內，新鮮又好吃的熱炒"""
154,2019/05/17,5,"""水準之上"""
155,2019/05/17,3,"""價格不透明，要結帳時會有被坑殺的感覺！"""
156,2019/05/17,5,"""老闆人很客氣 料理不錯"""
157,2019/05/17,4,"""東西蠻好吃的，店家人也十分親切！"""
158,2019/05/17,5,"""很 local 的熱炒店，適合跟同事聚餐，比想像中好吃，什麼菜都有的感覺😂"""
159,2019/05/17,4,"""好吃！人少點不起白帶魚米粉，但什錦湯米粉也很讚。金沙中卷500！原來是秤重的！其它的價格合理！"""
160,2019/05/17,4,""" 好，，"""
161,2019/05/17,3,"""可能因為生意好，出餐有點慢。但口味還不錯，雞湯好喝"""
162,2019/05/17,5,"""東西好吃，食材新鮮，上菜有點慢"""
163,2019/05/17,5,""" 菜色很棒，很好吃 !，，"""
164,2019/05/17,1,"""失望；一般海產攤、餐廳價格！"""
165,2019/05/17,2,"""價格亂算，服務一般"""
166,2019/05/17,4,"""好吃的熱炒,海產攤!"""
167,2019/05/17,4,"""東西蠻好吃的而且菜色豐富！"""
168,2019/05/17,4,"""價位稍高，海瓜子$300，炒小卷$300，烤紅目鰱$490，炒山蘇$200，生魚片$300"""
169,2019/05/17,4,"""東西算新鮮好吃，價格也能夠接受，但是口味偏鹹，而且室內煙味非常重（四星主要原因）"""
170,2019/05/17,4,"""菜色品質算是中等以上的熱炒餐廳,所以價位略高.香煎豬肝是特色菜,建議嚐嚐看."""
171,2019/05/17,4,"""好驚豔的好吃。煎豬肝、三杯杏鮑菇、辣味🦐蝦，都盤盤見底"""
172,2019/05/17,4,"""餐點好吃，服務親切！"""
173,2019/05/17,5,"""適合三五好友聚會的熱炒餐廳，東西好吃又不貴，CP值不錯!"""
174,2019/05/17,1,"""東西不好吃，偏鹹，主食麵吃起來也沒有嚼勁，cp值不高"""
175,2019/05/17,1,"""價格貴CP值不高，不會再來吃！！，八德路有那麼多間餐廳，，建議可以選別間才不會後悔。，特別是地瓜葉簡直是悲劇～"""
176,2019/05/17,4,"""整體口味和食材用料，介於餐廳和百元熱炒店之間，口味細緻度和食材比一般百元熱炒好，價格也較高，我認同一分錢 一分貨，不過定價略高了一點點，個人認為少10-15%認為是合理定價。，炒飯中有花枝、蝦，蚵仔酥也頗肥美，海瓜子也大顆，臭豆腐大腸和煎豬肝也都獲得同行朋友好評。，建議5-6人會是最恰當的人數，可以吃到更多菜式，每人均價也最剛好。"""
177,2019/05/17,4,"""食材新鮮，炒得好吃。臭豆腐、白帶魚米粉很美味"""
178,2019/05/17,5,"""好吃新鮮有特色"""
179,2019/05/17,4,"""食材鮮度夠，海魚種類多，但相對的價格就比較高。人多的時候出菜會比較慢，建議可先訂位，若不喜歡菸味，可請店家安排別靠近門口的位子。"""
180,2019/05/17,4,"""口味跟菜色都不錯的熱炒店   適合同事聚餐"""
181,2019/06/17,5,"""豬肝招牌很強，很適合下班後小酌"""
182,2019/06/17,5,"""出菜快，又好吃，推薦100元的炒飯"""
183,2019/06/17,4,"""東西新鮮好吃"""
184,2019/06/17,5,"""33年老店。，從老老闆開始 現在小老闆開始接手。，傳統好滋味。"""
185,2019/06/17,4,"""不錯"""
186,2019/07/17,4,"""去兩次都吃他的桌菜，從6800起到8800都有，含水果都有10道菜，特色菜幾乎都有包含，如果不喜歡的菜色也可以做更換，豬干、白斬雞、米粉湯都不錯，就桌菜而言是算Cp值很高的,生意都很好建議預先訂位"""
187,2019/07/17,4,"""最近很常去的海產店～菜色不錯吃份量也不小，重點是食材新鮮．雖然不是每次去都一定會有位置，但店員都很用心努力地幫我們橋位置，雖然價位比熱炒店高一些，但份量和新鮮度不是熱炒店可以比得喲"""
188,2019/07/17,3,"""公司聚餐很愛來。，香煎豬肝、旗魚米粉湯還不錯，呷粗霸>”<"""
189,2019/07/17,5,""" 好吃😋，，"""
190,2019/07/17,5,"""生意越做越大東西好吃，可是價錢要預算"""
191,2019/08/17,5,"""豬肝好好吃！！！"""
192,2019/08/17,3,"""菜色每樣都做的不錯 只是生魚片有待加強"""
193,2019/08/17,5,"""朋友聚會的好地方。"""
194,2019/08/17,4,"""各類海鮮肉品 熱炒 適合聚會的好場所"""
195,2019/08/17,3,"""聚餐好地方 口味也不錯"""
196,2019/08/17,4,"""三杯杏鮑菇,讚啦!"""
197,2019/08/17,3,"""2019.08.07，歡送離職同事聚餐，生意好到需要三間店面的座位，上次周五晚餐，因為沒預約吃不到，這次訂到了，周三晚間空位就多了，整個空間彌漫厠所的尿騷味，菜還沒上第一印象令人失望。"""
198,2019/08/17,4,"""店家很親切，雖是海鮮餐廳，遇到吃素客人還是很貼心的幫忙炒些素食，炒水蓮香菇，三杯杏鮑菇，涼筍沙啦呀，口味不錯喔"""
199,2019/08/17,5,"""東西新鮮好吃口味適中，價錢公道，推!!"""
200,2019/08/17,5,"""非常好吃的料理，口味道地，價格合理"""
201,2019/09/17,5,"""極推炒麵 非常之好吃 其他菜手藝也都不錯"""
202,2019/09/17,4,"""星期六8:30到，有幾道菜已經售完了。"""
203,2019/09/17,4,""" 好吃，，"""
204,2019/09/17,5,"""吃貨達人的我，上週五第一次去這家餐廳，點了招牌“麻辣肥腸臭豆腐”出乎意外的好吃，豆腐超入味。還有煎豬肝好好吃。因為本人愛吃辣，超推口水雞。炸明蝦仁燴粄條也很特別。點了9道菜都蠻好吃的，下次會再去吃！！"""
205,2019/09/17,5,"""第一次來這家店跟朋友聚會，發現意外的好吃😋食材都很新鮮，臭豆腐夠臭又入味，海鮮很鮮美，週五晚上坐無虛席，老闆夫妻人都親切很客氣，讓我還會想去消費"""
206,2019/09/17,5,"""難得和朋友相聚，特別選的餐廳，東西好好吃，食材又新鮮，重點是老闆和老闆娘人超好的，下次聚餐還要再去👍"""
207,2019/09/17,5,"""8月姐妹們聚會選在這裡用餐 老闆和老闆娘很親切又客氣 招牌臭豆腐臭又香湯頭又好喝 嫩煎豬肝好嫩又好吃 還有三杯杏鮑菇...講到都餓了 真的值得推薦👍，店家廁所乾淨 又無異味 店家服務員除了服務熱誠外有顧到用餐環境 我個人覺的很讚👍"""
208,2019/09/17,3,"""以熱炒店，環境不錯，餐點也不錯"""
209,2019/09/17,5,""" 友善和便利，，"""
210,2019/10/17,5,"""好吃實在，不會像坑錢海鮮店，價格透明。"""
211,2019/10/17,3,""" 好的，鹹的，，"""
212,2019/10/17,4,"""10/2晚上用餐!台灣熱炒！份量十足！"""
213,2019/10/17,4,"""東西不難吃但量都不多⋯⋯覺得貴。而且沒菜單和價目表，這次沒細問各道菜價錢。結帳時有傻眼。8個大人沒吃飽...（有些餐沒拍到照片）"""
214,2019/10/17,5,"""不錯吃"""
215,2019/11/17,5,""" 好吃，，"""
216,2019/11/17,2,"""價位略高"""
217,2019/11/17,4,"""炒飯好吃。炒豬肝並不像網路上說的那麼神，我反而認為隔壁街的 X海岸 比較好吃，價格也便宜很多"""
218,2019/11/17,5,"""大小老闆都很善良很和氣，東西都好吃"""
219,2019/12/17,5,"""台北前幾好吃熱炒"""
220,2019/12/17,4,""" 菜色多，味道很棒。，，"""
221,2019/12/17,4,"""品質贊"""
222,2020/01/17,4,"""聚餐場地氣氛佳，菜色豐富。"""
223,2020/01/17,5,"""服務很好價錢看個人餐飲不錯"""
224,2020/01/17,4,"""好想的聚餐環境！"""
225,2020/01/17,4,"""沒想到八德路巷子裡，有間這麼具規模的熱炒店。"""
226,2020/02/17,5,""" 食材新鮮、美味，，"""
227,2020/02/17,4,"""食物很好吃，適合朋友聚餐，最大包廂只有四桌，需要多桌的人記得問清楚"""
228,2020/02/17,4,""" 好吃，，"""
229,2020/02/17,4,"""有別與台北一般熱炒店，用料實在，份量足夠。菜色豐富。"""
230,2020/03/17,4,"""豬肝好吃"""
231,2020/03/17,5,""" 好吃!!!，，"""
232,2020/03/17,4,"""一家隱藏於巷弄間的海鮮餐廳，經常高朋滿座，口味一級棒，回味無窮，老饕最愛噢！"""
233,2020/03/17,3,"""菜還蠻好吃的，但桌椅擺設有點擠"""
234,2020/03/17,2,"""菜色多樣又美味，但惱人的是酒促小姐會不時湊近客人說：「我老闆在旁邊，今天某牌子的啤酒銷量不好，我壓力很大」。無形中給客人帶來莫名的壓力，此舉非常不妥！"""
235,2020/03/17,5,"""道地好吃的台式海產熱炒店。醬燒豬肝真的是必點的經典料理！海鮮也都很新鮮，炒飯更是粒粒分明，鍋氣十足！"""
236,2020/03/17,3,"""慕名而來的高價位熱炒，許多菜單都是時價，口袋要深一點。，菜色好吃，不過以價位來說CP值沒那麼好。"""
237,2020/03/17,5,"""好吃不貴"""
238,2020/03/17,5,"""好吃，新鮮，CP值高"""
239,2020/04/17,4,"""東西蠻好吃的"""
240,2020/04/17,5,""" 好吃😋，，"""
241,2020/04/17,5,""" 超好吃，大推，，"""
242,2020/04/17,1,"""無標價，只點了些很平常的熱炒料理，7道菜結帳卻要快4千，但味道就和一般熱炒店的水準差不多...非常不建議來當盤子"""
243,2020/04/17,5,"""大推芋頭米暪湯"""
244,2020/05/03,5,"""大嫂工作餐廳、家人相約來這聚餐、料理功夫超讚！CO值高"""
