id,name,date,star,text
1,水中鮮100元快炒,2016/05/09,3,"""上菜速度極快。"""
2,水中鮮100元快炒,2016/05/09,5,""" 快捷的服務和精心製作的kuaichao經典。，，"""
3,水中鮮100元快炒,2016/05/09,2,"""價格貴，東西超鹹，分量少，不建議"""
4,水中鮮100元快炒,2017/05/09,1,"""菜色偏鹹，環境差，雖然有標示室內禁止抽煙，但是一進餐廳就看到其他客人在抽煙，後來看到餐廳上菜員工在抽，串肉串的也在抽，廚房出來的員工也再抽，我突然就領悟了些什麼"""
5,水中鮮100元快炒,2017/05/09,5,""" 好吃又便宜，，"""
6,水中鮮100元快炒,2017/05/09,4,"""口味不錯，價格合理。"""
7,水中鮮100元快炒,2017/05/09,4,""" 快炒好吃，，"""
8,水中鮮100元快炒,2017/05/09,4,"""高CP熱炒"""
9,水中鮮100元快炒,2017/05/09,4,"""熱炒食材比較小盤，但整體來說不錯吃"""
10,水中鮮100元快炒,2017/05/09,5,""" 好吃，，"""
11,水中鮮100元快炒,2017/05/09,4,"""口味蠻不錯的，份量也可以！聚餐好地方！"""
12,水中鮮100元快炒,2017/05/09,4,"""好吃！居然還有飛鏢機"""
13,水中鮮100元快炒,2017/05/09,5,""" 好吃，，"""
14,水中鮮100元快炒,2017/05/09,4,"""味道夠味"""
15,水中鮮100元快炒,2017/05/09,4,"""好吃 有打鏢機"""
16,水中鮮100元快炒,2017/05/09,3,""" 普通，，"""
17,水中鮮100元快炒,2018/05/09,4,""" 便宜好吃，，"""
18,水中鮮100元快炒,2018/05/09,2,"""和以前比，味道差很多。有的太鹹，有的不夠入味，不然就是材料配得很怪~"""
19,水中鮮100元快炒,2018/05/09,3,"""還可以 ，很吵"""
20,水中鮮100元快炒,2018/05/09,4,"""東西好吃，價格合適"""
21,水中鮮100元快炒,2018/05/09,1,"""環境很不乾淨，廚房好像就在旁邊小小的防火巷裡，看起來好危險，東西也不好吃"""
22,水中鮮100元快炒,2018/05/09,3,"""很普通的熱炒店"""
23,水中鮮100元快炒,2018/05/09,1,"""店內冷氣開放，隔壁桌的室內抽菸，，店家默許"""
24,水中鮮100元快炒,2018/05/09,3,"""上菜很快，價格和份量以台北來說都ok"""
25,水中鮮100元快炒,2018/05/09,4,"""價格平價好吃"""
26,水中鮮100元快炒,2018/05/09,3,"""味道不錯，但環境衛生有待加強"""
27,水中鮮100元快炒,2018/05/09,5,"""不錯不錯"""
28,水中鮮100元快炒,2018/05/09,4,"""菜色不錯，交通便利。"""
29,水中鮮100元快炒,2018/05/09,1,""" 服務差。狗在室內。，也抽煙，而且基本上沒有味道，，"""
30,水中鮮100元快炒,2018/05/09,3,"""菜色多樣，只是太鹹。"""
31,水中鮮100元快炒,2018/05/09,5,"""缺個廁所就是了"""
32,水中鮮100元快炒,2018/05/09,3,""" 可以，，"""
33,水中鮮100元快炒,2018/05/09,4,"""在鬧區算是非常便宜的快炒店，物美價廉！！"""
34,水中鮮100元快炒,2018/05/09,3,""" 一種非常普通的台灣居酒屋。它很容易使用，因為離車站很遠，所以客戶很少！，，"""
35,水中鮮100元快炒,2018/05/09,1,"""重油重鹹的快炒料理，能做的這麼不好吃也是了不起"""
36,水中鮮100元快炒,2018/05/09,4,"""東西不錯吃"""
37,水中鮮100元快炒,2018/05/09,4,"""平價上菜速度快，適合朋友吵鬧聚會，也可以打電話外帶，上次八點左右打電話過去說要外帶，七道菜10分鐘左右就全部弄好了。"""
38,水中鮮100元快炒,2018/05/09,3,"""嘛…整體來說跟價錢成正比"""
39,水中鮮100元快炒,2018/05/09,5,""" 方便，，"""
40,水中鮮100元快炒,2018/05/09,4,""" 不錯的聚會場合，店家服務再貼心點，再互，動點就90分，，"""
41,水中鮮100元快炒,2018/05/09,4,"""不錯吃"""
42,水中鮮100元快炒,2018/05/09,4,"""經濟實惠"""
43,水中鮮100元快炒,2018/05/09,3,"""平價熱炒，菜量有點少，四季炒大腸還是有點味道，蠻可惜的"""
44,水中鮮100元快炒,2018/05/09,2,"""普普的菜色，不清爽的用餐環境"""
45,水中鮮100元快炒,2018/05/09,4,"""平價，口味偏重，適合下酒"""
46,水中鮮100元快炒,2018/05/09,3,"""開到半夜三點,雖然沒有特別美味但半夜要吃熱炒這點是方便的"""
47,水中鮮100元快炒,2018/05/09,5,"""出餐快速穩定，適合聚餐小酌"""
48,水中鮮100元快炒,2018/05/09,4,"""還不錯吃，出餐速度好快，只是坐在裡面有點熱～"""
49,水中鮮100元快炒,2019/05/09,4,"""老闆人親切，食材新鮮好吃就不說了，重點是……出菜超級快，吃完還不會趕客人喔！讚！"""
50,水中鮮100元快炒,2019/05/09,3,"""廚師好像換了。"""
51,水中鮮100元快炒,2019/05/09,4,"""份量普通 但餐點還不差"""
52,水中鮮100元快炒,2019/05/09,3,"""還不錯吃的熱炒，但份量稍嫌少！"""
53,水中鮮100元快炒,2019/05/09,4,"""大夜班的好去處"""
54,水中鮮100元快炒,2019/05/09,3,"""還可以，適合聚會"""
55,水中鮮100元快炒,2019/05/09,3,"""開了很久的快炒店"""
56,水中鮮100元快炒,2019/05/09,2,"""抵吃,份量不多, 味道還可以"""
57,水中鮮100元快炒,2019/05/09,5,"""好吃 超好吃 飯好ㄔ 菜好ㄔ"""
58,水中鮮100元快炒,2019/05/09,5,"""讚～隨性～休閒"""
59,水中鮮100元快炒,2019/05/09,5,"""好吃又不貴！"""
60,水中鮮100元快炒,2019/05/09,4,"""快速，不錯吃。"""
61,水中鮮100元快炒,2019/05/09,5,""" 好吃，，"""
62,水中鮮100元快炒,2019/05/09,4,"""人多，料理還不錯吃"""
63,水中鮮100元快炒,2019/05/09,5,""" 俗又大碗，，"""
64,水中鮮100元快炒,2019/05/09,4,"""口味不錯，出菜速度也很快。不過他的麻婆豆腐很難吃！"""
65,水中鮮100元快炒,2019/05/09,4,"""覺得不錯啊 口味對比價格滿實惠的 而且記得這間也是開的算久了 品質不差"""
66,水中鮮100元快炒,2019/05/09,5,"""料理不錯，但椅子有點低"""
67,水中鮮100元快炒,2019/05/09,2,"""太鹹了，點乾扁四季豆，他們炒豆拌醬，太濕了"""
68,水中鮮100元快炒,2019/05/09,4,"""神猛的一家平價店 ！！"""
69,水中鮮100元快炒,2019/05/09,3,""" 客人太多 上菜等很久，，"""
70,水中鮮100元快炒,2019/05/09,4,""" 宵夜晚餐皆宜，，"""
71,水中鮮100元快炒,2019/05/09,4,"""價格划算 食物好吃，白飯可以吃到飽，環境也不錯，離捷運站走大約十分鐘"""
72,水中鮮100元快炒,2019/05/09,5,"""小心這人"""
73,水中鮮100元快炒,2019/05/09,5,"""菜真的每樣都好好吃，無雷!特別是炸豬肝，宮保皮蛋，臭豆腐，都太好吃。超推。"""
74,水中鮮100元快炒,2019/05/09,4,"""朋友相聚老地方，約在一起今天不拼酒"""
75,水中鮮100元快炒,2019/05/09,4,"""很平價的快炒店"""
76,水中鮮100元快炒,2019/06/09,4,"""每次聚餐都會吃這家，鳳梨蝦球的蝦子很大 粉不會裹太多，鹹蛋四季豆價格不高又非常好吃，旁邊還可以射飛鏢 聚餐的話很推薦這家"""
77,水中鮮100元快炒,2019/06/09,3,"""味道與價格都普通，不過店內有一台鏢機可以打發時間"""
78,水中鮮100元快炒,2019/06/09,4,"""上菜很快 份量偏少 但在台北市100元已經還算可以接受的價位了 適合跟朋友來聚聚"""
79,水中鮮100元快炒,2019/07/09,3,"""普普通通，不難吃"""
80,水中鮮100元快炒,2019/07/09,3,"""便宜 但要會點"""
81,水中鮮100元快炒,2019/07/09,5,"""價格親民，口味不錯"""
82,水中鮮100元快炒,2019/07/09,4,""" 商店的座位安排不好，但是哈哈，味道真好！，，"""
83,水中鮮100元快炒,2019/07/09,4,""" 這家餐廳是開放式的，面向道路和人行道，有很多從人民幣100元起的菜式。，，服務是當地的質量，但味道很好。更暗，Kuh Shin Sai推薦。油炸蝦好吃，因為它是從頭吃的。，啤酒是您自己從冰箱中取出的系統。，可以在紙上檢查訂單，因此可以從日文漢字成像。，，我真的很喜歡這家商店的味道，所以每次都來。，，"""
84,水中鮮100元快炒,2019/08/09,4,"""整體不錯，但是客家小炒沒有肉絲，可能是這間店的特色...."""
85,水中鮮100元快炒,2019/08/09,5,""" 便宜好吃的，，"""
86,水中鮮100元快炒,2019/08/09,3,"""菜的配料很好，唯超鹹。"""
87,水中鮮100元快炒,2019/08/09,3,"""上菜很快，食物普通水準，店內的狗有點吵。"""
88,水中鮮100元快炒,2019/08/09,3,"""服務熱忱，口味尚佳，有三隻狗，餐廳衛生可再加強"""
89,水中鮮100元快炒,2019/08/09,5,"""與朋友聚餐的好地方，上菜速度快 熱炒也很好吃"""
90,水中鮮100元快炒,2019/08/09,4,""" 便宜好吃，cp值高，，"""
91,水中鮮100元快炒,2019/08/09,4,"""東區想吃快炒的好選擇"""
92,水中鮮100元快炒,2019/08/09,5,"""師傅手路不錯，味道很好"""
93,水中鮮100元快炒,2019/08/09,4,"""平價好吃，四個人喝一點酒吃飽約$1700，蠻划算，口味不踩雷，唯獨五更腸旺的腸不太好咬😭，，座位木椅不太舒適，廁所環境普普，整潔度尚可加強。"""
94,水中鮮100元快炒,2019/09/09,4,"""口味很不錯"""
95,水中鮮100元快炒,2019/09/09,3,"""食，熱炒，-，#熱炒，#台式料理，#台北，#台北美食，-，位於北市延吉街上熱炒美食，也算是這裡的人氣料理，人潮總是不間斷，店內空間雖然不大，但位置上安排算寬敞。，-，。炒飯，-，個人很喜歡他們家的炒飯，不會過油過鹹，吃起來粒粒分明帶一點醬油香氣，也不會過乾！只是如果份量可以再多一點點會更棒。，-，。鹽酥龍珠，-，龍珠（魷魚嘴）炸到酥脆爽口，不油膩，搭配花生與蔥花拌炒後上桌，味道上鹹味比較重一點點，但香氣十足非常下飯。，-，。炸豆腐，- …"""
96,水中鮮100元快炒,2019/10/09,4,"""在滿街都是快炒店的街上，你若餓到不能自己的時候快進去店裡就對了，餐點不僅都好吃外，“快” “炒” 真的超級快（我都以為在 “得來速” 點餐）！對了，白飯吃到飽！價位100起跳，也不是只有2、3道100，是很多選擇！"""
97,水中鮮100元快炒,2019/10/09,5,"""價位可以 環境算乾淨"""
98,水中鮮100元快炒,2019/10/09,5,"""上菜速度很快，我喜歡"""
99,水中鮮100元快炒,2019/10/09,3,"""店裡面空間不算大，出菜速度算蠻快的，但份量不是很多，份量來說價格偏貴…"""
100,水中鮮100元快炒,2019/10/09,2,""" 一般，，"""
101,水中鮮100元快炒,2019/11/09,5,""" 小酌的好地方。，，"""
102,水中鮮100元快炒,2019/12/09,5,"""台灣特產 百元快炒"""
103,水中鮮100元快炒,2019/12/09,1,"""無言"""
104,水中鮮100元快炒,2019/12/09,5,"""我們帶著美國回來的朋友，昨天晚上九點多，飛機到的晚，所以來吃。朋友對三杯中卷，炸雞捲，炒蛤蜊，等，配合啤酒，十分滿意。"""
105,水中鮮100元快炒,2019/12/09,5,"""便宜 又好吃、正宗台灣快炒"""
106,水中鮮100元快炒,2020/01/09,3,"""生意感覺不是很好，東西還ok"""
107,水中鮮100元快炒,2020/01/09,5,""" 價格完全便宜，食物很快，麻婆豆腐真的很好。，您可以自帶酒精並吃米飯。小吃很美味，還提供英文菜單。，，"""
108,水中鮮100元快炒,2020/01/09,3,""" 價格適中的體麵食品。，，"""
109,水中鮮100元快炒,2020/02/09,4,""" 聚餐好地方，，"""
110,水中鮮100元快炒,2020/02/09,5,""" 在台灣品嚐！，，"""
111,水中鮮100元快炒,2020/02/09,3,"""嗯～～ 還可以！ 沒帶酒來不用怕，對面有酒條通洋酒可購買 😁"""
112,水中鮮100元快炒,2020/02/09,4,"""當天點了魚蛋沙拉，香煎豬肝，醉雞，炒飯，炒高麗菜及地瓜葉，只有醉雞因為還沒完全退冰，所以口感比較差，其他菜色都很有水準，搭配啤酒很適合"""
113,水中鮮100元快炒,2020/03/09,4,"""好吃出菜很快很平價"""
114,水中鮮100元快炒,2020/03/09,2,"""晚餐跟朋友來吃個飯，點了三道菜，其中椒鹽小卷還不錯之外，沙茶牛肉的肉真的很少，最糟的就是炒高麗菜，菜葉很多洞，而且幾乎都是菜梗，感覺就很不新鮮，而且杯子不知道是什麼原因有個奇怪的氣味，所以酒喝下去也有怪怪的味道，酒就變得不好喝了，這我無法推薦..."""
115,水中鮮100元快炒,2020/03/09,5,"""平價美食！"""
116,水中鮮100元快炒,2020/04/09,4,"""平價好吃，不過平價的代價是份量偏少，不適合太多人聚餐，倒是蠻適合3-5位好友聚聚"""
117,水中鮮100元快炒,2020/04/09,4,"""大部分的東西都好好吃，鳳梨蝦球保留."""
118,水中鮮100元快炒,2020/05/09,1,"""半夜兩三點吵的附近鄰居都不用睡，完全不管的店家，很沒公德心很糟，，，有時候會有人在店外吐久久沒人清，對附近鄰居常常造成困擾不自知，環境可怕😨"""
119,水中鮮100元快炒,2020/05/09,1,"""服務態度差 東西不好吃 老闆工作人員都不帶口罩"""
120,水中鮮100元快炒,2020/05/09,1,"""東西不好吃就算了 服務態度又差"""
