id,date,star,text
1,2016/05/10,5,"""台北市第一家平價龍膽石斑魚料理專賣店，東西好吃消費又不貴。重點是老闆是都超熱情的！！"""
2,2017/05/10,2,""" 均消600以上 口味ㄧ般，，"""
3,2017/05/10,5,"""食材新鮮又好吃！，龍膽石斑魚肉質鮮美炒Q彈的！"""
4,2017/05/10,3,"""還行!!"""
5,2017/05/10,3,"""無配合的停車場"""
6,2018/05/10,4,"""新開幕 人潮不多 不會太吵雜"""
7,2018/05/10,5,""" 跟同事吃的很愉快。，，"""
8,2018/05/10,4,"""聚餐的好地方，老闆親切，東西好吃!"""
9,2018/05/10,4,"""空間寬敞"""
10,2018/05/10,3,"""環境不錯，但餐點普通，文蛤不夠新鮮，金沙豆腐很好吃，單價偏高。"""
11,2018/05/10,5,"""平價餐廳，算不錯了"""
12,2018/05/10,4,"""老闆親切、餐點平價、桌距寬"""
13,2018/05/10,4,"""很好吃，但是太油太鹹。或許熱炒店都這樣吧XD"""
14,2018/05/10,4,"""環境乾淨，老闆親切但是上菜速度偏慢。推薦金沙豆腐、雞湯鍋非常香~"""
15,2018/05/10,4,"""服務好，東西好吃，價格公道"""
16,2018/05/10,4,"""菜色豐富，龍膽石斑和鱷魚都不錯!"""
17,2018/05/10,3,"""味道尚可，價位比一般高，份量多一些些"""
18,2018/05/10,4,"""菜色多樣 美味可口"""
19,2018/05/10,5,"""金沙中卷、炒牛肉、招牌燒肉大推！上菜快，菜色一級棒！"""
20,2018/05/10,3,""" 菜色soso，，"""
21,2018/05/10,2,"""一次路過嘗試，菜色尚可，但上菜速度太慢，而且漏單(兩道菜)提醒第二次才回復食材已下鍋，但很明顯是第二次提醒後才開始料理。無法推薦😶"""
22,2018/05/10,3,"""場地過小，口味尚可!"""
23,2018/05/10,4,"""食材新鮮，環境不錯"""
24,2019/05/10,2,"""太油太鹹，出菜漏東漏西"""
25,2019/05/10,3,"""三杯油味太重，其他還好，價格偏貴"""
26,2019/05/10,5,"""這是我老家"""
27,2019/05/10,1,"""普通沒特色"""
28,2019/05/10,3,""" 台灣人認為烹飪鱷魚就像煮雞一樣，但不是很失望。 4dishes和一瓶新西蘭白葡萄酒花費我2000美元。，，"""
29,2019/05/10,4,"""人多，上菜算快，鵝肉不錯吃。"""
30,2019/05/10,2,""" 我有一隻來自委內瑞拉的鱷魚，肉味道辛苦苦澀，可能是台灣廚師認為它是炸雞的方法，但事實並非如此。炸牡蠣很好吃。剩下的菜都很辛辣，選擇與你通常從其他海鮮餐館得到的東西差不多。，，"""
31,2019/05/10,3,""" 看似普通熱炒，實際上老闆廚師都很用心，食材新鮮，料理賣相一般，口味驚豔，陳設有點兄弟味，但請不要因此卻步，老闆健談又熱情，，"""
32,2019/05/10,4,"""菜色美味，老闆親切，是個跟好友相聚吃吃喝喝的好地方"""
33,2019/05/10,5,"""雖然裝潢沒有很特別，但是食物不錯吃喔"""
34,2019/05/10,1,"""不知道在煮什麼，三杯不三杯還沒有蒜頭，薑絲大腸是炒甜肥腸？不知道這家店怎麼生存下來的，東西熱炒超級不道地，要什麼菜沒什麼菜，份量無敵少，價錢是外面熱炒店將近兩倍，非常不推，大雷店！！，金沙中卷居然用杏鮑菇魚目混珠，鐵板松阪肉煮成糖醋肉還裹粉…真的是無言…"""
35,2019/05/10,2,"""公司聚餐，料理份量偏少，味道很創意非想像中&記憶中的味道。"""
36,2019/05/10,1,"""份量少 上菜慢  價錢也沒比較便宜  禮拜六才八點半  蛤蜊  鮮蚵 腰子都說沒有⋯真的雷"""
37,2019/06/10,4,"""價錢合理，菜色多樣，口味不錯，位置方便好找"""
38,2019/06/10,4,"""店面整潔乾淨，菜色豐富多樣，服務親切有禮，是很好的小酌、聚餐選擇。"""
39,2019/09/10,4,"""Cp值高，台式料理。就跟新生南路上的熱炒差不多。這個是是室內的差別。，也是聚餐好地方"""
40,2019/11/10,4,"""口味偏重，適合下酒~"""
41,2019/11/10,5,"""鱷魚肉料理很不錯，菜品好吃、老闆熱情！，價位合理～"""
42,2019/11/10,1,"""之前全家特別從內湖跑去吃  因為兒子喜歡吃他們的燒肉  買單時櫃臺說生日有送飲料  結果生日當天說要點滿1500才有送  4個人吃1500真的有難度  雖然飯要付費且不便宜  但撐死也吃不到1500  有被騙的感覺  不想再去了"""
43,2019/11/10,2,"""門口價格跟菜單不一樣"""
44,2019/12/10,3,"""口味合適 價格適宜"""
45,2019/12/10,1,"""上菜慢 點10道菜 吃了快一個小時上不到五道菜"""
46,2020/02/10,2,"""煙味太重，明明有客人在店內抽煙，老闆也是消極告知，整個烏煙瘴氣"""
47,2020/05/03,1,"""給你一級棒"""
