id,name,date,star,text
1,潮鮮平價海鮮熱炒,2018/05/09,5,"""價錢公道，份量合理，口味不錯"""
2,潮鮮平價海鮮熱炒,2018/05/09,3,"""價格稍貴，出餐速度慢，配菜比主菜多。"""
3,潮鮮平價海鮮熱炒,2018/05/09,5,"""食材新鮮 價錢平價親民 餐廳內有水族箱 海鮮都是現點現殺的 真是看的到の新鮮😋😋😋"""
4,潮鮮平價海鮮熱炒,2018/05/09,4,"""價格普通，東西好吃，新鮮度還不錯"""
5,潮鮮平價海鮮熱炒,2018/05/09,5,"""大飯店的廚藝，平易近人的價格，聚會談天的好地方！"""
6,潮鮮平價海鮮熱炒,2018/05/09,3,"""聚會餐飲環境佳食材新鮮料理用心~推！"""
7,潮鮮平價海鮮熱炒,2018/05/09,5,""" 便宜好吃。，，"""
8,潮鮮平價海鮮熱炒,2018/05/09,4,"""都蠻好吃的，但份量偏少上菜有點慢"""
9,潮鮮平價海鮮熱炒,2018/05/09,5,"""好吃，新鮮！！重點是又超平價的，跟一般熱炒店不太一樣，可以用這種價錢吃到精緻的菜色，棒！"""
10,潮鮮平價海鮮熱炒,2018/05/09,4,"""口味不錯，，但肉類價格偏高又咬不動，，應用再好一點的品質。，環境有點吵雜，，但還算個適合朋友們聚餐大聲聊天的地方。"""
11,潮鮮平價海鮮熱炒,2018/05/09,5,"""超值海鮮又新鮮"""
12,潮鮮平價海鮮熱炒,2018/05/09,5,"""食物挺新鮮，還有免費小菜可以無限吃，蒜泥白肉有點跟一般店不同！！！基本上在市民大道挺便宜店！"""
13,潮鮮平價海鮮熱炒,2018/05/09,3,"""熱炒配啤酒，贊"""
14,潮鮮平價海鮮熱炒,2018/05/09,4,"""啤酒多種選擇。海鮮價格平實。"""
15,潮鮮平價海鮮熱炒,2018/05/09,1,"""7點到店內吃飯，一個半小時有一半的時間都在等菜，出菜速度非常慢，菜色普通，份量略少。在粉絲團給三星評價，店家辯解說週末人潮很多要我們體諒服務業。我們反應到店內吃飯時只有兩桌，店家就關閉評價功能了。（心虛？"""
16,潮鮮平價海鮮熱炒,2018/05/09,1,"""等太久，炒豆苗等20分鐘，避風塘好吃但龍珠口感脆到過度特別，九層塔蛋+炸蚵油溫不對吃油，沙茶不知是哪種肉，乾扁四季豆太鹹，或許是剛開幕，請再加油。"""
17,潮鮮平價海鮮熱炒,2018/05/09,1,"""菜色很普通 生魚片竟然是冷凍的 ，椒麻雞還是冷的"""
18,潮鮮平價海鮮熱炒,2018/05/09,2,""" 不好吃，，"""
19,潮鮮平價海鮮熱炒,2018/05/09,5,"""好吃 平價 沒話說"""
20,潮鮮平價海鮮熱炒,2018/05/09,5,"""好吃，價格便宜"""
21,潮鮮平價海鮮熱炒,2018/05/09,4,"""魚卵沙拉 我的最愛，酥炸肥腸還好 沒有大腸該有的香氣 感覺像在吃一堆脂肪，其他料理的味道都還不錯"""
22,潮鮮平價海鮮熱炒,2018/05/09,5,"""東西好吃。服務周到。人員熱心"""
23,潮鮮平價海鮮熱炒,2018/05/09,1,"""CP值低，菜沒入味"""
24,潮鮮平價海鮮熱炒,2018/05/09,3,""" 搜搜，，"""
25,潮鮮平價海鮮熱炒,2018/05/09,1,"""出餐速度實在是 太 慢 了！，七點點完餐剛好沒有白飯，20分鐘後第一道菜上桌，等到45分白飯才煮好，五道菜全部上齊是快八點，？？？？？"""
26,潮鮮平價海鮮熱炒,2018/05/09,5,"""相當棒的餐廳  物超所值 天天去都可以"""
27,潮鮮平價海鮮熱炒,2019/05/09,4,"""菜色比較一般熱炒來的有特色，東西好吃，不過客人喝酒講話會比較吵"""
28,潮鮮平價海鮮熱炒,2019/05/09,5,""" Hen好吃，，"""
29,潮鮮平價海鮮熱炒,2019/05/09,5,"""味道好，菜色品種多👍👍👍"""
30,潮鮮平價海鮮熱炒,2019/05/09,5,"""食材新鮮，調理美味，價位親民，值得推薦"""
31,潮鮮平價海鮮熱炒,2019/05/09,5,"""泰國蝦烤的很好吃.魚也很新鮮.麻辣鳳爪跟之前吃過的不一樣.大推"""
32,潮鮮平價海鮮熱炒,2019/05/09,5,"""20180826 初訪，對這次的用餐經驗非常滿意！，1. 食物：用料蠻實在的，調味也不會像其他熱炒店一樣過鹹，個人覺得相當好吃，2. 座位：蠻寬敞，我覺得很舒適。（提供置物籃，不怕東西沒地方放），3. 環境聲量：滿座時蠻熱鬧的但不會很吵，聊天聽得清楚對面朋友說話，4. 廁所：相當乾淨！而且女廁居然有提供衛生棉，天啊超級貼心，救了我一命所以我相當感激！，5. 禁菸！！！大加分～～～，------------------------------------------------，唯一的小缺點是有一道菜等了很久才上，不過因為環境舒適，和朋友聊天又聊得很愉快所以時間很快就過了XD"""
33,潮鮮平價海鮮熱炒,2019/05/09,3,"""菜很入味，主廚手藝好"""
34,潮鮮平價海鮮熱炒,2019/05/09,4,"""經濟實惠，菜色也好吃！"""
35,潮鮮平價海鮮熱炒,2019/05/09,3,""" 好食物，，"""
36,潮鮮平價海鮮熱炒,2019/05/09,5,"""CP值超好的快炒店，食物好吃，服務又好，炎炎夏日來瓶冰啤與好友小酌，太爽der! 🍻"""
37,潮鮮平價海鮮熱炒,2019/05/09,4,""" 炒雞肉和花生醬很好吃！，，"""
38,潮鮮平價海鮮熱炒,2019/05/09,3,"""點了三杯肥腸，香煎豬肝，塔香螺肉，三款菜式味道可以但很類似沒什麼變化，肉有點煮過頭，鹹蛋青花菜還ok。環境寬敞，人流也不會很多"""
39,潮鮮平價海鮮熱炒,2019/05/09,4,"""這附近熱炒店覺得好吃的唷，光這兩個月去吃了4次，大家可以去吃吃唷!"""
40,潮鮮平價海鮮熱炒,2019/05/09,4,"""這裡的熱炒真的是便宜又好吃，另外我們每次一定都會點老皮嫩肉，地瓜葉 ，還有炒飯。有一次還有酥炸白帶魚，真的不錯吃喔！"""
41,潮鮮平價海鮮熱炒,2019/05/09,5,"""一間超棒的熱炒店！海産新鮮肉質鮮美！每道菜都無可挑剔，辣炒海瓜子、鐵板豆腐、牛奶貝、金沙皮蛋是必點推薦還有現撈大明蝦～～～多汁肥美！東區聚餐首選 ；)"""
42,潮鮮平價海鮮熱炒,2019/05/09,2,"""價格偏高，菜色口味還可以但是份量很小，上菜非常的慢。海鮮鍋裡面的海鮮也不是非常的多大部分都是火鍋料，推薦給喜歡吃火鍋料的朋友。如果想聚餐聊天的朋友不太推～另外他們的泡菜很甜我很喜歡！"""
43,潮鮮平價海鮮熱炒,2019/05/09,1,"""金沙杏鮑菇很不推薦，不是像外面的蛋黃炒散沾附著杏鮑菇，是整個裹粉拿去炸口感也不是那麼酥脆，咬開杏鮑菇也非常小條（切長條ˋ狀）沒有口感。三杯田雞肉有點腥味（已經調味很重了...）而且調味過鹹！！五更長旺醬汁勾芡太重且料完全跟醬汁是分開的...生魚片的醬實在有點怪...不知道是否是加淡醬油還是醬油加水...有點像是稀釋過的醬油！這間完全不會再去..."""
44,潮鮮平價海鮮熱炒,2019/05/09,5,"""非常好吃😋員工親切～老闆又大方～，住這附近想來吃吃看.終於有空來～，值得再來👍菜品不死鹹.口味道地.新鮮實在.，今天來剛好遇到老闆不定時的招待時間！有賺到了的感覺！真爽～，真想不懂....常常有些在地嚮導評論的很差是為什麼？明明很優的店家.差點被唬！沒有白來一趟～給店家5星讚！"""
45,潮鮮平價海鮮熱炒,2019/05/09,5,"""今天跟3個朋友來東區逛街，剛好看到這家熱炒.，身為熱炒迷的我們，想說吃看看，天啊！，菜都超好吃！價錢又合理，很實在的店家，約好下次只要來東區.我們都還要來這家吃！忍不住上來留個言標記ㄧ下，哈哈～"""
46,潮鮮平價海鮮熱炒,2019/05/09,4,"""金沙豆腐好吃，其他表現普通，門口發現一隻大老鼠"""
47,潮鮮平價海鮮熱炒,2019/05/09,2,"""我吃重口味，但是竟然感覺東西都好鹹，份量也都很少"""
48,潮鮮平價海鮮熱炒,2019/05/09,2,"""在這個百家爭鳴的地點開這類型的平價熱炒餐廳是很冒險的。，房租貴，但餐點價錢又不能太貴，否則客人是不會上門的，除非廚師熱炒的功力很強，但是品嚐的結果，確實如我心中想像，不曾期待也不符期待，很可惜。，菜的份量是足夠的，價錢比一般的平價熱炒稍高一些但還可接受，只可惜味道就有點……廚師功力明顯不足，這種功力是無法撐起一家餐廳的，非常抱歉，原諒我用這麼重的說法，但是確是事實，這是我第一次給這麼低的分數，因為菜色味道不行的話，哪怕服務再好也無力挽救。"""
49,潮鮮平價海鮮熱炒,2019/05/09,4,"""所點的每道菜都不錯，在這個地點可說是cp值相當不錯!"""
50,潮鮮平價海鮮熱炒,2019/05/09,4,"""菜很好吃，開很晚，很適合夜貓子。"""
51,潮鮮平價海鮮熱炒,2019/05/09,5,"""還不錯吃"""
52,潮鮮平價海鮮熱炒,2019/05/09,3,"""巨無霸媽祖淡菜，好吃但沒處理乾淨，算是cp值很高的熱炒店"""
53,潮鮮平價海鮮熱炒,2019/05/09,5,"""便宜，新鮮，氣氛好，非常適合聚餐"""
54,潮鮮平價海鮮熱炒,2019/05/09,4,"""平價、新鮮、美味，環境整潔乾淨，服務態度極佳，地下室有大圓桌適合多人用餐，我個人力推～"""
55,潮鮮平價海鮮熱炒,2019/05/09,2,"""上菜速度不一致，菜色普通，服務生一直不理人"""
56,潮鮮平價海鮮熱炒,2019/05/09,4,"""點了好多菜，花了八千多^_^"""
57,潮鮮平價海鮮熱炒,2019/05/09,4,"""海鮮好吃，CP值頗高，很讚。"""
58,潮鮮平價海鮮熱炒,2019/05/09,4,"""怕晚餐時間沒座位，一開店就衝進去，上菜超快，價錢不貴，大多都是好吃又下飯的，也適合小酌聚餐，會再訪的熱炒店"""
59,潮鮮平價海鮮熱炒,2019/05/09,5,""" 超好吃的，，"""
60,潮鮮平價海鮮熱炒,2019/05/09,4,"""還不錯喔，好吃"""
61,潮鮮平價海鮮熱炒,2019/05/09,4,"""口味還算不錯 菜色也還算多樣化"""
62,潮鮮平價海鮮熱炒,2019/05/09,5,"""雞腳好吃"""
63,潮鮮平價海鮮熱炒,2019/05/09,5,"""平價！好吃！服務好！"""
64,潮鮮平價海鮮熱炒,2019/05/09,4,"""食物都不錯！好吃！酒促也都美美的～只是坐地下室會有點悶"""
65,潮鮮平價海鮮熱炒,2019/06/09,5,"""好吃、價格不貴、環境寬敞，營業時間到凌晨兩點。加班後。宵夜好好選擇。"""
66,潮鮮平價海鮮熱炒,2019/06/09,5,"""隔壁客滿就過來吃看看，菜色還不錯，服務的話....一般般"""
67,潮鮮平價海鮮熱炒,2019/06/09,2,"""20190524-晚上臨時來這吃飯，跟網站上說的一樣，我先點了五樣菜，先來兩道，後面三道經過了一小時後才陸續來，我不趕時間所以也沒催服務生。要結帳時到櫃檯，服務生看到也不過來結，似乎很被動。"""
68,潮鮮平價海鮮熱炒,2019/06/09,3,"""口味一般般，以平價熱炒而言，份量跟價錢似乎不成比例。"""
69,潮鮮平價海鮮熱炒,2019/07/09,3,"""地下室空氣非常不好 菜色價格都不算好的一家快炒餐廳"""
