id,date,star,text
1,2017/05/10,4,""" 炒牛肉很好吃～，，"""
2,2017/05/10,4,"""炒飯、湯頗不錯！"""
3,2017/05/10,3,""" 可以，，"""
4,2017/05/10,5,"""好吃又快  比民生炒飯好太多 牆上沒有價錢  不過很便宜 炒飯大概70~80(?"""
5,2018/05/10,5,"""不錯吃！"""
6,2018/05/10,5,"""好吃，快速，路邊小吃"""
7,2018/05/10,4,"""好吃 推炒飯！"""
8,2018/05/10,4,"""推薦羊肉燴飯加辣"""
9,2018/05/10,4,""" 好吃~，，"""
10,2018/05/10,4,"""不錯，老闆換人後略有退步"""
11,2018/05/10,4,"""Cp值很高，味道也不錯。"""
12,2018/05/10,4,"""炒飯必點!!"""
13,2018/05/10,5,""" 好吃，，"""
14,2018/05/10,5,"""份量夠也好吃"""
15,2018/05/10,1,"""鍋子都不洗，點肉絲炒飯，有羊肉的騷味，我不吃羊一吃就吃的出來好嗎？根本不想給分"""
16,2018/05/10,5,"""廚師帥"""
17,2018/05/10,5,""" 菜色都算好吃，出餐快速，，"""
18,2019/05/10,4,"""環境不優，一般都是外帶回家吃。最常點牛肉燴飯⋯"""
19,2019/05/10,2,"""點了這麼多道只有炒飯差強人意，菜都重鹹，味道很相像，鹹酥魚完全不鹹沒味道，而且沒有價格，兩個人吃路邊攤吃八百多...."""
20,2019/05/10,4,""" 好吃，，"""
21,2019/05/10,4,"""平價快速的路邊熱炒。傍晚才營業的快炒店，羊肉炒飯有加沙茶很香，炒青菜也很好吃。150能吃到一盤炒飯+青菜，平實也滿足"""
22,2019/05/10,5,"""這間一定要推.，民生社區炒飯，炒麵..，最好吃的一間.，比那什麼椪風的..，民生炒飯要好太多了!，建議，外帶。"""
23,2019/05/10,2,"""羊肉炒飯。，重口味太鹹，上一代做的比較好"""
24,2019/05/10,1,"""真的很鹹，吃完滿嘴的鹹味……"""
25,2019/05/10,3,"""還可以"""
26,2019/05/10,3,"""音樂聲很吵，炒飯頗黑焦，炒麵不好吃，年輕人服務態度佳，故給三顆星"""
27,2019/05/10,2,"""第一次去吃很好吃，羊肉燴飯肉片大又多。，最近再去可能接近打烊時間，羊肉燴飯不見羊肉只見碎末，再加點炒羊肉也是一樣，有點失望。，燴飯80元、飯很多，但是一樣都是碎肉末的炒羊肉沒什麼肉應算便宜些，結果總共210…感覺是十分昂貴的一頓。，老闆顏值高、態度不錯，可是如此令人失望的飲食經驗讓人不再想光顧了。"""
28,2019/05/10,3,"""口味可以！不過有點鹹"""
29,2019/05/10,4,"""炒飯跟燴飯很對味，上菜速度又快，好吃！"""
30,2019/06/10,4,"""傳統炒飯超大份，口味還不錯，食材都新鮮"""
31,2019/06/10,5,"""選擇性多，美味可口"""
32,2019/06/10,5,"""民生社區想隨便吃個快炒就是這家了。"""
33,2019/07/10,5,""" 好好吃，，"""
34,2019/07/10,5,"""東西好吃"""
35,2019/07/10,4,"""#無名熱炒 #民生社區美食 #新東街美食 ，在新東街上，前兩週經過被那香噴噴的鑊氣給擄獲，只可惜已經飽了，今天才終於大快朵頤，炒米粉跟炒青菜都不錯，調味剛好，就是那個香氣，三鮮都很Q彈，我喜歡這家炒米粉，下次來吃炒飯。，炸花枝算是新鮮，吃來彈牙，不過食材沒有先醃過，較沒什麼味道，但太太說這其實已經很不錯"""
36,2019/08/10,1,"""衛生不佳"""
37,2019/08/10,4,"""口感偏重，喜愛重口味的推推的，環境嘛～就路邊攤座位，又能苛求什麼，會在來消費：）"""
38,2019/09/10,5,""" 好食物。，，"""
39,2019/10/10,3,"""炒飯還不錯"""
40,2019/11/10,5,"""老闆很細心，煮的也很美味"""
41,2019/11/10,4,"""小小的店，大大的滿足你的味，推薦炒飯，會再想吃"""
42,2019/12/10,5,"""店家人好很親切，晚上吃宵夜的好地方，炒飯不會很油，照片有加料（自帶牛肉和蛋）"""
43,2019/12/10,1,"""我點的牛肉炒飯裡面沒肉⋯⋯⋯"""
44,2019/12/10,3,"""以路邊熱炒而言口味尚可，服務也頗親切，不過有些菜色價格略為偏高"""
45,2020/01/10,1,"""難吃！"""
46,2020/02/10,1,"""熱炒裡的料跟老闆一樣不見了"""
47,2020/02/10,5,"""很讚👍👍👍"""
48,2020/02/10,4,"""炒麵炒飯都好吃。炒青菜價位略高（70元），容易令人失望。"""
49,2020/02/10,4,""" 好吃，，"""
50,2020/03/10,5,""" 便宜好吃！，，"""
51,2020/03/10,5,"""東西很好吃!"""
52,2020/03/10,4,""" 好吃的食物，，"""
53,2020/03/10,5,"""超級無敵好吃！價格便宜cp值超高"""
54,2020/03/10,5,"""好吃，價格實在"""
55,2020/03/10,5,"""料理動作迅速，從點菜到出餐一氣呵成。，食材也很到味，熱炒店該有的“手路菜”口感都吃得到。，推薦XO醬炒飯、麵，辣辣的很好吃，大家可以吃吃看。"""
56,2020/03/10,1,"""態度很差，以前的老闆味道很好，現在這老闆，味道普普，"""
57,2020/04/10,1,"""不知道為啥!叫了美食外送點這一家的中辣炒飯後,當天居然拉肚子之後三天半夜肚子都一陣一陣痛的,好像得到腸胃炎了,現在半夜都無法睡覺!只好禮拜一去看醫生了!"""
58,2020/04/10,5,"""雖然沒有高級裝潢，相對平價且份量又夠，懂吃的內行人才知道。老闆巨帥"""
59,2020/04/10,5,"""份量夠，價格平價又不失美味，一定會再二訪的店家👍🏻"""
60,2020/04/10,3,"""越來越普通"""
61,2020/04/10,5,"""牛肉炒飯加辣超好吃！，各式熱炒價位合理，味道不錯，下午也有營業，超讚。"""
62,2020/05/03,5,""" 20 30年依然好吃，，"""
