id,name,date,star,text
1,萬里香熱炒,2018/05/10,5,"""隱身夜市的海鮮美食!老闆服務好，不過特別料理要先預訂呦！"""
2,萬里香熱炒,2018/05/10,4,"""親切，服務週到，"""
3,萬里香熱炒,2018/05/10,4,"""平價熱炒"""
4,萬里香熱炒,2018/05/10,1,""" 只能說樣樣不到位！高麗菜炒香菇...糖醋裡肌完全沒有糖醋味！非常雷的店！，，"""
5,萬里香熱炒,2018/05/10,2,"""4隻白蝦8個生蠔要200!!!!!"""
6,萬里香熱炒,2019/05/10,3,"""若以台北來說，口味還可以！但和南部的熱炒店比，瞬間打趴！份量少，太多人來吃不划算！推鹽烤豬肉！"""
7,萬里香熱炒,2019/05/10,4,"""在饒河夜市裡算是便宜的熱炒店，烤蝦和鮮蚵新鮮美味"""
8,萬里香熱炒,2019/05/10,4,"""點了花螺還有炒空心菜，其他的我不知道，但是我點的這兩樣都非常好吃，花螺四顆蠻大顆的也才200，覺得是觀光夜市裡少數有良心價位的店家，有機會還想再去。"""
9,萬里香熱炒,2019/05/10,4,"""前幾年都感覺他像熱炒.最近又多了燒烤.有室外用餐桌球區.可容納25位客人.內部用餐環境還算乾淨.樓上樓下約可容納25位客人.之前的用餐經驗是還好.價位合理.態度不錯.今天剛剛用過餐.所以燒烤的味道無從論起.但是單看看就覺得有來歷。"""
10,萬里香熱炒,2019/05/10,3,"""店面雖小 但有燒烤還有熱炒的夜市喝酒好去處 老闆和善出菜速度快 價格平價但份量偏小相較起來CP值算中下 消費當天炒鹹豬肉略油 海瓜子有味道 其他都不錯"""
11,萬里香熱炒,2019/05/10,4,""" 小酌的好地方，，"""
12,萬里香熱炒,2019/05/10,5,"""地點方便，價格實惠，老闆出自五星級飯店，因此餐點非常美味，值得一嚐再嚐！"""
13,萬里香熱炒,2019/05/10,3,"""鹹蛋炒苦瓜很怪 :("""
14,萬里香熱炒,2019/05/10,4,"""有小傢伙偶現"""
15,萬里香熱炒,2019/05/10,5,"""便宜的熱炒店 好吃😋"""
16,萬里香熱炒,2019/05/10,4,"""平價菜色種類多，地點容易到達！"""
17,萬里香熱炒,2019/05/10,3,"""普普，價格ok"""
18,萬里香熱炒,2019/05/10,5,"""還不錯吃"""
19,萬里香熱炒,2019/05/10,4,""" —般般吧！，，"""
20,萬里香熱炒,2019/05/10,1,"""東西貴份量少，重點是不好吃"""
21,萬里香熱炒,2019/05/10,5,"""坪數雖小但是服務佳，菜色鮮，價格便宜！"""
22,萬里香熱炒,2019/05/10,5,""" 好吃，出菜速度也很快，，"""
23,萬里香熱炒,2019/05/10,3,"""就熱炒沒特別的"""
24,萬里香熱炒,2019/05/10,5,""" 好吃，，"""
25,萬里香熱炒,2019/06/10,4,"""烤鮮蚵很棒"""
26,萬里香熱炒,2019/07/10,5,""" 便宜吃喝好地方，，"""
27,萬里香熱炒,2019/07/10,4,""" 食物味道好，，"""
28,萬里香熱炒,2019/08/10,5,""" 食物很好吃。價格合理。聞起來像豆腐。店員會說日語。推薦海鮮，，"""
29,萬里香熱炒,2019/08/10,4,"""平價，餐點份量適合2-4人小酌，個人覺得在台北來說，是CP值很高的熱炒店"""
30,萬里香熱炒,2019/09/10,4,"""逛夜市順便小酌的好地方"""
31,萬里香熱炒,2019/10/10,1,"""The food is so so.. actually taste okay but I don’t really appreciate with the attitude of the lady boss , we ask for a bottle of beer and she insisted that all of the person who drinks at least must book or call for one dishes..well , I’ve …"""
32,萬里香熱炒,2019/11/10,4,""" 它很臭，所以很清脆可口。，，"""
33,萬里香熱炒,2020/01/10,5,"""服務佳，只要我們(嬤兒孫五人行)一到那裡，他們都會記得我們要吃什麼，微不足道~只有一盤麻油炒枸杞川七、五碗白飯~簡單料理~幸福滋味!嬤兒孫五人行吃得津津有味:吃得幸福滿足!值得推薦~讚讚讚讚讚~樂天知命、知命知足、知足常樂!"""
34,萬里香熱炒,2020/01/10,3,""" 陽台座位可吸煙。，，"""
35,萬里香熱炒,2020/01/10,4,"""親切"""
36,萬里香熱炒,2020/02/10,1,"""份量很少，想吃飽的要考慮"""
