id,name,date,star,text
1,豪香熱炒,2018/05/09,5,""" 好吃，，"""
2,豪香熱炒,2018/05/09,5,"""不錯 乾炒牛河好吃"""
3,豪香熱炒,2018/05/09,4,"""出餐超快，不用等太久，有免費的飲料和熱湯享用。"""
4,豪香熱炒,2018/05/09,4,"""菜色多，上菜快，適合全家用餐"""
5,豪香熱炒,2018/05/09,4,"""口味與環境都很推哦"""
6,豪香熱炒,2018/05/09,4,"""這區方便便宜的熱炒店 蔥爆牛肉飯 飯量多  牛肉有放嫩精的感覺"""
7,豪香熱炒,2018/05/09,4,"""平價、美味！"""
8,豪香熱炒,2018/05/09,4,"""炒的好吃，客飯各項都在水準以上。"""
9,豪香熱炒,2018/05/09,5,"""便當非常好吃!"""
10,豪香熱炒,2018/05/09,3,"""東西還OK，店內有人少快餐便當或是人多大盤熱炒的選擇，有湯品跟飲料的免費供應，環境乾淨整齊，位置也夠多，中午吃飯可以考慮的選擇之一。"""
11,豪香熱炒,2018/05/09,5,"""平價又美味，用餐環境整潔。"""
12,豪香熱炒,2018/05/09,4,""" 菜色都很不錯，不過今天的魚居然沒熟!!,老闆立馬重做一份!!，，"""
13,豪香熱炒,2018/05/09,5,"""平價好吃熱炒 多人快速用餐方便好吃"""
14,豪香熱炒,2018/05/09,3,"""平價熱炒，湯，飯，管飽。"""
15,豪香熱炒,2019/05/09,5,"""好吃又平價，算附近高CP值午餐廳了"""
16,豪香熱炒,2019/05/09,4,""" 以相當低的價格提供質量好的簡單食物的小地方，，"""
17,豪香熱炒,2019/05/09,4,""" 上菜快，，"""
18,豪香熱炒,2019/05/09,5,"""乾淨的中式快餐環境，附自助式的飲料、熱湯。價位合理，我點的醬爆肉絲飯也很好吃。多人一起也可選擇合菜方式，口味選擇更多～"""
19,豪香熱炒,2019/05/09,5,""" 一間清涼而親切的日本餐廳，私人廚師在食客前的電爐上準備菜餚，並投資每道菜。優秀的菜餚，特別是里脊牛排。 Shik Kiwi是某事。，，"""
20,豪香熱炒,2019/05/09,4,"""味道好，份量夠"""
21,豪香熱炒,2019/05/09,3,"""乾淨好吃推薦的庶民料理餐廳"""
22,豪香熱炒,2019/05/09,5,"""出餐快，冷氣涼，東西好吃"""
23,豪香熱炒,2019/05/09,5,"""好吃，便宜，出菜速度驚人"""
24,豪香熱炒,2019/05/09,5,""" 強烈推薦。將再次在這裡吃。，，"""
25,豪香熱炒,2019/05/09,5,""" 好吃，，"""
26,豪香熱炒,2019/05/09,4,"""可單點個人餐也可合菜"""
27,豪香熱炒,2019/05/09,4,"""市區不錯的快炒店，美味實惠"""
28,豪香熱炒,2019/05/09,4,"""上班中午休息吃中餐，出餐快速份量足，炒飯較油"""
29,豪香熱炒,2019/05/09,4,"""好吃，樣式多"""
30,豪香熱炒,2019/05/09,4,"""店家乾淨，上菜也快速，適合中午上班族來吃飯。"""
31,豪香熱炒,2019/05/09,5,"""份量多、口味豐富不會重鹹或過油膩。，有免費的湯、飲料。"""
32,豪香熱炒,2019/05/09,5,"""人多時需要等很久，不過份量和味道都很不錯"""
33,豪香熱炒,2019/05/09,5,"""上班族中午吃飯的好地方"""
34,豪香熱炒,2019/05/09,5,"""湯跟飲料無限，餐點口味較重但很好吃"""
35,豪香熱炒,2019/05/09,5,""" 它很好吃，不是Hinoyama-san的米飯，而是煎雞蛋炒飯（笑），，"""
36,豪香熱炒,2019/05/09,5,"""好吃而且不會太油"""
37,豪香熱炒,2019/05/09,3,"""料理不錯"""
38,豪香熱炒,2019/05/09,4,"""湯茶無限喝"""
39,豪香熱炒,2019/05/09,4,"""用餐環境舒適，但畢竟是快炒店，人多喝了酒後就顯吵雜了…內有免費茶飲及開飲機，非常不同於一般餐廳因要賺飲料費，所以都不會提供免費飲料"""
40,豪香熱炒,2019/05/09,5,"""沒吃過"""
41,豪香熱炒,2019/05/09,5,"""好吃 CP 值高，態度親切，環境OK"""
42,豪香熱炒,2019/05/09,4,"""東西好吃，價格合理"""
43,豪香熱炒,2019/05/09,5,""" 美味，，"""
44,豪香熱炒,2019/05/09,5,"""有賣單人版便當　想吃色炒菜就會來"""
45,豪香熱炒,2019/05/09,4,"""雖然油了點，但是不錯吃"""
46,豪香熱炒,2019/05/09,5,"""環境衛生佳，料理實在又好吃，聽老闆娘說絕對不會使用回鍋油炒菜唷！吃的安心又健康😋"""
47,豪香熱炒,2019/05/09,3,""" 它有點油膩，但它快速，便宜，而且我經常使用它。，，"""
