id,date,star,text
1,2014/05/13,4,"""不錯吃，好友一起聚餐的好去處"""
2,2014/05/13,3,"""還好 不怎麼好吃"""
3,2016/05/13,5,"""個人感想～料好實在、新鮮生猛、美味平價！"""
4,2016/05/13,3,""" 平均台灣re chao餐廳，有很多座位。三層樓高，餐廳週六晚上有充足的空間，可以在晚上7點舉行7人聚會，無需預約。這個地方很忙，但沒有像大多數其他好吃的地方那樣過於擁擠，但菜餚確實比平常慢。他們所有的菜都很可敬，我推薦他們的羊排作為必備菜。最後，請注意他們的夜間“特色”，因為這道菜很難被服務員推開，並且往往會更加昂貴。，，"""
5,2016/05/13,4,""" 好吃但是料不多，，"""
6,2016/05/13,3,"""口味普通 價格ok"""
7,2017/05/13,4,"""食材新鮮又便宜份量大"""
8,2017/05/13,4,""" 非常好的當地台灣菜〜，，"""
9,2017/05/13,4,"""東西新鮮好吃，可惜有些菜過鹹，似乎意在逼人點酒啊！"""
10,2017/05/13,5,""" 在台北競技場舉辦音樂會後，去的地方很晚，美味的食物。夏天很吵，有點溫暖，但只喝更多啤酒，你就不會注意到它。有點希望我住得更近，所以我可以更頻繁地去看看，因為這裡的食物非常棒，傳統的台灣風味海鮮和當地菜餚。好吃！，，"""
11,2017/05/13,4,"""還OK的快炒店，菜色口味偏辣"""
12,2017/05/13,4,"""俗擱大碗"""
13,2017/05/13,3,""" 感受台灣飲料和飲食文化的國際場所。，，"""
14,2017/05/13,3,"""可推薦喝酒熱炒之地"""
15,2017/05/13,3,"""老闆娘超親切"""
16,2017/05/13,4,"""台灣式熱炒"""
17,2017/05/13,5,"""價格實惠 空間不擁擠"""
18,2017/05/13,3,""" 普通，，"""
19,2017/05/13,3,""" 台灣的平re熱菜（熱炒：點菜炒菜）。充足的味道，一般的服務，正常的價格。如果你附近有建議，但不值得為此單獨旅行。，，"""
20,2017/05/13,3,""" 吃推薦是很昂貴的。，，"""
21,2017/05/13,5,"""便宜好吃~推薦“檳榔花”及“烤海鱱”……"""
22,2017/05/13,5,"""很不錯的熱炒店，口味不會太死鹹，有些店幾乎每道菜都用蒜蔥辣椒，但醉翁的菜有用心調味，炒山豬肉，炒苦瓜，烤魚都非常好吃。，，大推油雞，會有點鹹，但超級下飯，直接搭酒也很不錯。"""
23,2017/05/13,4,"""還不錯吃，價格便宜。店內乾淨"""
24,2017/05/13,4,"""推薦這邊的水蓮以及泰式涼拌魚皮"""
25,2017/05/13,5,"""好吃，裡拜日還有魔術師~近距離魔術"""
26,2017/05/13,3,""" 方便，，"""
27,2017/05/13,4,""" 這是一個很好的炸雞，氣氛平靜。價格便宜，味道很好。，，"""
28,2017/05/13,3,"""偏鹹"""
29,2017/05/13,4,"""地點方便"""
30,2017/05/13,3,"""距離捷運站不算太遠，與鄰桌的距離間隔也還算夠。菜色也還不錯。"""
31,2017/05/13,4,"""熱炒店，有時會漏菜。"""
32,2017/05/13,4,"""蔥油雞好吃，一盤500"""
33,2017/05/13,5,"""身為老饕覺得台北市區最好的熱炒店了，主要廚房很用心在煮，然後很少有熱炒店海鮮很新鮮的，這家海鮮很新鮮"""
34,2017/05/13,4,"""菜大盤好吃。有樓上室內，也有一樓靠戶外"""
35,2017/05/13,3,""" 普普，，"""
36,2017/05/13,5,"""便宜又好吃，晚餐時間要訂位。"""
37,2017/05/13,5,""" 外面看起來像香港的“小販食品攤”，但服務要好得多。口味也很棒！，，"""
38,2017/05/13,5,"""好吃便宜服務好"""
39,2017/05/13,2,""" 味道合理。價格便宜，，"""
40,2017/05/13,5,""" 便宜又好吃〜，，"""
41,2017/05/13,4,""" 很棒的炒菜餐廳，有著不錯的食物。服務緩慢，因為它變得非常擁擠。建議您提前預訂。總的來說，不是一個壞地方。，，"""
42,2017/05/13,4,"""是近期吃過最好吃的一家熱炒！，剛點時等菜稍久，可能人真的很多！，有三層樓的用餐區，週五晚上幾乎客滿，，必點老皮嫩豆腐，宮保皮蛋，還有酥炸臭豆腐！"""
43,2017/05/13,5,"""適合聚餐喝酒，但上菜速度有點慢"""
44,2017/05/13,3,""" 很便宜，，"""
45,2017/05/13,4,"""好吃，朋友聚餐好選擇，價格公道！"""
46,2017/05/13,4,"""聚會的好地方"""
47,2018/05/13,3,"""生意變好了，份量也變貴了，且服務差了。不會再去了。"""
48,2018/05/13,5,"""很有熱炒店的氣氛"""
49,2018/05/13,3,""" 有些菜非常普通，，"""
50,2018/05/13,5,""" 好又便宜的食物。，，"""
51,2018/05/13,5,"""新鮮"""
52,2018/05/13,4,"""還不錯"""
53,2018/05/13,3,"""老闆娘好客"""
54,2018/05/13,3,"""價格在臺北市算很便宜，但餐點真的不怎麼樣。，平價、適合喝啤酒的地方，這裡的食物真的只是下酒用的而已。"""
55,2018/05/13,4,""" 很少去吃熱炒，印像中熱炒就是很多蔥蒜之類的配料，不過這間料理滿精緻的。口味中上價格很便宜。，，"""
56,2018/05/13,3,""" 便宜口味尚可，，"""
57,2018/05/13,4,""" 便宜好吃，，"""
58,2018/05/13,4,""" 新鮮食材，，"""
59,2018/05/13,4,"""食物新鮮，價錢也不貴。但環境就有點嘈吵。"""
60,2018/05/13,3,""" 食物差不多。，，"""
61,2018/05/13,3,"""不錯吃"""
62,2018/05/13,1,"""非常難吃，而且服務生無視客人在旁邊到處大聲聊天....."""
63,2018/05/13,2,""" 台北市中心的熱炒店。炒就像股票市場。上下起伏，他們有好日子和壞日子。實際上，這些餐廳的人員流動率是該國其他任何職位中最高的！有一天很棒。可怕的下。氣氛非常響亮！您無法進行對話。，，"""
64,2018/05/13,3,"""便宜，新鮮"""
65,2018/05/13,3,"""熱鬧，有酒促小姐推銷"""
66,2018/05/13,5,"""食物新鮮，環境乾淨"""
67,2018/05/13,4,""" 價格不錯。，，"""
68,2018/05/13,5,"""東西好吃"""
69,2018/05/13,4,""" 美味的食物，真的很實惠，，"""
70,2018/05/13,1,"""放任客人抽煙，完全不顧慮不吸煙的權益，菜也炒的不怎麼樣。"""
71,2018/05/13,5,"""熱炒東西份量都足，不會小小份吃不飽，味道也很不錯。"""
72,2018/05/13,4,"""聚餐喝酒好去處"""
73,2018/05/13,4,"""以熱炒來說東西還不錯吃，除了炒高麗菜，店家會主動清桌面和加冰塊，價位也合理。"""
74,2018/05/13,2,""" 每道菜鹽都過多。，，"""
75,2018/05/13,3,"""還可以的熱炒店，沒有一定要去"""
76,2018/05/13,4,"""Cp值頗高，酒也不貴"""
77,2018/05/13,4,"""不錯，非常適合附近上班族下班後的聚餐場所，對面就是星聚點可以續攤，離捷運站也很近，可以來吃吃看囉，東西偏油但還能接受，份量都小份為主。，小抱怨高麗菜有點小糟糕，感覺蠻多黑邊的"""
78,2018/05/13,5,"""聚會的好地方，可以喝酒，大聲聊天"""
79,2018/05/13,3,""" 一種非常普通的台灣居酒屋。它離車站很遠，但是很大，因為商店有3層，，"""
80,2018/05/13,5,"""菜色多又便宜，適合聚餐全家大小都喜歡"""
