id,name,date,star,text
1,阿忠活海鮮生猛現撈,2013/05/17,3,"""不錯吃，只是出菜有點慢"""
2,阿忠活海鮮生猛現撈,2013/05/17,3,"""上菜超慢，而且服務態度很差，絕對不會再去第二次!"""
3,阿忠活海鮮生猛現撈,2014/05/17,2,"""等了一個小時，連一道菜都沒出，服務態度極差，什麼都叫你自己找，連椅子不夠也叫你自己去找"""
4,阿忠活海鮮生猛現撈,2016/05/17,5,""" 好，，"""
5,阿忠活海鮮生猛現撈,2016/05/17,1,"""貴"""
6,阿忠活海鮮生猛現撈,2017/05/17,4,"""👍"""
7,阿忠活海鮮生猛現撈,2017/05/17,1,"""食物味道差強人意之外，重點是服務。上菜不附基本餐具。碗，杯子都是我們自己去拿的。座位的配置也不好，坐起來感覺很擠。"""
8,阿忠活海鮮生猛現撈,2017/05/17,4,"""料理不錯"""
9,阿忠活海鮮生猛現撈,2017/05/17,2,"""味道還可以，價位稍貴，份量少了點！"""
10,阿忠活海鮮生猛現撈,2017/05/17,5,""" 大，，"""
11,阿忠活海鮮生猛現撈,2017/05/17,3,"""大部分的食物都還算不錯，但炒豬肝口味偏甜，而且口感過於軟爛。"""
12,阿忠活海鮮生猛現撈,2017/05/17,5,"""服務很熱情 小菜也不賴 適合聚餐小酌"""
13,阿忠活海鮮生猛現撈,2017/05/17,3,"""快炒普通平價"""
14,阿忠活海鮮生猛現撈,2017/05/17,1,"""菜味道一般，但客人一直室內抽煙無人制止，空氣極差。"""
15,阿忠活海鮮生猛現撈,2017/05/17,4,"""這間蠻推的!熱炒好吃!"""
16,阿忠活海鮮生猛現撈,2017/05/17,4,"""平價，好吃！"""
17,阿忠活海鮮生猛現撈,2017/05/17,5,"""口味不錯，價格平實，是個喝酒聚餐的好地點。"""
18,阿忠活海鮮生猛現撈,2017/05/17,4,"""買宵夜選擇"""
19,阿忠活海鮮生猛現撈,2017/05/17,3,"""一般般 不是很喜歡 """
20,阿忠活海鮮生猛現撈,2017/05/17,4,"""輕鬆自在氛圍"""
21,阿忠活海鮮生猛現撈,2018/05/17,1,"""廚師邊炒菜邊抽菸，衛生習慣超好"""
22,阿忠活海鮮生猛現撈,2018/05/17,3,"""平價"""
23,阿忠活海鮮生猛現撈,2018/05/17,4,"""雖然價位偏高但餐點口味都蠻有水準 蒜泥白肉、龍珠花生、麻油川七都超好吃 生魚片量太少好險口感不錯"""
24,阿忠活海鮮生猛現撈,2018/05/17,1,"""菜色普通，刀工切不好，剁椒魚完全不及格"""
25,阿忠活海鮮生猛現撈,2018/05/17,4,"""好口味！不死鹹！環境清爽舒適！服務週到！"""
26,阿忠活海鮮生猛現撈,2018/05/17,2,"""只能適合來喝酒"""
27,阿忠活海鮮生猛現撈,2018/05/17,4,"""東西好吃，老闆很熱情。"""
28,阿忠活海鮮生猛現撈,2018/05/17,4,"""下班後朋友餐聚的好去處"""
29,阿忠活海鮮生猛現撈,2018/05/17,4,"""店家親切"""
30,阿忠活海鮮生猛現撈,2018/05/17,3,"""東西很新鮮"""
31,阿忠活海鮮生猛現撈,2018/05/17,5,""" 聚餐的好地方,物超所值，，"""
32,阿忠活海鮮生猛現撈,2018/05/17,4,""" 老店, 喝酒聊天的好地方，，"""
33,阿忠活海鮮生猛現撈,2018/05/17,4,"""口味不錯的熱炒店，也不會一直來酒促"""
34,阿忠活海鮮生猛現撈,2018/05/17,5,""" 物美價廉，不錯不錯！，，"""
35,阿忠活海鮮生猛現撈,2018/05/17,5,"""標準水準快炒  遇到酒促不錯"""
36,阿忠活海鮮生猛現撈,2018/05/17,4,"""新鮮好吃價格合理"""
37,阿忠活海鮮生猛現撈,2019/05/17,5,"""好吃，料多實在，價錢也合理"""
38,阿忠活海鮮生猛現撈,2019/05/17,3,"""平價式熱炒"""
39,阿忠活海鮮生猛現撈,2019/05/17,4,"""平價，口味一般般"""
40,阿忠活海鮮生猛現撈,2019/05/17,4,""" 非常繁忙，即使被告知只有20分鐘的等待時間，也可以等待40分鐘。雖然真的很好吃和美味的食物。龍球不建議取出，外殼太潮濕。糖醋熱捲心菜真是百勝，但很熱。會再回去嘗試下次吃飯。，，"""
41,阿忠活海鮮生猛現撈,2019/05/17,4,"""就是個熱炒店，食物至少不難吃，飯可以一直添很棒。"""
42,阿忠活海鮮生猛現撈,2019/05/17,5,"""平價新鮮好吃"""
43,阿忠活海鮮生猛現撈,2019/05/17,4,"""美味可口，聚餐首選"""
44,阿忠活海鮮生猛現撈,2019/05/17,4,""" 份量十足，，"""
45,阿忠活海鮮生猛現撈,2019/05/17,3,"""家門口，三不五時，三三倆倆，朋友熱炒招待所"""
46,阿忠活海鮮生猛現撈,2019/05/17,4,"""炒豬肝有先炸再煎，口感不錯。炒青菜份量多！"""
47,阿忠活海鮮生猛現撈,2019/05/17,4,"""不錯"""
48,阿忠活海鮮生猛現撈,2019/05/17,5,""" 菜好吃 菜很多，，"""
49,阿忠活海鮮生猛現撈,2019/05/17,4,""" 好吃。，，"""
50,阿忠活海鮮生猛現撈,2019/05/17,2,""" 尚可，，"""
51,阿忠活海鮮生猛現撈,2019/05/17,3,"""整體有點鹹"""
52,阿忠活海鮮生猛現撈,2019/05/17,2,"""烹調手法普通，應變能力薄弱…場地有些“簡陋”，但是價格也不算太親民！"""
53,阿忠活海鮮生猛現撈,2019/05/17,5,"""食材新鮮 價格合理"""
54,阿忠活海鮮生猛現撈,2019/05/17,4,"""乾淨  好吃"""
55,阿忠活海鮮生猛現撈,2019/05/17,5,"""物美價廉，三杯雞上場"""
56,阿忠活海鮮生猛現撈,2019/05/17,3,"""蠻不錯吃的"""
57,阿忠活海鮮生猛現撈,2019/05/17,5,"""CP值非常高的一家海鮮快炒店！味道美味、價錢合理！"""
58,阿忠活海鮮生猛現撈,2019/05/17,3,"""量不多  味道還可以"""
59,阿忠活海鮮生猛現撈,2019/05/17,5,""" 好啊，，"""
60,阿忠活海鮮生猛現撈,2019/06/17,5,"""好吃的快炒店，師傅煎魚技術非常棒，適合家庭聚會，乾煎馬頭魚真的超好吃!"""
61,阿忠活海鮮生猛現撈,2019/06/17,5,""" 好吃，，"""
62,阿忠活海鮮生猛現撈,2019/06/17,3,"""口味還行，份量偏少。"""
63,阿忠活海鮮生猛現撈,2019/07/17,5,"""菜色多樣，價格合宜，重點非常好吃。。。"""
64,阿忠活海鮮生猛現撈,2019/08/17,4,""" 好吃便宜，但人手不足！出菜也太慢了，，"""
65,阿忠活海鮮生猛現撈,2019/08/17,5,""" 好吃，，"""
66,阿忠活海鮮生猛現撈,2019/09/17,4,"""東西好吃"""
67,阿忠活海鮮生猛現撈,2019/09/17,5,""" 便宜好吃，，"""
68,阿忠活海鮮生猛現撈,2019/09/17,2,"""可能大環境的關係叫了6道菜 有兩三道要改進"""
69,阿忠活海鮮生猛現撈,2019/09/17,2,""" 菜色平平，，"""
70,阿忠活海鮮生猛現撈,2019/09/17,3,"""表現平平的熱炒店，附近選擇太多，有機會再來嘗試"""
71,阿忠活海鮮生猛現撈,2019/09/17,3,"""九點去時已經很多菜都沒有了。"""
72,阿忠活海鮮生猛現撈,2019/10/17,4,"""店員不親切但有問必答，環境乾淨樸實，適合聚餐，餐點很不錯，海鮮乾淨，處理很好，推薦椒鹽海鮮系列、清炒蔬菜與魚肉味増湯"""
73,阿忠活海鮮生猛現撈,2019/12/17,3,"""口味尚可，不會特別再來，滑蛋蝦仁有青椒，覺得很不搭"""
74,阿忠活海鮮生猛現撈,2019/12/17,3,"""聚餐的地方，橙汁排骨的橙醬很特別"""
75,阿忠活海鮮生猛現撈,2019/12/17,5,"""東西好吃+價位得宜+老闆人不錯熱心+周末常常要排隊因為好吃"""
76,阿忠活海鮮生猛現撈,2019/12/17,5,"""雖然是是熱炒店但很適合50到80人的春酒尾牙場地。連小型舞台都有，店家配合度相當高，老闆手藝非常好，每道菜色都非常的好吃，工作人員的服務親切而且靈活，價格上來說非常的親民，而且可以依照自己的預算調整菜單，建議６０００起跳，會吃的非常的開心。此外少人數聚餐也很適合。不論是平常下班同事小喝一杯，或是有朋友來訪時，聚會的好去處。"""
77,阿忠活海鮮生猛現撈,2020/02/17,4,"""喜歡"""
78,阿忠活海鮮生猛現撈,2020/03/17,5,"""菜色多而且都在水準以上"""
79,阿忠活海鮮生猛現撈,2020/03/17,4,"""服務態度佳，東西好吃。"""
80,阿忠活海鮮生猛現撈,2020/03/17,5,""" 朋友聚餐的好所在！，，"""
81,阿忠活海鮮生猛現撈,2020/05/03,1,"""今天第一次來吃，點的菜大部分都不合口味，菜都沒有入味，最難吃就鐵板豆腐。出菜速度有點慢。 結帳要親自看一下較好，店家忙碌會不小心算錯。"""
