id,date,star,text
1,2018/05/09,4,"""口味不錯，物有所值，只是人多時要等很久。"""
2,2019/08/09,5,"""好吃便宜，食材新鮮，現在搬到萬華萬大路11號了，味道一樣美味ㄦ，老闆，闆娘親切ㄦ👍"""
3,2019/08/09,5,"""東西好吃，態度很好，❤️"""
4,2019/09/09,2,"""蚵仔不夠新鮮，小卷太硬，菜單無單價，結帳很嚇人"""
5,2019/09/09,5,""" 好吃，，"""
6,2019/09/09,5,"""新鮮好吃😋"""
7,2019/09/09,5,"""各式海鮮都很新鮮 又很好吃😋"""
8,2019/09/09,5,"""菜色好吃~老闆親切態度好"""
9,2019/09/09,5,"""口味不錯，老闆娘親切"""
10,2019/09/09,5,""" 好吃……，，"""
11,2019/09/09,5,""" 好吃好吃好吃，，"""
12,2019/09/09,5,"""強推土雞肉切盤～多樣海鮮料理CP直都不錯，老闆親切👍"""
13,2019/09/09,5,"""新鮮，好吃😋擺在保溫檯裡的雞肉軟Q好吃"""
14,2019/09/09,5,""" 好吃好吃好吃👍，，"""
15,2019/09/09,5,"""蝦子新鮮，份量都蠻多的，麵已經吃了一半了，還有海菜很好吃，新開的店面乾淨，蠻常客滿的"""
16,2019/09/09,1,"""外帶炒飯和炒麵，等了30分鐘還沒好⋯應該是忘了我的單⋯"""
17,2019/11/09,5,"""東西好吃又新鮮！"""
18,2019/12/09,4,"""價位OK海鮮新鮮座位普通"""
19,2019/12/09,4,""" 食材是新鮮的。許多不同的魚類和貝類。這家商店很小，有6張桌子。，，"""
20,2019/12/09,5,"""菜很新鮮也很好吃，待客也很輕切"""
21,2019/12/09,5,"""菜色新鮮 口味調配很合大眾口味 海鮮的料理也很鮮 價格一般 好吃"""
22,2020/01/09,5,""" 好吃，，"""
23,2020/03/09,4,"""師傅快炒功力一流，價格實在pc值頗高值得來此一嚐！"""
24,2020/03/09,4,"""好吃，價格實在，就是有時候要等上菜！"""
25,2020/05/09,5,"""好吃又新鮮！強推的熱炒店！"""
