id,date,star,text
1,2014/05/09,1,"""有夠差勁的，今天來了兩桌，菜送錯我們也吃錯都沒關係，但是跟他反映之後，好像怪回來我們身上，還好是豬肉不是牛肉吃錯，結果現在等了半個小時菜都不上來，跟他反映說廚房很忙，出菜也要看先後吧！結果我們一個大圓桌一個菜都沒有，都不知道再吃什麼，聚餐都有點火。服務態度真的很差！不給分，一個半小時10樣菜還沒出完。好爛"""
2,2016/05/09,1,"""食材口味都不好，不推薦"""
3,2016/05/09,4,"""覺得還不錯吃啦！"""
4,2016/05/09,4,"""還不錯"""
5,2017/05/09,4,"""西門地區不錯的平價快炒。"""
6,2017/05/09,4,"""讚"""
7,2017/05/09,4,"""很讚"""
8,2017/05/09,4,"""西門町熱炒菜最好吃的一家，冬天推的羊肉爐不錯，閹雞特別好吃，會再光顧"""
9,2017/05/09,5,"""全西門最好吃的熱炒。真心不騙"""
10,2017/05/09,4,""" 聚餐好地方，，"""
11,2017/05/09,4,""" 聚餐好地方。，，"""
12,2017/05/09,3,""" 西門町的一家小餐館裡的炸雞比較安靜，顧客不是那麼傻。，，日語和英語都不能通信，但有些菜單附有照片，因此您可以使用它們進行訂購。，，這是一個讓您感到舒適的家常服務。，，我認為炸雞的食物味道是平均的。，，"""
13,2017/05/09,4,"""菜色很多的選擇性"""
14,2017/05/09,5,""" 好地方，，"""
15,2017/05/09,1,"""蛤蜊、蝦仁、蚵仔全都跟蝦米一樣小，人不多上菜也慢的要死，等了半小時菜還上不到一半。再三強調要加辣結果還是沒加，實在很誇張。"""
16,2017/05/09,5,"""平價海鮮，蠻划算"""
17,2017/05/09,3,"""平價"""
18,2017/05/09,5,""" 它非常美味，非常適合韓國人的口味。，工作人員不擅長韓語或英語，但很善良。我印象深刻，我試圖溝通和聽取應用程序。 ㅠㅠ♥️，我在4晚的台灣之旅中度過了2天，真是太好吃了。 ㅋㅋ如果你住在這個地方附近，請停下來!!!，，"""
19,2017/05/09,4,"""價格合理，口味大眾化，適合簡單聚會。"""
20,2017/05/09,3,""" 普普通通 也不便宜，，"""
21,2017/05/09,4,"""西門町深夜熱炒推薦"""
22,2017/05/09,4,"""菜都料好實在"""
23,2017/05/09,1,"""因為信箱有他們的傳單才去的，但傳單資訊不清楚，到了才知道那張傳單上的菜單是午餐才能點。午餐跟晚餐有不同的菜單，但同樣名字的菜，每道多二十元以上。，另外滑蛋蝦仁的蝦仁，是我到目前為止吃過最小的蝦仁，十分印象深刻，每尾約0.5~1公分左右。，與父親吃過一餐後的感想是，一樣的消費金額下，絕對不會在去光顧。"""
24,2017/05/09,4,"""口味好，價格公道，海產新鮮，便餐、聚餐、朋友聚會、喝個2杯，第一選擇。"""
25,2018/05/09,1,""" 換老闆之後爛到爆，菜難吃，漲價等等，，"""
26,2018/05/09,3,"""快炒店菜色齊全，地點便利離西門站不遠。"""
27,2018/05/09,5,"""價錢實在老闆又好"""
28,2018/05/09,5,"""東西好吃，新鮮。"""
29,2018/05/09,4,"""新鮮!"""
30,2018/05/09,1,"""我不喜歡"""
31,2018/05/09,1,"""價格貴菜又鹹，出餐很慢。"""
32,2018/05/09,4,"""出菜快，口味又好，很適合喝酒聊天"""
33,2018/05/09,5,"""聚會好地方"""
34,2018/05/09,1,"""食材份量不足價位高"""
35,2018/05/09,5,"""超讚，我爸認識這邊的老闆，他說這位老闆都是自己親自去捕魚，所以非常能肯定的是，這家店的海鮮名符其實的新鮮。"""
36,2018/05/09,1,"""可能是換老闆的關係，居然點來的菜又鹹又超少，難怪二樓非常冷清，差評！"""
37,2018/05/09,1,"""又貴又少又沒裝潢，不如去附近吃到飽"""
38,2018/05/09,4,"""味道略重，還蠻下飯的XD"""
39,2018/05/09,1,"""我們現點的魚跟上桌的魚有很明顯的出路 ，小卷也很難吃 ，沒一樣好吃 ！"""
40,2018/05/09,4,"""餐飲口味還不錯"""
41,2018/05/09,4,""" 好吃又便宜，，"""
42,2018/05/09,4,"""平價又實惠"""
43,2018/05/09,5,"""上菜快，服務親切"""
