id,date,star,text
1,2017/05/12,5,"""低調的熱炒店，老闆火候掌握一流～炒飯的美味不輸鼎泰豐，整體菜色都非常美味"""
2,2017/05/12,5,"""平價快炒，羊肉爐更是一絕，真心推薦"""
3,2017/05/12,4,""" 好吃，，"""
4,2017/05/12,5,"""在地居民大推，炒麵、蛤蜊都好吃"""
5,2017/05/12,5,"""好吃出餐快食材新鮮"""
6,2018/05/12,4,"""出菜速度快 又好吃 評價"""
7,2018/05/12,5,"""好吃，價位還行！人潮絡繹不絕"""
8,2018/05/12,4,"""不錯吃"""
9,2018/05/12,5,"""服務優"""
10,2018/05/12,2,"""隔壁的岡山比較好吃"""
11,2018/05/12,5,""" 好吃又便宜，，"""
12,2018/05/12,4,"""好吃的熱炒店!! 價格尚可，環境普通，菜色選擇略少，推薦菜：蛋類、炒飯"""
13,2018/05/12,4,"""油雞大推 辣豆瓣不錯 羊肉爐湯很棒 很清甜，會吸不少二手菸"""
14,2018/05/12,5,"""萬華喝小酒的秘密基地，不多說了，免得大家都來"""
15,2019/05/12,4,"""東西好吃又便宜，老闆，師父，員工都很親切。每星期固定都會去1，2次。"""
16,2019/05/12,4,"""服務親切，東西又好吃"""
17,2019/05/12,4,"""很熱鬧"""
18,2019/05/12,5,"""小酌100分的店    愛犬最喜歡去"""
19,2019/05/12,5,"""我們在地人，常和好友吃吃喝喝酒的熱炒店，每個菜色都好吃，冬天必點紅燒羊肉爐喔~"""
20,2019/05/12,5,"""好友小聚的好地方，想吃熱炒，口味好"""
21,2019/05/12,4,"""老闆親切，平價味美，小酌好地方"""
22,2019/05/12,4,"""口味還不錯"""
23,2019/05/12,5,""" 在地老店，就是好吃。，，"""
24,2019/05/12,4,"""親民的價格，好吃的食物，大推服務態度"""
25,2019/05/12,3,"""炒飯很好吃、香氣十足，但非常油，鹹酥田雞及炒螺肉普通且偏鹹，上菜快速，價位與一般熱炒、快炒店差不多。"""
26,2019/05/12,4,""" 好吃又美味道地古早味，，"""
27,2019/05/12,3,"""老店自有生存下來的口碑"""
28,2019/05/12,5,"""平價，更重要的是味道好，道地台菜風味，數十年老店生意興隆，足證口碑在外。老闆出菜速度快，是正格快妙店。"""
29,2019/05/12,5,"""還不錯"""
30,2019/06/12,5,"""動作快速，乾淨俐落"""
31,2019/06/12,4,"""味道不錯！"""
32,2019/07/12,5,"""沒有雷"""
33,2019/07/12,5,"""食材新鮮，老闆動作很快，價錢平民。"""
34,2019/07/12,4,"""不錯的熱炒店"""
35,2019/07/12,3,"""上菜速度蠻快的～"""
36,2019/07/12,4,"""店家滿熱情 店內生意不錯 油雞肉質Q彈 份量也滿大的 一個人很難嗑完 價錢小貴  炒麵味道整體不錯，對重口味的人有些偏淡 供參考~"""
37,2019/08/12,4,"""廚師。手腳很快。"""
38,2019/09/12,4,"""用餐環境簡陋衛生堪慮。不過菜色口味還不錯，食材感覺也還蠻乾淨的。就是用餐環境跟餐具器皿應該要再加強。"""
39,2019/09/12,5,""" 很好，，"""
40,2019/10/12,5,"""好吃，羊肉爐好好吃，專程台中來吃"""
41,2019/10/12,5,"""超好吃！沒吃過這麼好吃的快炒，大推！，特地從台中來吃👍"""
42,2019/10/12,5,"""東西好吃，價格便宜"""
43,2019/11/12,4,"""萬華快炒店算好吃的，服務又好，可惜休星期日"""
44,2019/11/12,2,"""環境稍差，菜色普通。"""
45,2019/12/12,4,"""上菜速度快，熱炒的功力不錯，都有炒出食材的香味，尤其是煎蛋類，有把蛋香煎出來，非常好吃，鹹蛋筍子也很推，鹹蛋很扒在筍子上，筍子也非常鮮嫩，如果不看環境的話，會是一間非常推的店！"""
46,2019/12/12,5,"""鹹酥中卷必點"""
47,2019/12/12,5,"""謝謝老闆與老闆娘體諒，讓在打烊前的我們飽餐一頓，謝謝您，九層塔炒蛋量多味美。"""
48,2019/12/12,4,"""炒的功力還不錯，很適合下班喝一杯的地方，我最愛吃的就是蚵仔炒麵了!!，炒飯也做得很香"""
49,2019/12/12,4,"""口味不錯，上菜快，三五小酌的地方"""
50,2019/12/12,5,"""好吃，味道好！上菜速度快，大推鹽酥花枝這道菜，非常下飯，環境稍微不是這麼好，但味道很棒👍🏻"""
51,2020/02/12,4,"""東西好吃，價錢偏貴"""
52,2020/02/12,5,"""羊肉爐好吃，老闆熱炒手藝超讚"""
53,2020/02/12,4,"""料多實在"""
