id,date,star,text
1,2019/05/12,5,"""菜都超好吃😋，白斬雞必點❤️，酸菜白肉鍋👍，沒有雷的餐點，大推👍👍👍"""
2,2019/05/12,5,"""有三四張大桌，適合多人聚餐~肉要先預定。宮保魷魚、豆酥魚都好吃，酸菜白肉鍋是招牌，很多人點。"""
3,2019/05/12,4,"""不錯吃，請客吃飯的好所在"""
4,2019/05/12,5,""" 美味的台灣菜！有一個菜單上有食物的圖片。原來的豆腐菜很棒。非常推薦！，，"""
5,2019/05/12,4,"""魚香蛋好好吃"""
6,2019/05/12,4,"""海鮮新鮮，價格平實，白斬雞、蹄髈好吃😋"""
7,2019/05/12,4,"""味道很不錯。"""
8,2019/05/12,4,"""谷歌上隨便找到的熱炒店，35年老店家常味一點也不隨便，值得再去!"""
9,2019/05/12,5,"""太神啦 好吃，對於美食絕望的西門，但青菜牛肉還好😂"""
10,2019/05/12,5,"""經典台菜"""
11,2019/05/12,5,"""環境👍舒適，在巷內卻連平日都會客滿 🤭🤭🤭，很推 🌟魚香烘蛋，是四川料理～～很香！"""
12,2019/05/12,4,"""青菜調味剛好 但份量偏少，糖醋排骨好吃，整體味道有點油，服務很親切 有供應熱茶"""
13,2019/05/12,5,"""便宜好吃又大碗，店面比較早關，大概9:00就收的差不多了，適合一般正餐時間約莫7點左右前往，去之前最好訂位一下。，，沒什麼可以特別推薦，因為目前吃過多次沒被雷過。"""
14,2019/05/12,5,""" 超好吃～，，"""
15,2019/05/12,4,"""炒飯很古早味 炒麵火候控制的很好 比延三的炒麵專家好吃 當季的炒桂竹筍也入味 整體是偏台式炒法 好吃"""
16,2019/05/12,5,""" 推推👍🏻，，"""
17,2019/05/12,5,"""朋友推薦～評價好吃👍🏻👍🏻，白斬雞超嫩很好吃，炒飯也好吃"""
18,2019/05/12,5,"""在西門就能吃到好吃的川菜/台菜，真的是豪棒棒👍🏻豪好粗😋，土雞/蟹黃豆腐/酥炸魷魚想到就🤤，也很適合聚餐吃飯小酌～超！級！推！"""
19,2019/05/12,5,"""好吃 乾淨 價廉物美"""
20,2019/05/12,5,""" 來台灣時，您不能錯過這家餐廳：，1.非常美味的食物，適合所有人。特別實惠，2.餐廳老闆非常友好和有趣，3.涼爽，乾淨的餐廳，，"""
21,2019/05/12,4,"""白斬雞好吃"""
22,2019/05/12,3,"""環境口味還不錯，不過服務一般般，如果要長坐長聊不建議，因為還沒吃完就會開始收東西了"""
23,2019/05/12,5,"""服務熱心，價格親切"""
24,2019/05/12,4,""" 隱藏在小巷中。體面的食物。便宜友善的服務。沒有英文或圖片菜單。，，"""
25,2019/05/12,5,"""東西都蠻好吃的沒有點到雷菜"""
26,2019/06/12,3,"""有時候真的不要太相信網路評價!!，個人認為偏油，也偏貴"""
27,2019/06/12,5,"""google建議的 真的本抱住試一下的心態來 沒想到東西很好吃 不油膩又新鮮 店主還很好人介紹菜式給我們"""
28,2019/06/12,5,"""熱炒不錯 味道很好 價格也不貴"""
29,2019/06/12,5,"""食物非常好吃 服務態度良好 價格平易近人 是個吃飯的好地方"""
30,2019/06/12,5,"""平價美味，道道可口，服務也很親切！超推土雞、五更腸䏕、酥炸中捲、乾扁四季豆～～"""
31,2019/06/12,4,"""上菜快，適合聚餐需提前預約"""
32,2019/06/12,4,""" 家常菜都很好吃，，"""
