id,name,date,star,text
1,海鮮快炒阿財,2017/05/12,2,"""炒飯炒麵沒什麼味道．"""
2,海鮮快炒阿財,2017/05/12,1,"""炒麵很好吃，但是吃到第二隻蟑螂，決定判他出局，終身禁賽"""
3,海鮮快炒阿財,2019/05/12,5,"""俗閣大碗 誠好食 阿財頭家緣投!"""
4,海鮮快炒阿財,2019/05/12,4,"""東西好吃也便宜～選擇多一點會更好。"""
5,海鮮快炒阿財,2019/05/12,3,""" 尚可，，"""
6,海鮮快炒阿財,2019/05/12,4,"""台灣鄉土料理、絕對物超所值！平民價格、吃飽又吃好。"""
7,海鮮快炒阿財,2019/05/12,3,"""便宜大碗 味道不錯!喜歡他的炒飯炒麵，不過他的湯我喝起來覺得有點淡 !"""
8,海鮮快炒阿財,2019/05/12,3,"""只能說好吃又便宜"""
9,海鮮快炒阿財,2019/05/12,4,"""一、什錦炒麵/炒米粉、炒菠菜不錯，以價格、品質、份量而言，物有所值。，1.什錦炒麵：麵條是油麵，炒得不會太軟，口感還不錯，配料有花枝、小蝦仁、肉絲、貢丸、蛤仔、雞胗、鳥蛋、白菜、紅蘿蔔絲、青蔥，蛤仔肉飽滿不錯，肉絲稍柴，其他配料都有到位，不油不過鹹，加少許沙茶，味道不錯。，2.什錦炒飯：飯粒口感可以，配料有肉片、蝦仁、花枝、火腿、玉米、紅蘿蔔絲、蔥花，調味上微甜。 …"""
10,海鮮快炒阿財,2019/05/12,4,"""什錦麵可以，就是牆面斑駁掉漆，顯得有些陰森瘆人。不會久待，外帶或者快快吃完走人，一刻都不想停。"""
11,海鮮快炒阿財,2019/05/12,3,"""已漲價很多了"""
12,海鮮快炒阿財,2019/06/12,5,"""物美價廉"""
13,海鮮快炒阿財,2019/08/12,5,"""老闆做人很親切"""
14,海鮮快炒阿財,2019/09/12,4,""" 便宜大碗，，"""
15,海鮮快炒阿財,2019/10/12,3,"""還可以，動作很快，交代不要蔥，沒有忘記。，炒飯OK，只是有時飯太軟。，什錦湯麵不推荐，湯不像什錦湯，只像一般的湯麵的湯。"""
