id,date,star,text
1,2017/05/09,4,"""牛肉麵130,有點裝潢的店"""
2,2017/05/09,5,"""CP值很高，服務員親切，麵好吃，還可以加湯"""
3,2017/05/09,5,""" 好吃，，"""
4,2017/05/09,5,""" 好食物，，"""
5,2017/05/09,4,"""服務生態度不錯~"""
6,2017/05/09,1,"""進來半天沒人招呼 服務生也把我們當透明人"""
7,2017/05/09,4,"""價位、口味普通，用餐環境及廚房乾淨，裝潢漂亮。"""
8,2017/05/09,5,"""紅燒有特殊花椒香，超讚！"""
9,2017/05/09,3,"""囗味不錯，物超值。"""
10,2017/05/09,3,"""滿漢牛肉麵，肉太少，不太符合一碗180元的價格。"""
11,2017/05/09,2,"""打折還可以吃，完全沒有服務可言的店"""
12,2017/05/09,2,""" 就這樣。，，"""
13,2017/05/09,4,"""好口味的中式料理餐廳~滿漢紅燒牛肉麵與整隻水蟹粥大推~營業到晚間12點~"""
14,2017/05/09,5,"""好吃，小菜切工特別，宵夜的好去處。"""
15,2017/05/09,5,""" 這非常好吃。，，"""
16,2017/05/09,4,"""喝了清燉跟紅燒，清燉湯頭比較對味，點的牛小排麵是半生牛肉片，吃起來比較嫩，但總覺的好像少了點，正常的牛肉麵則肉量比較正常，小菜部分海帶很入味"""
17,2017/05/09,4,"""店開到很晚~很方便~"""
18,2017/05/09,4,""" 好吃，，"""
19,2017/05/09,3,"""湯頭清爽不油膩，鹹淡適中。滿漢的肉希望能多一些"""
20,2017/05/09,4,"""牛肉麵便宜又大碗好吃"""
21,2017/05/09,2,"""跟店名一樣的泡麵差不多味道"""
22,2017/05/09,3,"""水蟹粥+蝦餅。，粥好吃，蝦餅沒逼油，太膩不優。"""
23,2017/05/09,5,"""便宜 牛小排麵肉質好"""
24,2017/05/09,1,"""進來坐了五分鐘都沒人鳥，老闆說了等一下後就放生我們，有其他客人湯太辣有問題老闆處理超兇還一直數落客人，服務超差，連要點餐都點不了，直接起身走人"""
25,2017/05/09,4,"""好吃不貴"""
26,2017/05/09,5,"""紅燒牛肉麵不錯"""
27,2017/05/09,1,"""小菜還行，麵類不好吃，服務態度不佳。"""
28,2017/05/09,2,"""普普，清燉湯頭過於平淡，細麵口感一般"""
29,2017/05/09,3,""" 好吃，，"""
30,2018/05/09,3,"""肉有點硬"""
31,2018/05/09,4,"""還不錯吃"""
32,2018/05/09,2,"""單價太貴，除非有特價"""
33,2018/05/09,4,"""口味特殊老闆又是有名刺青師"""
34,2018/05/09,4,""" 只是因為我中午去，所以很擁擠。，牛肉麵不像我預期的那樣好，但是其他菜都很好吃。，商店的內部也很豪華。，，"""
35,2018/05/09,4,""" 服務很有禮貌，照片牛肉麵湯太淡了了份量的話還好！，，"""
36,2018/05/09,1,"""一顆星都不想給超級難吃，帶著香港人朋友去真心覺得丟臉，麵沒有彈性感覺就在吃泡麵，湯有奇怪的中藥味，扯的是海帶 連海帶都沒有洗乾淨，苦的跟什麼一樣 我點的是海帶不是黃連，點完餐送餐錯誤，我問不能查詢嗎？，回答是 都擦掉了 ，搞得好像是我們的錯一樣 臉臭到爆"""
37,2018/05/09,5,"""很不錯的！！！"""
38,2018/05/09,4,""" 如果您在西門町有住宿，一定要去。 ^^〜，，"""
39,2018/05/09,5,"""CP值超高的牛肉麵店，不吃可惜"""
40,2018/05/09,1,""" 2017/11/10 00:30 ADQ-9302 警察來驅趕附近酒吧離場的客人，因覺得客人在那邊聊天會吵到樓上用戶，但其聊天音量非常之小，警察卻故意擺臭臉與店家、客人叫他們滾開，隨後又前往牛肉麵店與店員在店門口開心聊天，音量卻與剛剛故意趕走的客人還大聲，不隻隻想利用自己的警察身分還大聲幹擾樓上住戶。，，"""
41,2018/05/09,3,"""味道尚可，價格適中"""
42,2018/05/09,3,""" 湯頭和肉分開料理，可惜了。有特價時不妨吃吃看。，，"""
43,2018/05/09,5,"""料實在"""
44,2018/05/09,1,"""酸菜有怪味，不乾淨"""
45,2018/05/09,3,"""五花肉飯不錯吃"""
46,2018/05/09,5,"""點了滿漢和酸辣湯餃，滿漢麵220 肉確實有些少，酸辣湯餃的湯跟一般的味道不太一樣，但也不錯喝，，另上菜有點慢 但餐點不錯吃"""
47,2018/05/09,3,""" 它直到很晚才開放，並且有許多當地人。也有日本的菜單，並且能夠有信心地訂購。，烹飪是美味的，因為飲料從冰箱裡取出並宣布，不提供眼鏡。可能，我想知道我能否這樣說。，，"""
48,2018/05/09,5,""" 好味，，"""
49,2018/05/09,3,""" 尼斯可能會再來，，"""
50,2018/05/09,5,"""環境不錯，牛肉麵水餃都蠻好吃的！"""
51,2018/05/09,2,"""東西不錯吃，但出餐速度非常慢"""
52,2018/05/09,4,"""東西好吃，價格平易近人，cp值高"""
53,2018/05/09,5,""" Omg這個地方供應豐盛的菜餚！他們的餃子非常好，多汁。以湯為基礎的菜餚也很棒。這家餐廳乾淨而且不那麼擁擠。如果您在西門附近，強烈推薦這個地方。，，這是我在台灣旅行期間聽到的其中一家餐廳。湯很棒。餃子多汁潮濕。蝦炒飯也是正宗的。強烈推薦:)，，"""
54,2018/05/09,4,""" 牛肉麵160元，不錯吃，冷氣舒適。裝潢是傳統中國風，滿漂亮。跑堂一位年輕人的手臂上有刺青圖案。，，"""
55,2018/05/09,5,""" 我這樣做到深夜，商店很容易進入，菜單是用日語寫的，所以很容易理解。味道和價格都令人滿意。一個職員害怕所有的紋身，但一個招牌女孩很可愛，穿一件衣服給顧客。我對偶像的臉很驚訝！ ！這個故事只是這個女孩會治愈女兒的故事。，，"""
56,2019/05/09,4,""" 好吃，，"""
57,2019/05/09,4,"""價格不貴，味道不錯。 推介吃蟹粥。"""
58,2019/05/09,5,""" 好吃，，"""
59,2019/05/09,1,"""很久之前去吃老闆態度有夠差,難道是買團購卷的原因嗎!?"""
60,2019/05/09,4,"""牛肉麵還不錯，優惠價格可接受，原價就會再考慮"""
61,2019/05/09,3,""" 不貴，好食，地方太少，飲品太小，，"""
62,2019/05/09,5,"""服務人員親切，餐點美味"""
63,2019/05/09,5,""" 服務很好。牛肉麵很好。，，"""
64,2019/05/09,1,"""炒飯180？ 好吧 精華地帶"""
65,2019/05/09,5,"""宮廷風裝潢！環境舒適，餐點美味價位卻便宜！好適合聚餐😊"""
66,2019/05/09,5,""" 非常好吃，，"""
67,2019/05/09,5,""" 好好吃的牛肉麵。湯很香，，"""
68,2019/05/09,5,"""麻辣牛肉麵 推薦 好吃"""
69,2019/05/09,5,"""餐點讚哦~"""
70,2019/05/09,5,""" 湯頭濃鬱 牛肉好吃，，"""
71,2019/05/09,5,""" 好味👍🏻，，"""
72,2019/05/09,5,""" 很好吃，，"""
73,2019/05/09,5,""" 地方乾淨，價格優惠，服務好。，，"""
74,2019/05/09,4,""" 肉原味好吃又好吃，餃子與其他商店不同，感覺有公平的彈性和鮮味，，"""
75,2019/05/09,3,""" 請注意，白天從14:00開始。，我不能用日語交流，但菜單是日語。，，麻辣的菜單真的很痛苦！弱者更容易被撕裂。，牛肉系列是相當不錯的肉。它柔軟可口。，，"""
76,2019/05/09,5,"""滿漢全餐超好吃"""
77,2019/05/09,5,""" 好好食，，"""
78,2019/05/09,5,"""牛肉麵及炒飯很好吃"""
79,2019/05/09,5,"""牛肉麵真棒"""
80,2019/05/09,5,"""肉燥飯真好吃"""
81,2019/05/09,5,""" 好，，"""
82,2019/05/09,5,""" 這裡的牛肉麵很好吃湯koiku和麵條都很好！ ️，，"""
83,2019/05/09,5,"""好吃，值得再來"""
84,2019/05/09,4,""" 再等一會兒......雖然催淚氣很好，，"""
85,2019/05/09,5,"""好吃的特價牛肉麵只要89元，裝潢古色古香有冷氣可吹，店員有美女帥哥介紹好吃的牛肉麵.水餃👍贊哦"""
86,2019/05/09,5,""" 好吃，，"""
87,2019/05/09,5,""" 環境好餐點也好吃😋，，"""
88,2019/05/09,5,"""非常十分極之好好好好好好好好好好好好好好好好好好"""
89,2019/05/09,5,""" 好食，，"""
90,2019/05/09,5,""" 還不錯哦，，"""
91,2019/05/09,4,""" 美味的食物，良好的服務和空調。，，"""
92,2019/05/09,2,"""普普湯頭，雞粉味精多，肉軟爛到給沒牙齒的人吃（肉很少不應該高價格），想要口感的別去，特色在宮廷風擺飾而已（非裝潢一堆人說錯）"""
93,2019/05/09,1,"""湯牛肉湯太淡"""
94,2019/05/09,5,""" 好吃，，"""
95,2019/05/09,5,"""牛肉麵跟水餃都好吃❤️"""
96,2019/05/09,5,"""牛肉麵好吃CP值又超高  用餐環境也棒 老闆熱情老闆娘超美的  是值得大推的好餐廳哦"""
97,2019/05/09,5,"""水蟹粥⋯吃吃吃"""
98,2019/05/09,5,"""來吃牛肉滿漢全席～"""
99,2019/05/09,5,"""餐廳氣氛很好，在台北價格也合理"""
100,2019/05/09,4,"""中式餐館，服務蠻親切，番茄牛肉麵很有味道，麵Q牛肉很香！"""
101,2019/05/09,4,"""位置西門町， 坐位坐得舒服，味道也好。 服務員很親切。"""
102,2019/05/09,1,"""沒吃過這麼驚人的牛肉麵，點了新品番茄牛肉麵，牛肉很韌，牛筋超硬，偶爾可以吃到一塊軟硬適中的牛肉，白蘿蔔和紅蘿蔔切超小卻還脆脆的，沒有煮軟，湯頭番茄味若有似無，非常虛幻。可以讚賞的是小菜，不算太貴，口味正常，服務也還OK～"""
103,2019/05/09,5,"""水蟹粥新鮮滑潤美味超級大推！!熱炒也都好好吃，好久沒一次吃了3碗飯嘍！😍😍環境舒適美觀！服務態度優！西門町最推薦的餐廳🍴😍"""
104,2019/05/09,5,"""很親切~然後老闆收藏很酷~"""
105,2019/05/09,5,"""水蟹粥好好吃，服務也很好，店裡面很涼不悶，讚！"""
106,2019/05/09,4,""" 乾淨美味的食物......，，"""
107,2019/05/09,3,""" 雖然它在午夜開放，我們嚐到了它，但它非常普遍，，"""
108,2019/05/09,5,"""不錯 cp值高"""
109,2019/05/09,5,""" 我會品嚐辛辣的味道。，如果這是我的第一塊牛肉...如果我一大早就打開它，我明天會來......，，"""
110,2019/05/09,1,"""牛肉麵的湯沒什麼味，像在喝加一點鹽巴的水，牛肉是薄片式的，咬起來超柴的，典型的要你吃店內氣氛的，160元這樣的品質不如去吃三商巧福"""
111,2019/05/09,5,""" 非常好，，"""
112,2019/05/09,3,""" 牛肉麵低於平均水平。非常失望。，螃蟹粥保存晚餐。至少有些好事，忘了魯肉飯，，"""
113,2019/05/09,2,"""牛肉好吃  湯普通   店面高雅  服務有待加強"""
114,2019/05/09,1,"""湯沒味道好難吃"""
115,2019/05/09,4,"""環境很優"""
116,2019/05/09,5,""" 餃子非常好吃。，便宜而豐富的音量，，"""
117,2019/05/09,4,"""不錯吃"""
118,2019/05/09,5,""" 牛肉麵不錯 價錢也合理 分量足，，"""
119,2019/05/09,5,""" 店內收藏品雅緻，餐具講究有質感，老闆招呼用心說明又周到，拉麵茄汁半筋半肉牛肉麵注重養生味道偏淡，肉塊雖偏小但口感很好，乾淨的開放式透明廚房前方的醬料台，可依照個人口味輕重調味辣油和豆瓣醬等，口味非常好👍！今天選擇用拉麵牛筋麵，牛筋不是過厚的那種，非常美味，會想再回來嘗試三寶牛肉麵加普通麵條的口感！另外看到很多熟客都會點螃蟹粥搭配吃，下次打算人多些來吃吃看！，，"""
120,2019/05/09,2,"""點麻辣蒜味半筋半肉，肉還不差 但湯頭差遠了，或許紅燒的會好一點吧"""
121,2019/05/09,5,""" 牛肉麵，，"""
122,2019/05/09,5,""" 湯頭濃鬱，麵條有咬勁。漂亮老闆娘，，"""
123,2019/05/09,2,"""牛肉湯麵令人失望…"""
124,2019/05/09,1,"""非常非常非常沒有禮貌，完全忽略客人的態度，還沒吃先換一頓飽，氣到飽。以後也不會再去。"""
125,2019/05/09,3,"""東西普普價格略高，環境佈置還不錯，櫃台男服務員態度不優。"""
126,2019/05/09,3,""" 建議使用服務菜單。，，"""
127,2019/05/09,1,"""東西普通"""
128,2019/05/09,1,"""因為gomaji促銷活動才來 麵就非常一般的粗麵 湯頭一點特色都沒有 只有鹹味跟辣味 價格因為在西門町偏高 但我寧願去吃三商巧福"""
129,2019/05/09,1,"""這輩子吃過最難吃的牛肉麵 大家小心 注意安全"""
130,2019/05/09,3,"""你可以來吃吃看啊"""
131,2019/05/09,5,""" 我嘗試過的最好的台灣菜之一！正宗，準備充分。享受台灣美食的好方法！，，"""
132,2019/05/09,5,""" 很好的牛肉麵（台灣風格），，"""
133,2019/05/09,5,"""好吃新鮮東西實在，一定再來"""
134,2019/05/09,3,"""蒜味牛肉麵好吃單價不低但是值得"""
135,2019/05/09,1,"""東西還好，，外場招呼的老板讓人覺得態度不好，，"""
136,2019/05/09,5,"""便宜，好吃，正宗牛肉麵。讚"""
137,2019/05/09,5,"""東西美味好吃"""
138,2019/06/09,5,""" 好食，，"""
139,2019/06/09,5,""" 辣味蒜香系列好吃！，，"""
140,2019/06/09,3,""" 我收到了包含三個部分的招牌菜單中的“滿漢牛肉麵（220元）”。我覺得湯很好吃。可以享用三種的肉很好，但我並不認為所有的味道都很好。另外，麵條，器皿和體積小於照片的高度也很可惜。如果您想喝以湯圓為主的美味湯，則推薦使用。無牛肉湯可能沒問題。，，這家商店很豪華而且很乾淨。，，有日語和英語菜單。，，"""
141,2019/07/09,5,"""我本人離開家，到外面吃喝玩樂，一定抱著樂觀態度，面對吃的店都是心裡接受，絕不 伶牙俐齒數落店裡一番，因為世上絕無滿你意的店(人都是自私，主觀意識作崇)，自己不喜歡的下次就不去這個店，不要當酸民，給自己留口德是一種修養境界，尤其那些 挾持者廣大羣眾的評論員，在地晌導等，更要謙虛，方得人緣，"""
142,2019/07/09,3,""" 平均，，"""
143,2019/07/09,5,"""牛肉麵和炒飯都好好吃"""
144,2019/08/09,2,"""服務態度非常差，店員異常地冷淡，雖然擺設有趣，裝潢可看，仍覺得這家店我不想再來第二次，請老闆務必檢討。"""
145,2019/08/09,4,"""不錯"""
146,2019/08/09,5,""" 美味料多，，"""
147,2019/08/09,1,"""味道完全不行，價格又高。評分：丁下"""
148,2019/08/09,1,"""第一次吃到這麼慘的.....，麵沒熟 湯沒味 肉薄 冷也沒味....."""
149,2019/09/09,1,"""個人覺得普通，"""
150,2019/10/09,1,""" 食物很糟糕。浪費我的時間和金錢去嘗試這家餐廳。，此外，他們不再賣牛肉麵湯了。它現在是一家豬肉餐廳，，"""
151,2019/10/09,5,""" 價格實惠，味道鮮美，，"""
152,2019/10/09,5,"""炒飯超好吃，忍不住外帶多次。酸辣湯的大小驚人的大(對比價位來說)，差點喝不完..."""
153,2020/02/09,5,"""牛雜麵好吃很入味，滷肉飯很香滷肉很軟嫩 下次來一定還要再吃"""
154,2020/02/09,1,"""老闆服務態度很差"""
155,2020/02/09,1,"""吃那麼多牛肉麵，史上第一次吃到這麼難吃的，湯沒味道，麵又硬，還說是牛肉麵節金牌店家，要吃的人請三思"""
156,2020/04/09,4,""" 好，，"""
157,2020/04/09,1,"""外送蝦仁炒飯燒焦味嚴重"""
