id,date,star,text
1,2018/05/12,4,"""價格不高 口味可接受"""
2,2019/05/12,4,"""老闆娘人很好，但是吃炒飯，裡面沒有蔥，有需要加蔥（蔥是選配的），要事先講，湯米粉還不錯吃"""
3,2019/05/12,1,"""衛生環境極差！，點了一碗什錦湯麵裡面竟然有蟑螂！，向老闆娘反映，雖然老闆表示重煮一碗但已不敢吃了也不會再去"""
4,2019/05/12,1,"""什錦麵送上來湯的表面浮出三四隻螞蟻超噁，食材很不新鮮，蝦子感覺用藥水泡的，觸感很像塑膠，奉勸各位別來"""
5,2019/05/12,1,"""點了豬肝湯 什錦麵  羊肉飯  雖然是現煮現做，不夠食材真的有待加強，豬肝是柴的，追求性價比的朋友千萬別來，它不會是你想找的，肚子餓只想找食物吃的，請做好不愉快的心理準備。"""
6,2019/05/12,4,"""價廉物美…"""
7,2019/07/12,3,"""有供應冷氣約3桌，場地較小"""
8,2019/07/12,3,"""不貴但是食物還好"""
9,2019/10/12,5,"""我家附近的平價美食，適合闔家光臨"""
10,2019/10/12,5,"""以平價來說可以了"""
11,2019/11/12,5,"""老闆很親切，味道很好，價格也公道。"""
12,2019/12/12,3,"""點了一碗什錦湯麵，很普通。 1隻老鼠跑來跑去"""
13,2019/12/12,4,"""家鄉媽媽的炒菜，可能有加味精哦。炒菜類稍鹹，粥跟湯麵真像媽媽煮的。"""
14,2019/12/12,2,""" 普普，，"""
15,2020/02/12,3,"""漲價了"""
16,2020/03/12,4,"""古早味熱炒，下酒菜很適合"""
17,2020/03/12,1,"""今天點了什錦湯米粉讓我很傻眼，根本是蘿蔔雜燴湯米粉，大塊的白、紅蘿蔔，大塊玉米、豆腐、番茄，3-4根碎肉絲、青菜，就這樣結束了，湯根本沒味道，之前有人評論是媽媽的味道，應該是後媽的味道吧…超雷的…不會再來了"""
