id,date,star,text
1,2018/05/12,5,"""親切"""
2,2018/05/12,5,"""很親切"""
3,2018/05/12,3,"""有附設卡拉ok喔"""
4,2018/05/12,5,""" 便宜又好吃。，，"""
5,2018/05/12,1,"""吃過一次  叫一隻龍蝦 跟一些菜 很難得吃到沒有肉的龍蝦"""
6,2018/05/12,4,"""白斬雞好吃，海鮮湯好喝"""
7,2018/05/12,4,""" 送餐速度快，，"""
8,2019/05/12,5,"""餐點好吃，忍不住再多點些菜品嚐，店家服務很好，熱情和善，值得推薦品嚐的好店家。"""
9,2019/05/12,4,"""熱炒好吃，老闆夫妻熱情款待"""
10,2019/05/12,4,"""料好實在，味道不錯，但交通地點較不便利，魚頭火鍋CP值超高，兩個人吃一鍋飽到可以"""
11,2019/05/12,5,"""味道都很到位。好吃值得推薦"""
12,2019/05/12,4,"""家常小菜味道還不錯,雖然位置較偏但很好停車,若有規劃去萬華玩可以去吃吃看!"""
13,2019/05/12,4,"""燒魚功夫不錯，值得再來"""
14,2019/05/12,3,"""蠻普通的"""
15,2019/05/12,5,"""父親節點了10幾道好吃無地雷，便宜份量也蠻多的，家人全部清空掃盤，除了大腸有點異味，比附近其他2間川菜館好吃多了，cp值超高，老闆親切，超推"""
16,2019/05/12,4,"""朋友餐敘"""
17,2019/05/12,2,""" 普通。，，"""
18,2019/05/12,5,"""價格親民  服務好"""
19,2019/05/12,4,"""口味不錯，聚餐的好地方。"""
20,2019/05/12,4,"""餐點好吃，食材新鮮，老闆超熱情！"""
21,2019/05/12,4,"""物美價廉  店家親切"""
22,2019/05/12,4,"""料好菜多，便宜實在"""
23,2019/05/12,5,"""東西好吃料好實在"""
24,2019/05/12,5,"""這家店每道菜真的都超級好吃！服務很好壞境也很乾淨！一試成主顧👍🏻"""
25,2019/05/12,3,"""親切、平價、空間佳、"""
26,2019/05/12,5,"""周遭好停車，食物平價  新鮮"""
27,2019/05/12,4,"""菜色還不錯，老闆待客親切"""
28,2019/05/12,3,"""一般熱炒店"""
29,2019/05/12,5,"""CP值超高，值得一試"""
30,2019/05/12,3,""" 普普通通，，"""
31,2019/05/12,4,"""遇到地下室的卡拉OK壞了，可惜"""
32,2019/05/12,1,"""不好吃，點的菜沒有就隨便給別的菜，鹹鹹鹹。"""
33,2019/05/12,5,"""好吃，很香，老闆很客氣"""
34,2019/05/12,4,"""可外帶"""
35,2019/05/12,2,"""好吃 方便 生意好 又是鄰居！"""
36,2019/06/12,5,"""美味，平價，CP值高，海鮮新鮮，環境乾淨，服務好，新鮮魚貨是去基隆或宜蘭漁港挑選回來的"""
37,2019/06/12,4,"""好吃 菜單多樣 單價便宜 適合多人聚餐"""
38,2019/07/12,1,"""很吵真的不適合吃飯不喝酒的"""
39,2019/07/12,3,""" 好吃，，"""
40,2019/07/12,3,"""料理口味有待改進"""
41,2019/08/12,5,"""老闆人親切  食材新鮮  環境優"""
42,2019/08/12,4,"""這次點了：客家小炒、柯仔酥、清蒸鱸魚、金沙蝦球（很好吃）、炒空心菜，蔥爆松阪豬（很好吃）等等，七菜一湯才1400元，五個大人吃好飽！，鱸魚很嫩很好吃，一整條才280元，很推薦！"""
43,2019/09/12,3,"""還不錯"""
44,2019/11/12,4,"""環境寬敞，食材新鮮美味，適合公司，家庭聚餐"""
45,2019/11/12,3,""" 喝啤酒，，"""
46,2019/12/12,4,"""空間乾淨寬敞服務佳，餐點好吃！"""
47,2019/12/12,5,"""好吃，但是口味有點不穩"""
48,2019/12/12,5,""" 便宜又大碗好吃😋，，"""
49,2020/02/12,2,"""不推，菜量小盤，價格較一般熱炒店高，口味就見仁見智了"""
50,2020/02/12,2,""" 菜不是很好吃，，"""
51,2020/02/12,4,"""食物新鮮，好吃"""
52,2020/02/12,4,"""新鮮"""
53,2020/03/12,1,""" CP值不佳，，"""
