id,date,star,text
1,2017/05/09,5,"""簡單隆重、便民"""
2,2018/05/09,5,""" 便宜，好吃，量又多，，"""
3,2018/05/09,4,"""便宜 最愛吃炒飯"""
4,2018/05/09,5,"""大火炒飯微焦香!!!炒羊肉牛肉份量大!!!"""
5,2018/05/09,5,"""燴飯超好吃超推薦的，用料實在，吃起來有燉菜的新鮮口感。一份才70元份量又實在，保證一吃上癮。"""
6,2018/05/09,5,"""老闆娘炒功一流"""
7,2018/05/09,4,"""便宜好吃...最愛牛肉炒飯"""
8,2019/05/09,5,"""炒飯超好吃 用料實在"""
9,2019/05/09,5,""" 便宜又大碗，，"""
10,2019/05/09,1,""" 不佳，，"""
11,2019/05/09,4,"""建議點炒麵。，炒飯常常火開太大，都有焦味，炒麵就剛好"""
12,2019/05/09,3,""" 可以用餐，，"""
13,2019/05/09,5,"""東西好吃，份量誠意十足"""
14,2019/05/09,4,"""佛心，份量是別家的快兩倍。"""
15,2019/05/09,1,"""炒飯炒焦了，而且有油耗味"""
16,2019/05/09,2,""" 味道太重，，"""
17,2019/05/09,4,"""還算不錯，，今天點了牛肉炒飯，，肉不算少，，裡面還有高麗菜、蔥。，70算很划算。"""
18,2019/05/09,3,""" 一般，，"""
19,2019/07/09,5,""" 太好吃了，，"""
20,2019/09/09,3,"""份量足夠，料也給得比其他家多的，但調味重容易膩"""
21,2019/09/09,5,""" 很可以，，"""
22,2019/12/09,5,"""越式風味佳"""
23,2019/12/09,4,"""點了海鮮炒河粉，有許多鮮蝦、小蛤蜊、魷魚與很多的豆芽菜跟芹菜，份量十足才80元！，可惜口味平淡普普！老闆娘應該是越南籍，我原本幻想東南亞風味…"""
24,2019/12/09,3,"""不是很習慣這種焦掉的炒飯..."""
25,2020/01/09,2,"""很一般 沒特色，去這家，不如去附近的榕樹下熱炒 好吃又便宜"""
26,2020/01/09,5,"""料多實在"""
27,2020/02/09,5,"""今天點了炒海鮮河粉.好吃！"""
