id,date,star,text
1,2019/05/12,5,"""以在台北市的熱炒店價位，算很實在"""
2,2019/05/12,4,"""料理好吃、服務佳，有點貴"""
3,2019/05/12,3,""" 最便宜的味道〜生魚片是最好的，各種生魚片約8分。，，"""
4,2019/05/12,1,"""調味不是過重就是過淡。生意極佳，口味意外失望。"""
5,2019/05/12,4,"""經濟實惠，口味還不錯。"""
6,2019/05/12,2,"""店家說2500的合菜可供十人食用，但第一道菜一上來份量就驚人地少，油雞大概只有六七塊且都非常小，吃起來不是很新鮮。，其他菜色也都大量地使用洋蔥、青蔥來讓份量看起來較多，實際上可入口的菜很少。實際上這樣的量大概只能給五、六個人吃。，覺得特別好吃的大概只有「不是臭豆腐」底下的泡菜跟鹹蛋苦瓜。，整體而言，菜的份量少，味道也普通。吃完之後相當空虛，得另外找食物果腹。"""
7,2019/05/12,5,""" 好又便宜，有很多食物，食物離開了這個世界！^^ *，，"""
8,2019/05/12,5,""" 如果你想感受台北，它就在這裡。我去戶外，下雨天，但氣氛是最好的，價格比Deanshahn或Kiki便宜得多。我認為在這裡吃得更好。菜單是韓文。很方便。這是第一。它是刻薄的。除了啤酒，我也有燒酒！，，"""
9,2019/05/12,3,"""有的菜色味道馬馬虎虎"""
10,2019/05/12,5,""" 最優價格，，"""
11,2019/05/12,4,""" 當地的氣氛價格合理但時間到2點才結束。，，"""
12,2019/05/12,2,""" 位置很好，但略高。我認為最好不要期待它的味道。，，"""
13,2019/05/12,4,"""食物還可以，份量比較少，好處是白飯可以一直加，因份量少也可多嘗些，像香港大排檔"""
14,2019/05/12,5,""" 美味的，，"""
15,2019/05/12,2,"""與四年前相比，菜色一樣，但料變少了，變相的漲價行為"""
16,2019/05/12,2,""" 食物的味道還可以，服務員態度還好。只是稍微會有一點的熱。，，"""
17,2019/05/12,5,""" 週末跟朋友喝一杯聊是非很適合這邊 但是想要安靜的朋友可能就不適合了 是間不錯的熱炒店，，"""
18,2019/05/12,4,"""年輕世代朝氣美食"""
19,2019/05/12,3,""" 一個台灣酒吧，許多韓國遊客參觀。它總是擠滿了許多客人，但有很多菜單和啤酒，所以如果你不介意嘈雜的氣氛，值得一遊。我們推薦海鮮。，，"""
20,2019/05/12,5,"""場地很大價格實惠，下班後來一杯的好去處"""
21,2019/05/12,4,"""菜色多樣，味道佳!!"""
22,2019/05/12,5,"""料多實在，價格不貴又好吃~"""
23,2019/05/12,5,""" 這是非常好的，燒酒不是那麼好。，，"""
24,2019/05/12,3,""" 俗 大碗，，"""
25,2019/05/12,3,""" 我不認為它很便宜，我可以享用海鮮。，，"""
26,2019/05/12,5,""" 好啊，，"""
27,2019/05/12,4,""" 味道好，味道好。，，"""
